C4,C4 ||| C3 ||| 0.000536768652711
C4,C4 ||| G2 ||| 0.001221001221
G#3 ||| D3 ||| 0.00067842605156
G#3 ||| E3 ||| 0.00205058099795
G#3 ||| E2 ||| 0.00746268656716
G#4 ||| F3 ||| 0.00202565833896
G#4 ||| A3 ||| 0.00172711571675
G#4 ||| B2 ||| 0.00530973451327
G#4 ||| B3 ||| 0.017825311943
G#4 ||| E4 ||| 0.0534351145038
G#4 ||| D4 ||| 0.0104895104895
G#4 ||| E2 ||| 0.0149253731343
G#4 ||| D3 ||| 0.0033921302578
G#4 ||| E3 ||| 0.0471633629528
G#4 ||| C4 ||| 0.00107411385607
G5 ||| G4 ||| 0.0294117647059
G5 ||| C4 ||| 0.00107411385607
G4 ||| G#2 ||| 0.0212765957447
G4 ||| G4 ||| 0.176470588235
G4 ||| G3 ||| 0.247544204322
G4 ||| G2 ||| 0.0976800976801
G4 ||| B-2 ||| 0.0515463917526
G4 ||| B-3 ||| 0.150537634409
G4 ||| A3 ||| 0.0587219343696
G4 ||| A2 ||| 0.0466562986003
G4 ||| C3 ||| 0.256575415996
G4 ||| E4 ||| 0.190839694656
G4 ||| A-3 ||| 0.0947368421053
G4 ||| A-2 ||| 0.0307692307692
G4 ||| E3 ||| 0.303485987697
G4 ||| C4 ||| 0.390977443609
G4 ||| C#4 ||| 0.027027027027
G4 ||| C#3 ||| 0.106382978723
G4 ||| F#3 ||| 0.019305019305
G4 ||| D-4 ||| 0.166666666667
G4 ||| E-3 ||| 0.277777777778
G4 ||| E-2 ||| 0.037037037037
G4 ||| C2 ||| 0.0309278350515
G4 ||| F2 ||| 0.0145454545455
G4 ||| F3 ||| 0.0918298446995
G4 ||| F4 ||| 0.0701754385965
G4 ||| B2 ||| 0.157522123894
G4 ||| B3 ||| 0.397504456328
G4 ||| D4 ||| 0.108391608392
G4 ||| E2 ||| 0.0522388059701
G4 ||| D2 ||| 0.01
G4 ||| D3 ||| 0.0800542740841
G3 ||| F2 ||| 0.0181818181818
G3 ||| F3 ||| 0.00067521944632
G3 ||| G3 ||| 0.00147347740668
G3 ||| G2 ||| 0.019536019536
G3 ||| B-2 ||| 0.020618556701
G3 ||| A2 ||| 0.00933125972006
G3 ||| B2 ||| 0.0548672566372
G3 ||| E-2 ||| 0.037037037037
G3 ||| C3 ||| 0.0520665593129
G3 ||| C2 ||| 0.484536082474
G3 ||| D2 ||| 0.01
G3 ||| D3 ||| 0.00067842605156
G3 ||| E3 ||| 0.00273410799727
G3 ||| E2 ||| 0.0671641791045
F#5 ||| D4 ||| 0.0034965034965
D4,D4 ||| B2 ||| 0.00176991150442
E4,E4 ||| C3 ||| 0.000536768652711
B-3 ||| F2 ||| 0.00727272727273
B-3 ||| F3 ||| 0.00202565833896
B-3 ||| G3 ||| 0.00098231827112
B-3 ||| G2 ||| 0.015873015873
B-3 ||| C#3 ||| 0.031914893617
B-3 ||| B-2 ||| 0.0927835051546
B-3 ||| A2 ||| 0.00155520995334
B-3 ||| E-3 ||| 0.104938271605
B-3 ||| E-2 ||| 0.444444444444
B-3 ||| C3 ||| 0.00322061191626
B-3 ||| C2 ||| 0.0103092783505
B-3 ||| A-2 ||| 0.0307692307692
B-3 ||| D3 ||| 0.00746268656716
B-3 ||| E3 ||| 0.000683526999316
B-3 ||| E2 ||| 0.0373134328358
A3 ||| F#2 ||| 0.121212121212
A3 ||| F#3 ||| 0.00772200772201
A3 ||| G3 ||| 0.0024557956778
A3 ||| G2 ||| 0.017094017094
A3 ||| F3 ||| 0.0141796083727
A3 ||| F2 ||| 0.12
A3 ||| C#3 ||| 0.0744680851064
A3 ||| A3 ||| 0.00690846286701
A3 ||| A2 ||| 0.0575427682737
A3 ||| B2 ||| 0.0194690265487
A3 ||| C3 ||| 0.0150295222759
A3 ||| C2 ||| 0.0103092783505
A3 ||| D2 ||| 0.11
A3 ||| D3 ||| 0.0312075983718
A3 ||| E3 ||| 0.0041011619959
A3 ||| E2 ||| 0.0298507462687
E#4 ||| A#2 ||| 0.0625
E#4 ||| D3 ||| 0.00135685210312
E#4 ||| E#2 ||| 0.25
E#4 ||| C#3 ||| 0.0212765957447
E#4 ||| G2 ||| 0.002442002442
A4 ||| F#2 ||| 0.0909090909091
A4 ||| G4 ||| 0.0882352941176
A4 ||| G3 ||| 0.0810412573674
A4 ||| G2 ||| 0.00610500610501
A4 ||| B-2 ||| 0.0309278350515
A4 ||| B-3 ||| 0.0591397849462
A4 ||| A3 ||| 0.297063903282
A4 ||| A2 ||| 0.045101088647
A4 ||| C3 ||| 0.0150295222759
A4 ||| E4 ||| 0.0610687022901
A4 ||| D#3 ||| 0.0714285714286
A4 ||| E3 ||| 0.0416951469583
A4 ||| C4 ||| 0.10096670247
A4 ||| C#4 ||| 0.540540540541
A4 ||| C#3 ||| 0.0851063829787
A4 ||| F#3 ||| 0.447876447876
A4 ||| E-3 ||| 0.037037037037
A4 ||| F2 ||| 0.0327272727273
A4 ||| F3 ||| 0.251856853477
A4 ||| F4 ||| 0.280701754386
A4 ||| B2 ||| 0.0230088495575
A4 ||| B3 ||| 0.103386809269
A4 ||| D4 ||| 0.251748251748
A4 ||| E2 ||| 0.00746268656716
A4 ||| D3 ||| 0.110583446404
B-4 ||| F3 ||| 0.0290344361918
B-4 ||| G3 ||| 0.0353634577603
B-4 ||| G2 ||| 0.001221001221
B-4 ||| C#4 ||| 0.108108108108
B-4 ||| C#3 ||| 0.0106382978723
B-4 ||| D3 ||| 0.00542740841248
B-4 ||| B-2 ||| 0.0412371134021
B-4 ||| B-3 ||| 0.193548387097
B-4 ||| A3 ||| 0.0120898100173
B-4 ||| R ||| 0.00677966101695
B-4 ||| D-4 ||| 0.166666666667
