E4,E4 ||| G4 ||| 0.000677048070413
G#3 ||| E4 ||| 0.0066889632107
G#3 ||| B3 ||| 0.0869565217391
G#3 ||| C4 ||| 0.00409836065574
G#4 ||| F5 ||| 0.00635593220339
G#4 ||| C#5 ||| 0.0357142857143
G#4 ||| B4 ||| 0.0445486518171
G#4 ||| E5 ||| 0.0228818800247
G#4 ||| D5 ||| 0.0107003891051
G#4 ||| C5 ||| 0.000924641701341
G4 ||| B4 ||| 0.385697538101
G4 ||| G5 ||| 0.111392405063
G4 ||| G4 ||| 0.0494245091401
G4 ||| F5 ||| 0.0953389830508
G4 ||| C#5 ||| 0.107142857143
G4 ||| E-5 ||| 0.173553719008
G4 ||| A5 ||| 0.00540540540541
G4 ||| A4 ||| 0.103839441536
G4 ||| B-4 ||| 0.264
G4 ||| B-5 ||| 0.4
G4 ||| E5 ||| 0.301793444651
G4 ||| D5 ||| 0.259727626459
G4 ||| A-4 ||| 0.0298507462687
G4 ||| C5 ||| 0.319001386963
F#4 ||| G4 ||| 0.00406228842248
F#4 ||| C#5 ||| 0.0357142857143
F#4 ||| B4 ||| 0.0269636576788
F#4 ||| A5 ||| 0.00540540540541
F#4 ||| A4 ||| 0.147469458988
F#4 ||| B-4 ||| 0.004
F#4 ||| E5 ||| 0.00742115027829
F#4 ||| D5 ||| 0.0248054474708
F#4 ||| C5 ||| 0.0309754969949
F#5 ||| A5 ||| 0.00540540540541
D4,D4 ||| F4 ||| 0.00163132137031
C4,C4 ||| E4 ||| 0.00167224080268
C4,C4 ||| D4 ||| 0.00211416490486
B-3 ||| G4 ||| 0.0128639133378
B-3 ||| F4 ||| 0.0309951060359
B-3 ||| E-4 ||| 0.472727272727
B-3 ||| A4 ||| 0.00087260034904
B-3 ||| B-4 ||| 0.02
B-3 ||| E4 ||| 0.0066889632107
B-3 ||| D4 ||| 0.014799154334
B-3 ||| D5 ||| 0.000972762645914
B-3 ||| A-4 ||| 0.044776119403
B-3 ||| C5 ||| 0.00046232085067
B-3 ||| C4 ||| 0.0204918032787
A3 ||| F4 ||| 0.0783034257749
A3 ||| G4 ||| 0.00406228842248
A3 ||| F#4 ||| 0.0757575757576
A3 ||| C#4 ||| 0.25
A3 ||| E-4 ||| 0.0181818181818
A3 ||| A3 ||| 0.444444444444
