C4,C4 ||| G3 ||| 0.00110497237569
G#3 ||| B2 ||| 0.25
G#3 ||| E3 ||| 0.00608519269777
G#3 ||| B3 ||| 0.000798722044728
G#4 ||| F4 ||| 0.003861003861
G#4 ||| C#4 ||| 0.0128205128205
G#4 ||| B4 ||| 0.025
G#4 ||| B3 ||| 0.0351437699681
G#4 ||| E4 ||| 0.0273597811218
G#4 ||| D4 ||| 0.0145495243425
G5 ||| B4 ||| 0.025
G5 ||| E4 ||| 0.000683994528044
G5 ||| C5 ||| 0.0243902439024
G4 ||| G4 ||| 0.0402542372881
G4 ||| G3 ||| 0.0430939226519
G4 ||| B-3 ||| 0.173796791444
G4 ||| A3 ||| 0.0415282392027
G4 ||| A4 ||| 0.00253164556962
G4 ||| B-4 ||| 0.0606060606061
G4 ||| C3 ||| 0.0204081632653
G4 ||| E4 ||| 0.432284541724
G4 ||| A-3 ||| 0.0352941176471
G4 ||| C5 ||| 0.170731707317
G4 ||| C4 ||| 0.283666377063
G4 ||| C#4 ||| 0.179487179487
G4 ||| E-4 ||| 0.312169312169
G4 ||| D-4 ||| 0.363636363636
G4 ||| E-3 ||| 0.0181818181818
G4 ||| F3 ||| 0.0017825311943
G4 ||| F4 ||| 0.0801158301158
G4 ||| B4 ||| 0.15
G4 ||| E3 ||| 0.0141987829615
G4 ||| B3 ||| 0.328274760383
G4 ||| D4 ||| 0.325685506435
G4 ||| D3 ||| 0.0196850393701
G3 ||| F#3 ||| 0.00632911392405
G3 ||| G3 ||| 0.00662983425414
G3 ||| B2 ||| 0.125
G3 ||| C#3 ||| 0.5
G3 ||| B-3 ||| 0.00534759358289
G3 ||| F3 ||| 0.0249554367201
G3 ||| E-3 ||| 0.145454545455
G3 ||| B3 ||| 0.00319488817891
G3 ||| C3 ||| 0.204081632653
G3 ||| E4 ||| 0.00136798905609
G3 ||| D3 ||| 0.177165354331
G3 ||| E3 ||| 0.249492900609
G3 ||| C4 ||| 0.00390964378801
F#5 ||| D5 ||| 0.25
D4,D4 ||| G3 ||| 0.000552486187845
E4,E4 ||| C4 ||| 0.000434404865334
B-3 ||| G4 ||| 0.000706214689266
B-3 ||| G3 ||| 0.0226519337017
B-3 ||| E-4 ||| 0.010582010582
B-3 ||| B-3 ||| 0.00267379679144
B-3 ||| A3 ||| 0.000830564784053
B-3 ||| F3 ||| 0.0231729055258
B-3 ||| E-3 ||| 0.181818181818
B-3 ||| C3 ||| 0.0204081632653
B-3 ||| A-3 ||| 0.0470588235294
B-3 ||| D3 ||| 0.0590551181102
B-3 ||| E3 ||| 0.0101419878296
B-3 ||| C4 ||| 0.000434404865334
A3 ||| F#3 ||| 0.0822784810127
A3 ||| G3 ||| 0.0138121546961
A3 ||| F3 ||| 0.122994652406
A3 ||| C#3 ||| 0.25
A3 ||| D3 ||| 0.0984251968504
A3 ||| A3 ||| 0.0174418604651
A3 ||| A2 ||| 0.333333333333
A3 ||| E-3 ||| 0.0545454545455
A3 ||| B3 ||| 0.00239616613419
A3 ||| C3 ||| 0.132653061224
A3 ||| E4 ||| 0.00136798905609
A3 ||| R ||| 0.00341296928328
A3 ||| D4 ||| 0.00279798545048
A3 ||| E3 ||| 0.0851926977688
A3 ||| C4 ||| 0.00781928757602
E#4 ||| G3 ||| 0.000552486187845
E#4 ||| C#4 ||| 0.0128205128205
E#4 ||| A#3 ||| 0.0740740740741
E#4 ||| G#3 ||| 0.0266666666667
E#4 ||| E#3 ||| 0.153846153846
E#4 ||| B#3 ||| 0.181818181818
A4 ||| F4 ||| 0.283783783784
A4 ||| F#4 ||| 0.470588235294
A4 ||| G4 ||| 0.0296610169492
A4 ||| G3 ||| 0.00331491712707
A4 ||| E-4 ||| 0.15873015873
A4 ||| C#4 ||| 0.358974358974
A4 ||| F3 ||| 0.0160427807487
A4 ||| C5 ||| 0.170731707317
A4 ||| B-3 ||| 0.0374331550802
A4 ||| A3 ||| 0.0481727574751
A4 ||| F#3 ||| 0.0379746835443
A4 ||| A4 ||| 0.0379746835443
A4 ||| B3 ||| 0.0247603833866
A4 ||| E4 ||| 0.212722298222
A4 ||| D4 ||| 0.17571348629
A4 ||| D5 ||| 0.25
A4 ||| D3 ||| 0.00393700787402
A4 ||| E3 ||| 0.0121703853955
A4 ||| C4 ||| 0.158992180712
B-4 ||| F4 ||| 0.0791505791506
B-4 ||| G4 ||| 0.0614406779661
B-4 ||| G3 ||| 0.00110497237569
B-4 ||| E-4 ||| 0.142857142857
B-4 ||| C#4 ||| 0.128205128205
B-4 ||| B-3 ||| 0.0267379679144
B-4 ||| R ||| 0.00341296928328
B-4 ||| D-4 ||| 0.0227272727273
B-4 ||| E4 ||| 0.0164158686731
B-4 ||| D4 ||| 0.0151091214326
B-4 ||| E3 ||| 0.00202839756592
B-4 ||| C4 ||| 0.00521285838401
E5 ||| G4 ||| 0.0275423728814
E5 ||| F4 ||| 0.000965250965251
E5 ||| C#4 ||| 0.0384615384615
E5 ||| B4 ||| 0.05
E5 ||| A3 ||| 0.000830564784053
E5 ||| A4 ||| 0.0481012658228
E5 ||| B-4 ||| 0.151515151515
E5 ||| B3 ||| 0.0055910543131
E5 ||| E4 ||| 0.00683994528044
E5 ||| D4 ||| 0.00223838836038
E5 ||| D5 ||| 0.25
E5 ||| C5 ||| 0.365853658537
E5 ||| C4 ||| 0.00608166811468
E4 ||| G#3 ||| 0.24
E4 ||| G4 ||| 0.010593220339
E4 ||| G3 ||| 0.171270718232
E4 ||| B-3 ||| 0.106951871658
E4 ||| A3 ||| 0.156976744186
E4 ||| A4 ||| 0.0177215189873
E4 ||| C3 ||| 0.0510204081633
E4 ||| E4 ||| 0.015731874145
E4 ||| A-3 ||| 0.0117647058824
E4 ||| A-4 ||| 0.05
E4 ||| E3 ||| 0.0547667342799
E4 ||| C4 ||| 0.216333622937
E4 ||| C#4 ||| 0.217948717949
E4 ||| C#3 ||| 0.25
E4 ||| A#3 ||| 0.0740740740741
E4 ||| F#3 ||| 0.0759493670886
E4 ||| D-4 ||| 0.0681818181818
E4 ||| B#3 ||| 0.181818181818
E4 ||| F3 ||| 0.0124777183601
E4 ||| B4 ||| 0.075
E4 ||| B2 ||| 0.125
E4 ||| B3 ||| 0.122204472843
E4 ||| D4 ||| 0.0184667039731
E4 ||| D3 ||| 0.00393700787402
D#4 ||| F#3 ||| 0.0189873417722
D#4 ||| G3 ||| 0.00276243093923
D#4 ||| A3 ||| 0.00249169435216
D#4 ||| A#3 ||| 0.333333333333
D#4 ||| G#3 ||| 0.04
D#4 ||| E#3 ||| 0.461538461538
D#4 ||| B3 ||| 0.00239616613419
D#4 ||| B#3 ||| 0.454545454545
D#4 ||| D#3 ||| 0.333333333333
D#4 ||| C4 ||| 0.000434404865334
A-4 ||| G4 ||| 0.000706214689266
A-4 ||| F4 ||| 0.03861003861
A-4 ||| E-4 ||| 0.280423280423
A-4 ||| B-3 ||| 0.00267379679144
A-4 ||| D-4 ||| 0.204545454545
A-4 ||| A-3 ||| 0.0352941176471
A-4 ||| D4 ||| 0.00223838836038
A-4 ||| C4 ||| 0.00521285838401
C5 ||| G4 ||| 0.391949152542
C5 ||| G3 ||| 0.0110497237569
C5 ||| F4 ||| 0.17471042471
C5 ||| A3 ||| 0.00830564784053
C5 ||| E-4 ||| 0.010582010582
C5 ||| G#3 ||| 0.04
C5 ||| F#4 ||| 0.176470588235
C5 ||| A4 ||| 0.610126582278
C5 ||| B-4 ||| 0.30303030303
C5 ||| B3 ||| 0.000798722044728
C5 ||| E4 ||| 0.155950752394
C5 ||| D4 ||| 0.0464465584779
C5 ||| A-4 ||| 0.1
C5 ||| C5 ||| 0.0243902439024
C5 ||| C4 ||| 0.0399652476108
C4 ||| F#4 ||| 0.00980392156863
