3
D4 E-4 F4 BAR ||| E-4 ||| 0.249999999875
D4 E-4 F4 BAR ||| G4 ||| 0.749999999575
D4 E-4 F4 BAR ||| <UNK> ||| 2.4999999985e-11
R C5 BAR C5 ||| B4 ||| 0.624999999825
R C5 BAR C5 ||| D5 ||| 0.124999999975
R C5 BAR C5 ||| C5 ||| 0.249999999937
R C5 BAR C5 ||| <UNK> ||| 1.24999999962e-11
C4 BAR C4 D4 ||| E4 ||| 0.562499999922
C4 BAR C4 D4 ||| D4 ||| 0.312499999959
C4 BAR C4 D4 ||| <UNK> ||| 6.24999999906e-12
C4 BAR C4 D4 ||| C4 ||| 0.124999999987
B-4 B-4 A4 ||| G4 ||| 0.083333333325
B-4 B-4 A4 ||| F4 ||| 0.083333333325
B-4 B-4 A4 ||| B4 ||| 0.083333333325
B-4 B-4 A4 ||| A4 ||| 0.499999999908
B-4 B-4 A4 ||| A-4 ||| 0.249999999958
B-4 B-4 A4 ||| <UNK> ||| 8.33333333167e-12
BAR B4 A4 B4 ||| A4 ||| 0.3333333331
BAR B4 A4 B4 ||| C5 ||| 0.666666666167
BAR B4 A4 B4 ||| <UNK> ||| 3.33333333067e-11
C4 B3 A3 BAR ||| G#3 ||| 0.49999999945
C4 B3 A3 BAR ||| D3 ||| 0.49999999945
C4 B3 A3 BAR ||| <UNK> ||| 4.999999994e-11
D4 BAR D4 D4 ||| E4 ||| 0.124999999975
D4 BAR D4 D4 ||| D4 ||| 0.624999999825
D4 BAR D4 D4 ||| <UNK> ||| 1.24999999962e-11
D4 BAR D4 D4 ||| F4 ||| 0.124999999975
D4 BAR D4 D4 ||| C4 ||| 0.124999999975
G4 E4 E4 BAR ||| E4 ||| 0.199999999924
G4 E4 E4 BAR ||| F4 ||| 0.799999999636
G4 E4 E4 BAR ||| <UNK> ||| 1.99999999904e-11
BAR C4 B3 A3 BAR ||| A3 ||| 0.49999999945
BAR C4 B3 A3 BAR ||| G3 ||| 0.49999999945
BAR C4 B3 A3 BAR ||| <UNK> ||| 4.999999994e-11
F4 G4 E4 ||| E4 ||| 0.199999999924
F4 G4 E4 ||| D4 ||| 0.199999999924
F4 G4 E4 ||| F4 ||| 0.599999999732
F4 G4 E4 ||| <UNK> ||| 1.99999999904e-11
E4 BAR F4 E4 BAR ||| E4 ||| 0.499999999725
E4 BAR F4 E4 BAR ||| D4 ||| 0.249999999875
E4 BAR F4 E4 BAR ||| G#4 ||| 0.249999999875
E4 BAR F4 E4 BAR ||| <UNK> ||| 2.4999999985e-11
BAR G4 C5 BAR C5 ||| B4 ||| 0.666666666167
BAR G4 C5 BAR C5 ||| C5 ||| 0.3333333331
BAR G4 C5 BAR C5 ||| <UNK> ||| 3.33333333067e-11
A3 BAR B3 B3 BAR ||| A3 ||| 0.49999999945
A3 BAR B3 B3 BAR ||| <UNK> ||| 4.999999994e-11
A3 BAR B3 B3 BAR ||| C4 ||| 0.49999999945
B4 A4 F#4 ||| B4 ||| 0.49999999945
B4 A4 F#4 ||| G4 ||| 0.49999999945
B4 A4 F#4 ||| <UNK> ||| 4.999999994e-11
E-4 D4 BAR B-3 ||| B-3 ||| 0.499999999725
E-4 D4 BAR B-3 ||| END ||| 0.499999999725
E-4 D4 BAR B-3 ||| <UNK> ||| 2.4999999985e-11
G4 A-4 BAR G4 ||| G4 ||| 0.199999999924
G4 A-4 BAR G4 ||| A4 ||| 0.799999999636
G4 A-4 BAR G4 ||| <UNK> ||| 1.99999999904e-11
C#5 C5 BAR D5 ||| G4 ||| 0.49999999945
C#5 C5 BAR D5 ||| C5 ||| 0.49999999945
C#5 C5 BAR D5 ||| <UNK> ||| 4.999999994e-11
BAR E-4 D4 C4 ||| B-3 ||| 0.249999999875
BAR E-4 D4 C4 ||| D4 ||| 0.749999999575
BAR E-4 D4 C4 ||| <UNK> ||| 2.4999999985e-11
G4 BAR A4 G4 ||| G4 ||| 0.290322580626
G4 BAR A4 G4 ||| F#4 ||| 0.225806451599
G4 BAR A4 G4 ||| B4 ||| 0.0322580645169
G4 BAR A4 G4 ||| A4 ||| 0.0967741935441
G4 BAR A4 G4 ||| F4 ||| 0.32258064514
G4 BAR A4 G4 ||| C5 ||| 0.0322580645169
G4 BAR A4 G4 ||| <UNK> ||| 3.22580645136e-12
BAR A4 A4 A4 ||| B4 ||| 0.428571428439
BAR A4 A4 A4 ||| G4 ||| 0.285714285631
BAR A4 A4 A4 ||| A4 ||| 0.285714285631
BAR A4 A4 A4 ||| <UNK> ||| 1.42857142808e-11
C4 C4 BAR C4 ||| F4 ||| 0.0645161290305
C4 C4 BAR C4 ||| A3 ||| 0.0322580645169
C4 C4 BAR C4 ||| R ||| 0.0645161290305
C4 C4 BAR C4 ||| B3 ||| 0.387096774167
C4 C4 BAR C4 ||| D4 ||| 0.225806451599
C4 C4 BAR C4 ||| <UNK> ||| 3.22580645136e-12
C4 C4 BAR C4 ||| C4 ||| 0.225806451599
G#4 F#4 G#4 BAR ||| E4 ||| 0.49999999945
G#4 F#4 G#4 BAR ||| A4 ||| 0.49999999945
G#4 F#4 G#4 BAR ||| <UNK> ||| 4.999999994e-11
E4 D#4 BAR E4 ||| E4 ||| 0.249999999875
E4 D#4 BAR E4 ||| D4 ||| 0.749999999575
E4 D#4 BAR E4 ||| <UNK> ||| 2.4999999985e-11
BAR D4 C4 B3 BAR ||| <UNK> ||| 3.33333333067e-11
BAR D4 C4 B3 BAR ||| A3 ||| 0.3333333331
BAR D4 C4 B3 BAR ||| B3 ||| 0.3333333331
BAR D4 C4 B3 BAR ||| C4 ||| 0.3333333331
BAR C4 B3 C4 ||| <UNK> ||| 4.16666666625e-12
BAR C4 B3 C4 ||| END ||| 0.0416666666667
BAR C4 B3 C4 ||| C#4 ||| 0.0416666666667
BAR C4 B3 C4 ||| R ||| 0.0833333333292
BAR C4 B3 C4 ||| G#4 ||| 0.0833333333292
BAR C4 B3 C4 ||| B3 ||| 0.0833333333292
BAR C4 B3 C4 ||| E4 ||| 0.0833333333292
BAR C4 B3 C4 ||| D4 ||| 0.374999999967
