3
2.0 BAR 1.5 0.5 ||| 0.5 ||| 0.444421853057
2.0 BAR 1.5 0.5 ||| 2.0 ||| 0.111106296553
2.0 BAR 1.5 0.5 ||| 1.0 ||| 0.444421853057
2.0 BAR 1.5 0.5 ||| <UNK> ||| 1.11105185501e-06
1.0 0.25 0.25 BAR ||| 0.5 ||| 0.333308335333
1.0 0.25 0.25 BAR ||| <UNK> ||| 1.666533344e-06
1.0 0.25 0.25 BAR ||| 1.0 ||| 0.166655000933
1.0 0.25 0.25 BAR ||| 3.0 ||| 0.333308335333
1.0 0.25 0.25 BAR ||| 1.5 ||| 0.166655000933
1.5 1.5 1.5 BAR ||| 1.5 ||| 0.333283341332
1.5 1.5 1.5 BAR ||| <UNK> ||| 3.33280008532e-06
1.5 1.5 1.5 BAR ||| 3.0 ||| 0.333283341332
1.5 1.5 1.5 BAR ||| 6.0 ||| 0.333283341332
1.0 1.0 BAR 3.0 BAR ||| 1.0 ||| 0.387091103106
1.0 1.0 BAR 3.0 BAR ||| 2.0 ||| 0.258060842929
1.0 1.0 BAR 3.0 BAR ||| 0.5 ||| 0.0967730177081
1.0 1.0 BAR 3.0 BAR ||| 3.0 ||| 0.258060842929
1.0 1.0 BAR 3.0 BAR ||| <UNK> ||| 3.22575650442e-07
1.0 1.0 BAR 1.5 ||| 0.25 ||| 0.0634917384756
1.0 1.0 BAR 1.5 ||| 0.5 ||| 0.920628065056
1.0 1.0 BAR 1.5 ||| 1.0 ||| 0.0158730536656
1.0 1.0 BAR 1.5 ||| <UNK> ||| 1.58728949367e-07
0.25 0.25 0.25 ||| 0.25 ||| 0.639988112228
0.25 0.25 0.25 ||| 0.5 ||| 0.199996560066
0.25 0.25 0.25 ||| 1.0 ||| 0.159997328051
0.25 0.25 0.25 ||| <UNK> ||| 3.99992320147e-07
1.0 1.0 BAR 0.5 ||| 0.25 ||| 0.0563606810739
1.0 1.0 BAR 0.5 ||| 0.5 ||| 0.86634395194
1.0 1.0 BAR 0.5 ||| 1.0 ||| 0.0772946423487
1.0 1.0 BAR 0.5 ||| <UNK> ||| 1.61030471345e-08
0.5 0.5 BAR 3.0 ||| 0.5 ||| 0.0540538385697
0.5 0.5 BAR 3.0 ||| 1.0 ||| 0.64864457636
0.5 0.5 BAR 3.0 ||| END ||| 0.297295504029
0.5 0.5 BAR 3.0 ||| <UNK> ||| 1.35134258589e-07
0.5 1.0 BAR 0.5 ||| 0.25 ||| 0.190788936982
0.5 1.0 BAR 0.5 ||| 0.5 ||| 0.756576623969
0.5 1.0 BAR 0.5 ||| 1.0 ||| 0.0526314785322
0.5 1.0 BAR 0.5 ||| <UNK> ||| 6.57892659286e-08
1.0 1.0 1.0 BAR ||| 1.5 ||| 0.0284697482808
1.0 1.0 1.0 BAR ||| 1.0 ||| 0.547330780983
1.0 1.0 1.0 BAR ||| 4.0 ||| 0.0163701082864
1.0 1.0 1.0 BAR ||| 0.25 ||| 0.0113879035828
1.0 1.0 1.0 BAR ||| 0.5 ||| 0.250533729355
1.0 1.0 1.0 BAR ||| 3.0 ||| 0.0661921553223
1.0 1.0 1.0 BAR ||| 2.0 ||| 0.0797152823749
1.0 1.0 1.0 BAR ||| <UNK> ||| 7.11743529084e-09
1.0 BAR 2.0 2.0 BAR ||| 1.0 ||| 0.409082438201
