C3,C3 ||| E4 ||| 0.000694444444444
G#3 ||| F4 ||| 0.00589390962672
G#3 ||| B4 ||| 0.0692682926829
G#3 ||| E5 ||| 0.00819672131148
G#3 ||| E4 ||| 0.0173611111111
G#3 ||| D4 ||| 0.0032195750161
G#3 ||| D5 ||| 0.0125944584383
G#2 ||| G4 ||| 0.000366568914956
G#2 ||| F4 ||| 0.00294695481336
G#2 ||| B4 ||| 0.00292682926829
G#2 ||| B3 ||| 0.0198675496689
G#2 ||| E4 ||| 0.00833333333333
G#2 ||| D#4 ||| 0.1
G#2 ||| D4 ||| 0.00579523502898
G#2 ||| B#3 ||| 0.176470588235
A1 ||| E4 ||| 0.000694444444444
F#2 ||| E-4 ||| 0.00462962962963
F#2 ||| A3 ||| 0.0168067226891
F#2 ||| A4 ||| 0.00185414091471
F#2 ||| B3 ||| 0.00165562913907
F#2 ||| E4 ||| 0.00138888888889
F#2 ||| D4 ||| 0.00837089504185
F#2 ||| C4 ||| 0.00568900126422
G4 ||| B4 ||| 0.00682926829268
G4 ||| G4 ||| 0.00219941348974
G4 ||| A4 ||| 0.00185414091471
G4 ||| C5 ||| 0.00520833333333
G4 ||| D5 ||| 0.0226700251889
G3 ||| F4 ||| 0.121807465619
G3 ||| G4 ||| 0.184750733138
G3 ||| F#4 ||| 0.0228571428571
G3 ||| E-4 ||| 0.0972222222222
G3 ||| C#4 ||| 0.132352941176
G3 ||| B4 ||| 0.478048780488
G3 ||| B-3 ||| 0.0204081632653
G3 ||| A3 ||| 0.0210084033613
G3 ||| G3 ||| 0.0132743362832
G3 ||| A4 ||| 0.101977750309
G3 ||| B-4 ||| 0.245733788396
G3 ||| B3 ||| 0.114238410596
G3 ||| E5 ||| 0.0327868852459
G3 ||| E4 ||| 0.0743055555556
G3 ||| D4 ||| 0.129426915647
G3 ||| D5 ||| 0.0831234256927
G3 ||| A-4 ||| 0.0769230769231
G3 ||| C5 ||| 0.09765625
G3 ||| C4 ||| 0.0366624525917
G2 ||| E3 ||| 0.166666666667
G2 ||| B4 ||| 0.0117073170732
G2 ||| G4 ||| 0.0293255131965
G2 ||| F#4 ||| 0.00285714285714
G2 ||| E-4 ||| 0.0740740740741
G2 ||| F4 ||| 0.0373280943026
G2 ||| F3 ||| 0.181818181818
G2 ||| A#3 ||| 0.111111111111
G2 ||| B-3 ||| 0.132653061224
G2 ||| A3 ||| 0.0588235294118
G2 ||| E#4 ||| 0.222222222222
G2 ||| G3 ||| 0.070796460177
G2 ||| A4 ||| 0.00309023485785
G2 ||| B-4 ||| 0.00341296928328
G2 ||| B3 ||| 0.413907284768
G2 ||| E4 ||| 0.0194444444444
G2 ||| D#4 ||| 0.125
G2 ||| D4 ||| 0.134578235673
G2 ||| C5 ||| 0.00130208333333
G2 ||| C4 ||| 0.0752212389381
G1 ||| B3 ||| 0.00662251655629
G1 ||| C4 ||| 0.00063211125158
D-3 ||| E-4 ||| 0.0138888888889
D-3 ||| F4 ||| 0.0049115913556
D-3 ||| A-4 ||| 0.041958041958
B-2 ||| G4 ||| 0.00366568914956
B-2 ||| F#4 ||| 0.00285714285714
B-2 ||| E-4 ||| 0.0740740740741
B-2 ||| D4 ||| 0.0354153251771
B-2 ||| F4 ||| 0.041257367387
B-2 ||| G3 ||| 0.0176991150442
B-2 ||| B-3 ||| 0.183673469388
B-2 ||| F3 ||| 0.0909090909091
B-2 ||| D-4 ||| 0.25
B-2 ||| A4 ||| 0.00370828182942
B-2 ||| B-4 ||| 0.0273037542662
B-2 ||| E4 ||| 0.00486111111111
B-2 ||| A-3 ||| 0.222222222222
B-2 ||| A-4 ||| 0.041958041958
B-2 ||| C4 ||| 0.0107458912769
B-3 ||| G4 ||| 0.0102639296188
B-3 ||| F#4 ||| 0.00285714285714
B-3 ||| C#5 ||| 0.0204081632653
B-3 ||| F4 ||| 0.0235756385069
B-3 ||| E-5 ||| 0.3
B-3 ||| E-4 ||| 0.00462962962963
B-3 ||| A4 ||| 0.00679851668727
B-3 ||| B-4 ||| 0.122866894198
B-3 ||| E5 ||| 0.0409836065574
B-3 ||| E4 ||| 0.00902777777778
B-3 ||| D4 ||| 0.00965872504829
B-3 ||| D5 ||| 0.0377833753149
B-3 ||| A-4 ||| 0.0699300699301
B-3 ||| C5 ||| 0.0149739583333
A3 ||| F4 ||| 0.0677799607073
A3 ||| B4 ||| 0.0575609756098
A3 ||| G4 ||| 0.024926686217
A3 ||| F#4 ||| 0.105714285714
A3 ||| F5 ||| 0.285714285714
A3 ||| C#5 ||| 0.408163265306
A3 ||| C#4 ||| 0.102941176471
A3 ||| D5 ||| 0.0352644836272
A3 ||| E-5 ||| 0.1
A3 ||| A3 ||| 0.0336134453782
A3 ||| G#4 ||| 0.0188679245283
A3 ||| B-4 ||| 0.0477815699659
A3 ||| B3 ||| 0.00993377483444
A3 ||| E5 ||| 0.188524590164
A3 ||| E4 ||| 0.110416666667
A3 ||| D4 ||| 0.00901481004507
A3 ||| C4 ||| 0.0278128950695
A3 ||| C5 ||| 0.172526041667
A3 ||| A4 ||| 0.21260815822
A2 ||| F4 ||| 0.0343811394892
A2 ||| G4 ||| 0.0109970674487
A2 ||| F#4 ||| 0.0857142857143
A2 ||| E-4 ||| 0.00925925925926
A2 ||| C#4 ||| 0.426470588235
A2 ||| E3 ||| 0.5
A2 ||| B-3 ||| 0.0102040816327
A2 ||| A3 ||| 0.155462184874
A2 ||| F#3 ||| 0.6
A2 ||| G3 ||| 0.0265486725664
A2 ||| A4 ||| 0.0179233621755
A2 ||| B3 ||| 0.046357615894
A2 ||| E4 ||| 0.0958333333333
A2 ||| D#4 ||| 0.075
A2 ||| D4 ||| 0.0289761751449
A2 ||| C5 ||| 0.001953125
A2 ||| C4 ||| 0.139696586599
E#3 ||| G#4 ||| 0.00943396226415
E#3 ||| B#3 ||| 0.117647058824
E#2 ||| E4 ||| 0.000694444444444
E#2 ||| D#4 ||| 0.05
E#2 ||| E#4 ||| 0.222222222222
E#2 ||| D4 ||| 0.00064391500322
E#2 ||| B#3 ||| 0.117647058824
C3 ||| G4 ||| 0.175219941349
C3 ||| F#4 ||| 0.06
C3 ||| E-4 ||| 0.101851851852
C3 ||| D4 ||| 0.0856406954282
C3 ||| F4 ||| 0.0579567779961
C3 ||| G3 ||| 0.429203539823
C3 ||| B4 ||| 0.00682926829268
C3 ||| B-3 ||| 0.0612244897959
C3 ||| A3 ||| 0.117647058824
C3 ||| D-4 ||| 0.25
C3 ||| A4 ||| 0.017305315204
C3 ||| B-4 ||| 0.0546075085324
C3 ||| B3 ||| 0.023178807947
C3 ||| E5 ||| 0.0409836065574
C3 ||| E4 ||| 0.299305555556
C3 ||| A-3 ||| 0.111111111111
C3 ||| D5 ||| 0.0302267002519
C3 ||| A-4 ||| 0.0979020979021
C3 ||| C5 ||| 0.102213541667
C3 ||| C4 ||| 0.208596713021
E4 ||| G4 ||| 0.0091642228739
E4 ||| F4 ||| 0.00098231827112
E4 ||| C#5 ||| 0.142857142857
E4 ||| B4 ||| 0.0292682926829
E4 ||| G#4 ||| 0.0660377358491
E4 ||| E5 ||| 0.0819672131148
E4 ||| E4 ||| 0.00277777777778
E4 ||| D4 ||| 0.00128783000644
E4 ||| D5 ||| 0.0100755667506
E4 ||| C5 ||| 0.021484375
E4 ||| A4 ||| 0.00494437577256
A-3 ||| B4 ||| 0.000975609756098
A-3 ||| G4 ||| 0.0032991202346
A-3 ||| F4 ||| 0.0225933202358
A-3 ||| E-5 ||| 0.1
A-3 ||| E-4 ||| 0.12037037037
A-3 ||| B-4 ||| 0.00682593856655
A-3 ||| E4 ||| 0.000694444444444
A-3 ||| D4 ||| 0.00386349001932
A-3 ||| D5 ||| 0.00251889168766
A-3 ||| A-4 ||| 0.104895104895
A-3 ||| C5 ||| 0.00260416666667
A-3 ||| C4 ||| 0.00379266750948
A-2 ||| G4 ||| 0.000733137829912
A-2 ||| F4 ||| 0.00294695481336
A-2 ||| E-4 ||| 0.0833333333333
A-2 ||| D4 ||| 0.00837089504185
A-2 ||| B-3 ||| 0.0204081632653
A-2 ||| E4 ||| 0.000694444444444
A-2 ||| A-3 ||| 0.222222222222
A-2 ||| A-4 ||| 0.048951048951
A-2 ||| C4 ||| 0.0107458912769
D#2 ||| F#4 ||| 0.00571428571429
D#2 ||| C#4 ||| 0.0147058823529
D#2 ||| A#3 ||| 0.444444444444
D#2 ||| B3 ||| 0.00331125827815
D#2 ||| D#4 ||| 0.075
D#2 ||| C4 ||| 0.00126422250316
D#2 ||| D4 ||| 0.00064391500322
D#2 ||| B#3 ||| 0.0588235294118
D#3 ||| F#4 ||| 0.0485714285714
D#3 ||| A#3 ||| 0.333333333333
D#3 ||| A4 ||| 0.00185414091471
D#3 ||| B3 ||| 0.00827814569536
D#3 ||| E4 ||| 0.00208333333333
D#3 ||| D#4 ||| 0.1
D#3 ||| D4 ||| 0.00193174500966
D#3 ||| B#3 ||| 0.235294117647
E3 ||| G#3 ||| 0.6
E3 ||| G#4 ||| 0.650943396226
E3 ||| G4 ||| 0.16275659824
E3 ||| F#4 ||| 0.0428571428571
E3 ||| B-3 ||| 0.0102040816327
E3 ||| A3 ||| 0.0252100840336
E3 ||| A4 ||| 0.0377008652658
E3 ||| B-4 ||| 0.143344709898
E3 ||| E5 ||| 0.0409836065574
E3 ||| E4 ||| 0.124305555556
E3 ||| D#4 ||| 0.025
E3 ||| A-4 ||| 0.048951048951
E3 ||| C5 ||| 0.122395833333
E3 ||| C4 ||| 0.105562579014
E3 ||| C#5 ||| 0.285714285714
E3 ||| C#4 ||| 0.220588235294
E3 ||| D-4 ||| 0.25
E3 ||| G3 ||| 0.0176991150442
E3 ||| F4 ||| 0.0500982318271
E3 ||| B4 ||| 0.0575609756098
E3 ||| B3 ||| 0.100993377483
E3 ||| D4 ||| 0.03799098519
E3 ||| D5 ||| 0.0277078085642
C4 ||| B4 ||| 0.0185365853659
C4 ||| G4 ||| 0.133431085044
C4 ||| F#4 ||| 0.0371428571429
C4 ||| F4 ||| 0.0127701375246
C4 ||| D5 ||| 0.128463476071
C4 ||| E-5 ||| 0.2
C4 ||| E-4 ||| 0.00925925925926
C4 ||| G#4 ||| 0.00943396226415
C4 ||| B-4 ||| 0.0443686006826
C4 ||| E5 ||| 0.319672131148
C4 ||| E4 ||| 0.025
C4 ||| D4 ||| 0.00257566001288
C4 ||| C4 ||| 0.0031605562579
C4 ||| A-4 ||| 0.00699300699301
C4 ||| C5 ||| 0.177734375
C4 ||| A4 ||| 0.0580964153276
D#4 ||| B4 ||| 0.0019512195122
D#4 ||| C5 ||| 0.000651041666667
C#4 ||| G4 ||| 0.000366568914956
C#4 ||| F4 ||| 0.00098231827112
C#4 ||| A4 ||| 0.0123609394314
C#4 ||| B-4 ||| 0.0136518771331
C#4 ||| E5 ||| 0.0655737704918
C#4 ||| E4 ||| 0.00208333333333
C#3 ||| G4 ||| 0.00366568914956
C#3 ||| F#4 ||| 0.00857142857143
C#3 ||| B-3 ||| 0.030612244898
C#3 ||| A3 ||| 0.0294117647059
C#3 ||| E#4 ||| 0.222222222222
C#3 ||| A4 ||| 0.00494437577256
C#3 ||| B-4 ||| 0.00341296928328
C#3 ||| B3 ||| 0.00331125827815
C#3 ||| E5 ||| 0.0327868852459
C#3 ||| E4 ||| 0.0361111111111
C#3 ||| D4 ||| 0.00128783000644
A#2 ||| A#3 ||| 0.111111111111
A#2 ||| D#4 ||| 0.05
A#2 ||| E#4 ||| 0.111111111111
A#2 ||| D4 ||| 0.00708306503542
A#2 ||| B#3 ||| 0.0588235294118
F#3 ||| G4 ||| 0.00183284457478
F#3 ||| F#4 ||| 0.0114285714286
F#3 ||| C#4 ||| 0.0147058823529
F#3 ||| B4 ||| 0.00390243902439
F#3 ||| E-4 ||| 0.00925925925926
F#3 ||| A3 ||| 0.00840336134454
F#3 ||| A4 ||| 0.0716934487021
F#3 ||| B3 ||| 0.00165562913907
F#3 ||| E4 ||| 0.0159722222222
F#3 ||| D#4 ||| 0.05
F#3 ||| D5 ||| 0.00755667506297
F#3 ||| D4 ||| 0.047005795235
F#3 ||| C5 ||| 0.01171875
F#3 ||| C4 ||| 0.0031605562579
D-4 ||| E4 ||| 0.000694444444444
D-4 ||| G4 ||| 0.000366568914956
D-4 ||| F4 ||| 0.00196463654224
D-4 ||| A-4 ||| 0.00699300699301
D-4 ||| B-4 ||| 0.00341296928328
E-3 ||| G4 ||| 0.016495601173
E-3 ||| F4 ||| 0.0137524557957
E-3 ||| E-4 ||| 0.166666666667
E-3 ||| E-5 ||| 0.1
E-3 ||| B-3 ||| 0.173469387755
E-3 ||| D-4 ||| 0.25
