E-2 ||| E-4 ||| 0.178571428571
E-2 ||| G4 ||| 0.00878293601004
E-2 ||| F4 ||| 0.0016051364366
E-2 ||| B-4 ||| 0.00462962962963
E-2 ||| C4 ||| 0.00406504065041
G#3 ||| F4 ||| 0.0016051364366
G#3 ||| F5 ||| 0.00323624595469
G#3 ||| B4 ||| 0.0158550396376
G#3 ||| A4 ||| 0.00088573959256
G#3 ||| E5 ||| 0.0384174311927
G#3 ||| D5 ||| 0.0195071868583
G#3 ||| C5 ||| 0.00046511627907
G#2 ||| G4 ||| 0.000627352572146
G#2 ||| F4 ||| 0.00642054574639
G#2 ||| B4 ||| 0.0135900339751
G#2 ||| B#4 ||| 0.333333333333
G#2 ||| E#4 ||| 0.214285714286
G#2 ||| G#4 ||| 0.0263157894737
G#2 ||| E5 ||| 0.00172018348624
G#2 ||| E4 ||| 0.00778816199377
G#2 ||| D4 ||| 0.0045045045045
G#2 ||| D5 ||| 0.00359342915811
A1 ||| C5 ||| 0.00046511627907
F#2 ||| B4 ||| 0.00226500566251
F#2 ||| E-4 ||| 0.0178571428571
F#2 ||| A3 ||| 0.0909090909091
F#2 ||| A4 ||| 0.00265721877768
F#2 ||| D4 ||| 0.0112612612613
F#2 ||| D5 ||| 0.000513347022587
F#2 ||| C5 ||| 0.00558139534884
F#2 ||| C4 ||| 0.00813008130081
G4 ||| G5 ||| 0.00599520383693
G4 ||| G4 ||| 0.000627352572146
G4 ||| F5 ||| 0.00107874865156
G4 ||| B4 ||| 0.00226500566251
G4 ||| B5 ||| 0.2
G4 ||| E5 ||| 0.000573394495413
G4 ||| D5 ||| 0.00770020533881
G4 ||| C5 ||| 0.00093023255814
G3 ||| B4 ||| 0.250283125708
G3 ||| G5 ||| 0.163069544365
G3 ||| G4 ||| 0.0865746549561
G3 ||| F#4 ||| 0.0144927536232
G3 ||| F5 ||| 0.0906148867314
G3 ||| C#5 ||| 0.0344827586207
G3 ||| F4 ||| 0.0176565008026
G3 ||| E-5 ||| 0.268292682927
G3 ||| B5 ||| 0.266666666667
G3 ||| A3 ||| 0.0909090909091
G3 ||| A5 ||| 0.0584795321637
G3 ||| A4 ||| 0.022143489814
G3 ||| B-4 ||| 0.203703703704
G3 ||| B3 ||| 0.05
G3 ||| E5 ||| 0.105504587156
G3 ||| E4 ||| 0.0451713395639
G3 ||| D4 ||| 0.164414414414
G3 ||| D5 ||| 0.332648870637
G3 ||| A-4 ||| 0.0307692307692
G3 ||| C5 ||| 0.0697674418605
G3 ||| C4 ||| 0.00813008130081
G2 ||| G5 ||| 0.00119904076739
G2 ||| G4 ||| 0.154328732748
G2 ||| F4 ||| 0.0786516853933
G2 ||| F5 ||| 0.00431499460626
G2 ||| D4 ||| 0.324324324324
G2 ||| C#4 ||| 0.25
G2 ||| B3 ||| 0.6
G2 ||| B4 ||| 0.0894677236693
G2 ||| E-4 ||| 0.125
G2 ||| A4 ||| 0.0177147918512
G2 ||| B-4 ||| 0.0787037037037
G2 ||| A#4 ||| 0.3125
G2 ||| E5 ||| 0.000573394495413
G2 ||| E4 ||| 0.0591900311526
G2 ||| D#4 ||| 0.125
G2 ||| D5 ||| 0.0251540041068
G2 ||| A-4 ||| 0.0461538461538
G2 ||| C5 ||| 0.00790697674419
G2 ||| C4 ||| 0.0813008130081
