E-2 ||| B-3 ||| 0.0298913043478
E-2 ||| A-3 ||| 0.0138888888889
E-2 ||| G3 ||| 0.0062860136197
E-2 ||| E-3 ||| 0.0545454545455
C3,C3 ||| C4 ||| 0.000420168067227
G#3 ||| F4 ||| 0.00636267232238
G#3 ||| C#4 ||| 0.0133333333333
G#3 ||| B4 ||| 0.152173913043
G#3 ||| B3 ||| 0.0371567043619
G#3 ||| E4 ||| 0.0295698924731
G#3 ||| D4 ||| 0.0100111234705
G#3 ||| C4 ||| 0.000840336134454
G#2 ||| F3 ||| 0.00173310225303
G#2 ||| G3 ||| 0.000523834468308
G#2 ||| A#3 ||| 0.037037037037
G#2 ||| G#3 ||| 0.0151515151515
G#2 ||| B3 ||| 0.013731825525
G#2 ||| E4 ||| 0.00134408602151
G#2 ||| D4 ||| 0.00166852057842
G#2 ||| D#3 ||| 0.166666666667
G#2 ||| E3 ||| 0.0291095890411
G#2 ||| B#3 ||| 0.333333333333
A1 ||| A3 ||| 0.000831946755408
F#2 ||| B-3 ||| 0.00271739130435
F#2 ||| A3 ||| 0.0158069883527
F#2 ||| E-3 ||| 0.0181818181818
F#2 ||| D4 ||| 0.00166852057842
F#2 ||| D3 ||| 0.0178571428571
F#2 ||| C4 ||| 0.00126050420168
G4 ||| G4 ||| 0.0092899800929
G4 ||| F4 ||| 0.00212089077413
G4 ||| B4 ||| 0.130434782609
G4 ||| B-4 ||| 0.030303030303
G4 ||| B3 ||| 0.00242326332795
G4 ||| E4 ||| 0.00134408602151
G4 ||| D4 ||| 0.00222469410456
G4 ||| C5 ||| 0.025
G4 ||| C4 ||| 0.000840336134454
G3 ||| G4 ||| 0.266091572661
G3 ||| G3 ||| 0.0618124672603
G3 ||| B-3 ||| 0.16847826087
G3 ||| A3 ||| 0.0291181364393
G3 ||| A4 ||| 0.0660377358491
G3 ||| B-4 ||| 0.272727272727
G3 ||| C3 ||| 0.00877192982456
G3 ||| E4 ||| 0.0866935483871
G3 ||| A-4 ||| 0.266666666667
G3 ||| E3 ||| 0.013698630137
G3 ||| C4 ||| 0.0794117647059
G3 ||| C#4 ||| 0.0933333333333
G3 ||| E-4 ||| 0.172413793103
G3 ||| D-4 ||| 0.0967741935484
G3 ||| E-3 ||| 0.0545454545455
G3 ||| F#4 ||| 0.0421052631579
G3 ||| F3 ||| 0.0190641247834
G3 ||| F4 ||| 0.188759278897
G3 ||| B4 ||| 0.304347826087
G3 ||| B3 ||| 0.36591276252
G3 ||| D4 ||| 0.208565072303
G3 ||| D3 ||| 0.0285714285714
G2 ||| G4 ||| 0.00530856005309
G2 ||| G3 ||| 0.151911995809
G2 ||| B2 ||| 0.5
G2 ||| E-4 ||| 0.00985221674877
G2 ||| F4 ||| 0.0148462354189
G2 ||| F3 ||| 0.233968804159
G2 ||| A3 ||| 0.026622296173
G2 ||| D3 ||| 0.35
G2 ||| A#3 ||| 0.111111111111
G2 ||| B-3 ||| 0.0652173913043
G2 ||| G#3 ||| 0.030303030303
G2 ||| F#3 ||| 0.00729927007299
G2 ||| D-4 ||| 0.0645161290323
G2 ||| E-3 ||| 0.0909090909091
G2 ||| B3 ||| 0.156704361874
G2 ||| C3 ||| 0.0526315789474
G2 ||| E4 ||| 0.00336021505376
G2 ||| A-3 ||| 0.0138888888889
G2 ||| D4 ||| 0.0261401557286
G2 ||| E3 ||| 0.0667808219178
G2 ||| C4 ||| 0.0109243697479
G1 ||| F3 ||| 0.0051993067591
G1 ||| G3 ||| 0.00209533787323
B-2 ||| F3 ||| 0.0381282495667
B-2 ||| G3 ||| 0.00838135149293
B-2 ||| E-4 ||| 0.0689655172414
B-2 ||| D3 ||| 0.0642857142857
B-2 ||| B-3 ||| 0.111413043478
B-2 ||| D-4 ||| 0.258064516129
B-2 ||| E-3 ||| 0.0909090909091
B-2 ||| C3 ||| 0.00877192982456
B-2 ||| F4 ||| 0.00954400848356
B-2 ||| A-3 ||| 0.194444444444
B-2 ||| D4 ||| 0.0166852057842
B-2 ||| E3 ||| 0.0102739726027
B-2 ||| C4 ||| 0.00294117647059
B-3 ||| F4 ||| 0.0402969247084
B-3 ||| G4 ||| 0.00995355009954
B-3 ||| G3 ||| 0.00471451021477
B-3 ||| E-4 ||| 0.0443349753695
B-3 ||| C#4 ||| 0.04
B-3 ||| B-3 ||| 0.0163043478261
B-3 ||| A3 ||| 0.000831946755408
B-3 ||| D-4 ||| 0.0645161290323
B-3 ||| A4 ||| 0.0117924528302
B-3 ||| B-4 ||| 0.0909090909091
B-3 ||| E4 ||| 0.00739247311828
B-3 ||| D4 ||| 0.0261401557286
B-3 ||| A-4 ||| 0.133333333333
B-3 ||| C4 ||| 0.00420168067227
A3 ||| F4 ||| 0.0774125132556
A3 ||| G4 ||| 0.0351692103517
A3 ||| G3 ||| 0.00104766893662
A3 ||| B2 ||| 0.125
A3 ||| E-4 ||| 0.0147783251232
A3 ||| C#4 ||| 0.493333333333
A3 ||| F3 ||| 0.00693240901213
A3 ||| C5 ||| 0.05
A3 ||| B4 ||| 0.0434782608696
A3 ||| B-3 ||| 0.0135869565217
A3 ||| A3 ||| 0.0507487520799
A3 ||| F#4 ||| 0.136842105263
A3 ||| G#4 ||| 0.2
A3 ||| B-4 ||| 0.0606060606061
A3 ||| B3 ||| 0.016155088853
A3 ||| C3 ||| 0.0350877192982
A3 ||| E4 ||| 0.158602150538
A3 ||| D4 ||| 0.0539488320356
A3 ||| C4 ||| 0.166386554622
A3 ||| E3 ||| 0.00513698630137
A3 ||| A4 ||| 0.318396226415
A2 ||| F4 ||| 0.00106044538706
A2 ||| F#3 ||| 0.160583941606
A2 ||| G3 ||| 0.0309062336302
A2 ||| E-4 ||| 0.00985221674877
A2 ||| C#4 ||| 0.0933333333333
A2 ||| F3 ||| 0.0883882149047
A2 ||| A3 ||| 0.15224625624
A2 ||| B-3 ||| 0.0054347826087
A2 ||| G#3 ||| 0.0151515151515
A2 ||| F#4 ||| 0.0210526315789
A2 ||| E-3 ||| 0.0181818181818
A2 ||| B3 ||| 0.0145395799677
A2 ||| C3 ||| 0.298245614035
A2 ||| E4 ||| 0.0120967741935
A2 ||| D4 ||| 0.00389321468298
A2 ||| B#3 ||| 0.111111111111
A2 ||| D3 ||| 0.05
A2 ||| E3 ||| 0.21404109589
A2 ||| C4 ||| 0.0457983193277
E#3 ||| C#4 ||| 0.0133333333333
E#3 ||| G#3 ||| 0.030303030303
E#2 ||| A#3 ||| 0.0740740740741
E#2 ||| G#3 ||| 0.0454545454545
E#2 ||| B#3 ||| 0.222222222222
C3 ||| G#3 ||| 0.0151515151515
C3 ||| G4 ||| 0.0882548108825
C3 ||| F#4 ||| 0.0105263157895
C3 ||| B-3 ||| 0.10597826087
C3 ||| A3 ||| 0.0640599001664
C3 ||| A4 ||| 0.00471698113208
C3 ||| B-4 ||| 0.0909090909091
C3 ||| C3 ||| 0.263157894737
C3 ||| E4 ||| 0.24126344086
C3 ||| A-3 ||| 0.0972222222222
C3 ||| C5 ||| 0.025
C3 ||| C4 ||| 0.144117647059
C3 ||| E-4 ||| 0.113300492611
C3 ||| R ||| 0.00343642611684
C3 ||| D-4 ||| 0.0322580645161
C3 ||| E-3 ||| 0.327272727273
C3 ||| G3 ||| 0.243059193295
C3 ||| E3 ||| 0.371575342466
C3 ||| F3 ||| 0.0901213171577
C3 ||| F4 ||| 0.0254506892895
C3 ||| F#3 ||| 0.043795620438
C3 ||| B3 ||| 0.0266558966074
C3 ||| D4 ||| 0.0378197997775
C3 ||| D3 ||| 0.0571428571429
