3
F2 BAR E2 F2 ||| C2 ||| 0.333283341332
F2 BAR E2 F2 ||| <UNK> ||| 3.33280008532e-06
F2 BAR E2 F2 ||| D2 ||| 0.333283341332
F2 BAR E2 F2 ||| E2 ||| 0.333283341332
BAR C3 B2 C3 ||| F2 ||| 0.0833320833583
BAR C3 B2 C3 ||| F3 ||| 0.0833320833583
BAR C3 B2 C3 ||| G2 ||| 0.166663750058
BAR C3 B2 C3 ||| A2 ||| 0.124997916708
BAR C3 B2 C3 ||| E-2 ||| 0.0416662500083
BAR C3 B2 C3 ||| <UNK> ||| 4.166583335e-07
BAR C3 B2 C3 ||| D3 ||| 0.416658750158
BAR C3 B2 C3 ||| E2 ||| 0.0833320833583
F3 E3 F3 BAR ||| C3 ||| 0.124993750375
F3 E3 F3 BAR ||| F3 ||| 0.124993750375
F3 E3 F3 BAR ||| G3 ||| 0.624963752175
F3 E3 F3 BAR ||| B2 ||| 0.124993750375
F3 E3 F3 BAR ||| <UNK> ||| 1.2499250045e-06
BAR C3 B2 BAR A2 ||| <UNK> ||| 3.33280008532e-06
BAR C3 B2 BAR A2 ||| G2 ||| 0.333283341332
BAR C3 B2 BAR A2 ||| B2 ||| 0.333283341332
BAR C3 B2 BAR A2 ||| E3 ||| 0.333283341332
C4 B3 A3 BAR ||| <UNK> ||| 1.666533344e-06
C4 B3 A3 BAR ||| G3 ||| 0.666615004133
C4 B3 A3 BAR ||| E3 ||| 0.166655000933
C4 B3 A3 BAR ||| B3 ||| 0.166655000933
D3 C3 BAR G2 ||| C3 ||| 0.499942506899
D3 C3 BAR G2 ||| F2 ||| 0.2499725033
D3 C3 BAR G2 ||| A2 ||| 0.2499725033
D3 C3 BAR G2 ||| <UNK> ||| 2.499700036e-06
C3 BAR D3 G2 ||| C3 ||| 0.333283341332
C3 BAR D3 G2 ||| G3 ||| 0.333283341332
C3 BAR D3 G2 ||| B2 ||| 0.333283341332
C3 BAR D3 G2 ||| <UNK> ||| 3.33280008532e-06
F3 G3 BAR C3 BAR ||| C3 ||| 0.199982801651
F3 G3 BAR C3 BAR ||| <UNK> ||| 1.99980801843e-06
F3 G3 BAR C3 BAR ||| R ||| 0.399963603494
F3 G3 BAR C3 BAR ||| C4 ||| 0.399963603494
BAR G3 G3 BAR C4 ||| C3 ||| 0.2499725033
BAR G3 G3 BAR C4 ||| D4 ||| 0.499942506899
BAR G3 G3 BAR C4 ||| <UNK> ||| 2.499700036e-06
BAR G3 G3 BAR C4 ||| B3 ||| 0.2499725033
BAR A3 G3 F#3 ||| G3 ||| 0.499942506899
BAR A3 G3 F#3 ||| D3 ||| 0.2499725033
BAR A3 G3 F#3 ||| E3 ||| 0.2499725033
BAR A3 G3 F#3 ||| <UNK> ||| 2.499700036e-06
BAR C4 B3 BAR A3 ||| G#3 ||| 0.0909060331913
BAR C4 B3 BAR A3 ||| <UNK> ||| 9.090512414e-07
BAR C4 B3 BAR A3 ||| G3 ||| 0.363621405611
BAR C4 B3 BAR A3 ||| E3 ||| 0.363621405611
BAR C4 B3 BAR A3 ||| B3 ||| 0.181811157331
D3 E3 F#3 ||| G3 ||| 0.818164421867
D3 E3 F#3 ||| D3 ||| 0.0454540082762
D3 E3 F#3 ||| E3 ||| 0.136361115757
D3 E3 F#3 ||| <UNK> ||| 4.54535537406e-07
C4 D4 G3 ||| <UNK> ||| 1.2499250045e-06
C4 D4 G3 ||| A3 ||| 0.124993750375
C4 D4 G3 ||| R ||| 0.124993750375
C4 D4 G3 ||| G3 ||| 0.124993750375
C4 D4 G3 ||| C4 ||| 0.624963752175
BAR G3 F3 BAR E3 ||| C3 ||| 0.2499725033
BAR G3 F3 BAR E3 ||| A3 ||| 0.2499725033
BAR G3 F3 BAR E3 ||| D3 ||| 0.499942506899
BAR G3 F3 BAR E3 ||| <UNK> ||| 2.499700036e-06
BAR C4 B3 C4 ||| G3 ||| 0.352931799573
BAR C4 B3 C4 ||| A3 ||| 0.294109931014
BAR C4 B3 C4 ||| B3 ||| 0.0588224567777
BAR C4 B3 C4 ||| D4 ||| 0.176466193896
BAR C4 B3 C4 ||| E3 ||| 0.117644325337
BAR C4 B3 C4 ||| <UNK> ||| 5.8821868559e-07
F3 F#3 BAR G3 ||| G#3 ||| 0.0999962001824
F3 F#3 BAR G3 ||| <UNK> ||| 9.99952002304e-07
F3 F#3 BAR G3 ||| G2 ||| 0.0999962001824
F3 F#3 BAR G3 ||| A3 ||| 0.199991400413
F3 F#3 BAR G3 ||| D3 ||| 0.599972201334
C4 BAR C4 B3 ||| A3 ||| 0.416650833967
C4 BAR C4 B3 ||| <UNK> ||| 8.33300001333e-07
C4 BAR C4 B3 ||| G3 ||| 0.0833308334333
C4 BAR C4 B3 ||| C4 ||| 0.4999808341
D2 E2 BAR F2 ||| <UNK> ||| 1.99980801843e-06
D2 E2 BAR F2 ||| D2 ||| 0.199982801651
D2 E2 BAR F2 ||| G2 ||| 0.599944405337
D2 E2 BAR F2 ||| E2 ||| 0.199982801651
B-2 A-2 BAR G2 ||| C3 ||| 0.199982801651
B-2 A-2 BAR G2 ||| F2 ||| 0.399963603494
B-2 A-2 BAR G2 ||| A2 ||| 0.399963603494
B-2 A-2 BAR G2 ||| <UNK> ||| 1.99980801843e-06
G3 BAR C3 D3 ||| G3 ||| 0.166662777881
G3 BAR C3 D3 ||| G2 ||| 0.277770926109
G3 BAR C3 D3 ||| E3 ||| 0.555541296677
G3 BAR C3 D3 ||| <UNK> ||| 5.55540741136e-07
G3 F3 G3 BAR ||| C3 ||| 0.789454266419
G3 F3 G3 BAR ||| A3 ||| 0.0526307756436
G3 F3 G3 BAR ||| G3 ||| 0.0526307756436
G3 F3 G3 BAR ||| E3 ||| 0.105261024985
G3 F3 G3 BAR ||| <UNK> ||| 5.26302493411e-07
BAR C4 B3 A3 BAR ||| D4 ||| 0.199982801651
BAR C4 B3 A3 BAR ||| G3 ||| 0.599944405337
BAR C4 B3 A3 BAR ||| E3 ||| 0.199982801651
BAR C4 B3 A3 BAR ||| <UNK> ||| 1.99980801843e-06
G3 A3 BAR B3 ||| C#4 ||| 0.0769210059936
G3 A3 BAR B3 ||| A3 ||| 0.384601953159
G3 A3 BAR B3 ||| <UNK> ||| 7.69202367913e-07
G3 A3 BAR B3 ||| G3 ||| 0.0769210059936
G3 A3 BAR B3 ||| C4 ||| 0.46152218995
E3 BAR A3 G3 ||| F3 ||| 0.517233163037
E3 BAR A3 G3 ||| G3 ||| 0.0344825327029
E3 BAR A3 G3 ||| A3 ||| 0.103446908465
E3 BAR A3 G3 ||| F#3 ||| 0.0344825327029
E3 BAR A3 G3 ||| <UNK> ||| 3.4482187881e-07
E3 BAR A3 G3 ||| E3 ||| 0.0344825327029
E3 BAR A3 G3 ||| C4 ||| 0.27585784787
BAR C4 D4 E4 BAR ||| <UNK> ||| 2.499700036e-06
BAR C4 D4 E4 BAR ||| B3 ||| 0.2499725033
BAR C4 D4 E4 BAR ||| F4 ||| 0.2499725033
BAR C4 D4 E4 BAR ||| C4 ||| 0.499942506899
D2 G2 BAR C2 ||| A1 ||| 0.2499725033
D2 G2 BAR C2 ||| END ||| 0.2499725033
D2 G2 BAR C2 ||| D2 ||| 0.499942506899
D2 G2 BAR C2 ||| <UNK> ||| 2.499700036e-06
BAR F3 E3 D3 ||| G3 ||| 0.0545451603331
BAR F3 E3 D3 ||| G2 ||| 0.0363635008276
BAR F3 E3 D3 ||| C#3 ||| 0.0363635008276
BAR F3 E3 D3 ||| D3 ||| 0.0363635008276
BAR F3 E3 D3 ||| A3 ||| 0.0181818413221
BAR F3 E3 D3 ||| G#2 ||| 0.0545451603331
BAR F3 E3 D3 ||| C3 ||| 0.527268307477
BAR F3 E3 D3 ||| D4 ||| 0.0181818413221
BAR F3 E3 D3 ||| A2 ||| 0.0181818413221
BAR F3 E3 D3 ||| E3 ||| 0.199998436377
BAR F3 E3 D3 ||| <UNK> ||| 1.81816595055e-07
E3 D3 G3 ||| F3 ||| 0.285696123694
E3 D3 G3 ||| G3 ||| 0.142848776084
E3 D3 G3 ||| F#3 ||| 0.285696123694
E3 D3 G3 ||| C3 ||| 0.142848776084
E3 D3 G3 ||| E3 ||| 0.142848776084
E3 D3 G3 ||| <UNK> ||| 1.4284734761e-06
F#3 D3 G3 ||| F#3 ||| 0.142848776084
F#3 D3 G3 ||| G3 ||| 0.285696123694
F#3 D3 G3 ||| G2 ||| 0.428543471305
F#3 D3 G3 ||| E3 ||| 0.142848776084
F#3 D3 G3 ||| <UNK> ||| 1.4284734761e-06
BAR C4 B3 A3 ||| G3 ||| 0.555550802511
BAR C4 B3 A3 ||| B-3 ||| 0.0185185390945
BAR C4 B3 A3 ||| G#3 ||| 0.0740736008273
BAR C4 B3 A3 ||| B3 ||| 0.148147016471
BAR C4 B3 A3 ||| E4 ||| 0.0370368930054
BAR C4 B3 A3 ||| D4 ||| 0.0185185390945
BAR C4 B3 A3 ||| E3 ||| 0.148147016471
BAR C4 B3 A3 ||| <UNK> ||| 1.85183539109e-07
BAR C4 G3 A3 ||| B-3 ||| 0.199982801651
BAR C4 G3 A3 ||| A3 ||| 0.199982801651
BAR C4 G3 A3 ||| G3 ||| 0.399963603494
BAR C4 G3 A3 ||| E3 ||| 0.199982801651
BAR C4 G3 A3 ||| <UNK> ||| 1.99980801843e-06
G2 A2 BAR B2 ||| C#3 ||| 0.124993750375
G2 A2 BAR B2 ||| G#2 ||| 0.124993750375
G2 A2 BAR B2 ||| C3 ||| 0.499971251725
G2 A2 BAR B2 ||| E2 ||| 0.124993750375
G2 A2 BAR B2 ||| E3 ||| 0.124993750375
G2 A2 BAR B2 ||| <UNK> ||| 1.2499250045e-06
F4 E4 D4 ||| C#4 ||| 0.199982801651
F4 E4 D4 ||| G#3 ||| 0.199982801651
F4 E4 D4 ||| <UNK> ||| 1.99980801843e-06
F4 E4 D4 ||| C4 ||| 0.599944405337
D3 G2 C3 BAR ||| F2 ||| 0.111108703768
D3 G2 C3 BAR ||| F3 ||| 0.333325000222
D3 G2 C3 BAR ||| G3 ||| 0.111108703768
D3 G2 C3 BAR ||| A2 ||| 0.0555546296543
D3 G2 C3 BAR ||| B2 ||| 0.111108703768
D3 G2 C3 BAR ||| C3 ||| 0.222216851995
D3 G2 C3 BAR ||| E3 ||| 0.0555546296543
D3 G2 C3 BAR ||| <UNK> ||| 5.55540741136e-07
F3 G3 BAR C3 ||| F3 ||| 0.066666177783
F3 G3 BAR C3 ||| END ||| 0.199998088909
F3 G3 BAR C3 ||| G2 ||| 0.0444441925953
F3 G3 BAR C3 ||| D3 ||| 0.0444441925953
F3 G3 BAR C3 ||| G#3 ||| 0.0222222074076
F3 G3 BAR C3 ||| G#2 ||| 0.0222222074076
F3 G3 BAR C3 ||| B2 ||| 0.0222222074076
F3 G3 BAR C3 ||| C3 ||| 0.199998088909
F3 G3 BAR C3 ||| G3 ||| 0.0222222074076
F3 G3 BAR C3 ||| <UNK> ||| 2.22219851877e-07
F3 G3 BAR C3 ||| A2 ||| 0.0222222074076
F3 G3 BAR C3 ||| E3 ||| 0.0222222074076
F3 G3 BAR C3 ||| C4 ||| 0.311108014848
F2 G2 A2 BAR ||| <UNK> ||| 3.33280008532e-06
F2 G2 A2 BAR ||| D2 ||| 0.333283341332
F2 G2 A2 BAR ||| B2 ||| 0.333283341332
F2 G2 A2 BAR ||| E2 ||| 0.333283341332
E3 C3 F3 ||| C3 ||| 0.117644325337
E3 C3 F3 ||| G3 ||| 0.176466193896
E3 C3 F3 ||| E3 ||| 0.705863010927
E3 C3 F3 ||| <UNK> ||| 5.8821868559e-07
G3 F3 E-3 ||| C3 ||| 0.333283341332
G3 F3 E-3 ||| B-3 ||| 0.333283341332
G3 F3 E-3 ||| D3 ||| 0.333283341332
G3 F3 E-3 ||| <UNK> ||| 3.33280008532e-06
BAR E3 D3 E3 ||| C3 ||| 0.153841242785
BAR E3 D3 E3 ||| F3 ||| 0.615362663532
BAR E3 D3 E3 ||| F#3 ||| 0.230761479576
BAR E3 D3 E3 ||| <UNK> ||| 7.69202367913e-07
G2 A2 B2 ||| C3 ||| 0.892842194134
G2 A2 B2 ||| A2 ||| 0.0357140306166
G2 A2 B2 ||| G2 ||| 0.0714277040965
G2 A2 B2 ||| <UNK> ||| 3.57136734799e-07
BAR G3 D3 G3 ||| <UNK> ||| 3.33280008532e-06
BAR G3 D3 G3 ||| G3 ||| 0.333283341332
BAR G3 D3 G3 ||| E3 ||| 0.333283341332
BAR G3 D3 G3 ||| B3 ||| 0.333283341332
C3 C#3 BAR D3 ||| R ||| 0.333283341332
C3 C#3 BAR D3 ||| G#2 ||| 0.333283341332
C3 C#3 BAR D3 ||| D2 ||| 0.333283341332
C3 C#3 BAR D3 ||| <UNK> ||| 3.33280008532e-06
G3 G2 C3 ||| C3 ||| 0.333308335333
G3 G2 C3 ||| <UNK> ||| 1.666533344e-06
G3 G2 C3 ||| END ||| 0.333308335333
G3 G2 C3 ||| C4 ||| 0.333308335333
C3 B2 C3 ||| C3 ||| 0.181811157331
C3 B2 C3 ||| A2 ||| 0.0909060331913
C3 B2 C3 ||| D3 ||| 0.636336778032
C3 B2 C3 ||| E3 ||| 0.0909060331913
C3 B2 C3 ||| <UNK> ||| 9.090512414e-07
G3 F#3 BAR G3 ||| F3 ||| 0.285696123694
G3 F#3 BAR G3 ||| G3 ||| 0.142848776084
G3 F#3 BAR G3 ||| G2 ||| 0.142848776084
G3 F#3 BAR G3 ||| C3 ||| 0.142848776084
