G#5 ||| B4 ||| 0.00199600798403
G#5 ||| D5 ||| 0.00281690140845
G#4 ||| E#4 ||| 0.25
G#4 ||| B3 ||| 0.00187265917603
G#4 ||| E4 ||| 0.00547730829421
G#4 ||| D#4 ||| 0.162162162162
G#4 ||| D4 ||| 0.00434782608696
G#4 ||| B#3 ||| 0.538461538462
G5,G5,G5 ||| C5 ||| 0.000728332119446
G5 ||| B4 ||| 0.184630738523
G5 ||| G4 ||| 0.0351157222666
G5 ||| F4 ||| 0.00652883569097
G5 ||| C#5 ||| 0.239130434783
G5 ||| E-5 ||| 0.428571428571
G5 ||| R ||| 0.00335570469799
G5 ||| A4 ||| 0.03800967519
G5 ||| B-4 ||| 0.17358490566
G5 ||| B3 ||| 0.00374531835206
G5 ||| E5 ||| 0.529411764706
G5 ||| E4 ||| 0.00782472613459
G5 ||| D4 ||| 0.00579710144928
G5 ||| D5 ||| 0.29014084507
G5 ||| C5 ||| 0.162418062637
G5 ||| C4 ||| 0.00313725490196
G4 ||| F4 ||| 0.103373231774
G4 ||| B4 ||| 0.00399201596806
G4 ||| G4 ||| 0.0291300877893
G4 ||| F#4 ||| 0.0181268882175
G4 ||| E-4 ||| 0.299465240642
G4 ||| C#4 ||| 0.183333333333
G4 ||| G3 ||| 0.0530973451327
G4 ||| R ||| 0.0268456375839
G4 ||| A#3 ||| 0.333333333333
G4 ||| B-3 ||| 0.204301075269
G4 ||| A3 ||| 0.0281690140845
G4 ||| E#4 ||| 0.0833333333333
G4 ||| D-4 ||| 0.333333333333
G4 ||| B3 ||| 0.258426966292
G4 ||| E4 ||| 0.26917057903
G4 ||| D#4 ||| 0.243243243243
G4 ||| B#3 ||| 0.153846153846
G4 ||| D4 ||| 0.322463768116
G4 ||| D5 ||| 0.00281690140845
G4 ||| C4 ||| 0.189803921569
F#4 ||| E4 ||| 0.000782472613459
F#4 ||| A3 ||| 0.0234741784038
F#4 ||| B3 ||| 0.00749063670412
F#4 ||| D4 ||| 0.0217391304348
F#4 ||| C4 ||| 0.0203921568627
F#5 ||| B4 ||| 0.0059880239521
F#5 ||| D5 ||| 0.0140845070423
F#5 ||| A4 ||| 0.0165860400829
F#5 ||| C5 ||| 0.0211216314639
B-3 ||| B-3 ||| 0.010752688172
A3 ||| A3 ||| 0.018779342723
A3 ||| G3 ||| 0.00442477876106
A3 ||| E3 ||| 0.166666666667
A3 ||| C4 ||| 0.00078431372549
E#4 ||| A#3 ||| 0.111111111111
E#4 ||| D#4 ||| 0.0810810810811
E#4 ||| D4 ||| 0.00652173913043
E#4 ||| B#3 ||| 0.307692307692
A5 ||| B4 ||| 0.0109780439122
A5 ||| G4 ||| 0.000399042298484
A5 ||| F#4 ||| 0.00302114803625
A5 ||| C#5 ||| 0.0217391304348
A5 ||| F4 ||| 0.00652883569097
A5 ||| E-5 ||| 0.142857142857
A5 ||| R ||| 0.00335570469799
A5 ||| A4 ||| 0.0172771250864
A5 ||| B-4 ||| 0.0188679245283
A5 ||| E5 ||| 0.152941176471
A5 ||| E4 ||| 0.00312989045383
A5 ||| D5 ||| 0.0704225352113
A5 ||| C5 ||| 0.0589949016752
A4 ||| F4 ||| 0.215451577802
A4 ||| G4 ||| 0.0474860335196
A4 ||| F#4 ||| 0.510574018127
A4 ||| E-4 ||| 0.0320855614973
A4 ||| C#4 ||| 0.133333333333
A4 ||| B4 ||| 0.000998003992016
A4 ||| B-3 ||| 0.010752688172
A4 ||| A3 ||| 0.0422535211268
