G#5 ||| E4 ||| 0.017094017094
G#5 ||| E3 ||| 0.000750187546887
G#4 ||| F2 ||| 0.00436681222707
G#4 ||| B#2 ||| 0.6
G#4 ||| C#3 ||| 0.0104166666667
G#4 ||| D3 ||| 0.00471698113208
G#4 ||| G#2 ||| 0.025641025641
G#4 ||| E#2 ||| 0.625
G#4 ||| B2 ||| 0.00537634408602
G#4 ||| C3 ||| 0.000564971751412
G#4 ||| D#2 ||| 0.153846153846
G#4 ||| D#3 ||| 0.0606060606061
G#4 ||| E3 ||| 0.00300075018755
G#4 ||| E2 ||| 0.0333333333333
G5,G5,G5 ||| C3 ||| 0.000564971751412
G5 ||| F4 ||| 0.0851063829787
G5 ||| G4 ||| 0.166666666667
G5 ||| G3 ||| 0.0756395995551
G5 ||| G2 ||| 0.00139275766017
G5 ||| C#4 ||| 0.583333333333
G5 ||| D3 ||| 0.0172955974843
G5 ||| F3 ||| 0.0360631104433
G5 ||| B2 ||| 0.0179211469534
G5 ||| C#3 ||| 0.0520833333333
G5 ||| R ||| 0.00657894736842
G5 ||| B-3 ||| 0.153333333333
G5 ||| A3 ||| 0.0460405156538
G5 ||| F#3 ||| 0.00380228136882
G5 ||| E-3 ||| 0.0451127819549
G5 ||| B3 ||| 0.198905109489
G5 ||| C3 ||| 0.0203389830508
G5 ||| E4 ||| 0.444444444444
G5 ||| A-3 ||| 0.0161290322581
G5 ||| D4 ||| 0.14406779661
G5 ||| E3 ||| 0.111027756939
G5 ||| C4 ||| 0.134857142857
G4 ||| G#2 ||| 0.025641025641
G4 ||| G4 ||| 0.0333333333333
G4 ||| G3 ||| 0.0767519466073
G4 ||| G2 ||| 0.342618384401
G4 ||| B-2 ||| 0.164634146341
G4 ||| B-3 ||| 0.0133333333333
G4 ||| A3 ||| 0.00460405156538
G4 ||| A2 ||| 0.109090909091
G4 ||| E#2 ||| 0.125
G4 ||| C3 ||| 0.157627118644
G4 ||| C2 ||| 0.0568181818182
G4 ||| A-2 ||| 0.0701754385965
G4 ||| D#2 ||| 0.230769230769
G4 ||| D#3 ||| 0.212121212121
G4 ||| E3 ||| 0.173293323331
G4 ||| C4 ||| 0.0308571428571
G4 ||| C#3 ||| 0.364583333333
G4 ||| A#2 ||| 0.166666666667
G4 ||| R ||| 0.0263157894737
G4 ||| E-3 ||| 0.285714285714
G4 ||| E-2 ||| 0.518518518519
G4 ||| B#2 ||| 0.2
G4 ||| F2 ||| 0.0655021834061
G4 ||| F3 ||| 0.0540946656649
G4 ||| F4 ||| 0.0212765957447
G4 ||| D-3 ||| 0.133333333333
G4 ||| F#3 ||| 0.0342205323194
G4 ||| B2 ||| 0.320788530466
G4 ||| B3 ||| 0.0328467153285
G4 ||| D4 ||| 0.00847457627119
G4 ||| E2 ||| 0.391666666667
G4 ||| D2 ||| 0.0675675675676
G4 ||| D3 ||| 0.0833333333333
F#4 ||| G3 ||| 0.00055617352614
F#4 ||| D2 ||| 0.0675675675676
F#4 ||| D3 ||| 0.0212264150943
F#4 ||| A2 ||| 0.0309090909091
F#4 ||| B2 ||| 0.00358422939068
F#4 ||| C3 ||| 0.00677966101695
F#4 ||| D#2 ||| 0.153846153846
F#4 ||| D#3 ||| 0.030303030303
F#4 ||| E3 ||| 0.00150037509377
F#5 ||| B-3 ||| 0.00666666666667
F#5 ||| A3 ||| 0.0147329650092
F#5 ||| B3 ||| 0.00182481751825
F#5 ||| D4 ||| 0.0635593220339
F#5 ||| D3 ||| 0.0117924528302
F#5 ||| C4 ||| 0.00914285714286
B-3 ||| G2 ||| 0.00139275766017
A3 ||| F#2 ||| 0.037037037037
A3 ||| F#3 ||| 0.00380228136882
A3 ||| G3 ||| 0.00055617352614
A3 ||| F2 ||| 0.00436681222707
A3 ||| A2 ||| 0.00181818181818
A3 ||| C3 ||| 0.000564971751412
A3 ||| D2 ||| 0.027027027027
A3 ||| D3 ||| 0.00157232704403
A3 ||| E2 ||| 0.00833333333333
E#4 ||| A#2 ||| 0.555555555556
E#4 ||| G#2 ||| 0.0769230769231
E#4 ||| E#2 ||| 0.125
A5 ||| F4 ||| 0.31914893617
A5 ||| F#3 ||| 0.0152091254753
A5 ||| G3 ||| 0.0055617352614
A5 ||| C#4 ||| 0.0555555555556
A5 ||| F3 ||| 0.0503380916604
A5 ||| C#3 ||| 0.0104166666667
A5 ||| B-3 ||| 0.00666666666667
A5 ||| A3 ||| 0.0165745856354
A5 ||| R ||| 0.00657894736842
A5 ||| B3 ||| 0.00182481751825
A5 ||| C3 ||| 0.000564971751412
A5 ||| E4 ||| 0.025641025641
A5 ||| D4 ||| 0.0847457627119
A5 ||| D3 ||| 0.00393081761006
A5 ||| E3 ||| 0.00450112528132
A5 ||| C4 ||| 0.016
A4 ||| G#3 ||| 0.008
A4 ||| F#2 ||| 0.111111111111
A4 ||| F#3 ||| 0.186311787072
A4 ||| G3 ||| 0.0139043381535
A4 ||| G2 ||| 0.0278551532033
A4 ||| B-2 ||| 0.0243902439024
A4 ||| A3 ||| 0.0322283609576
A4 ||| A2 ||| 0.156363636364
A4 ||| C3 ||| 0.0802259887006
A4 ||| C2 ||| 0.0568181818182
A4 ||| D#2 ||| 0.0769230769231
A4 ||| D#3 ||| 0.242424242424
A4 ||| E3 ||| 0.0577644411103
A4 ||| C4 ||| 0.0194285714286
A4 ||| C#4 ||| 0.0277777777778
A4 ||| C#3 ||| 0.322916666667
A4 ||| E-3 ||| 0.0225563909774
A4 ||| F2 ||| 0.262008733624
A4 ||| F3 ||| 0.169797145004
A4 ||| B2 ||| 0.0376344086022
A4 ||| B3 ||| 0.014598540146
A4 ||| D4 ||| 0.0889830508475
