G#5 ||| E4 ||| 0.00216294160058
G#4 ||| F3 ||| 0.00398406374502
G#4 ||| G3 ||| 0.00254614894971
G#4 ||| A#3 ||| 0.16
G#4 ||| G#3 ||| 0.0579710144928
G#4 ||| E#3 ||| 0.454545454545
G#4 ||| B3 ||| 0.00524475524476
G#4 ||| D4 ||| 0.000606060606061
G#4 ||| B#3 ||| 0.222222222222
G#4 ||| E3 ||| 0.00451467268623
G#4 ||| C4 ||| 0.000478468899522
G5,G5,G5 ||| E4 ||| 0.000720980533526
G5 ||| F4 ||| 0.0677200902935
G5 ||| G4 ||| 0.126533742331
G5 ||| G3 ||| 0.00572883513686
G5 ||| E-4 ||| 0.0647058823529
G5 ||| C#4 ||| 0.123287671233
G5 ||| C5 ||| 0.333333333333
G5 ||| R ||| 0.00331125827815
G5 ||| B4 ||| 0.394736842105
G5 ||| B-3 ||| 0.00920245398773
G5 ||| A3 ||| 0.00280373831776
G5 ||| F#4 ||| 0.0493827160494
G5 ||| D-4 ||| 0.0344827586207
G5 ||| A4 ||| 0.031007751938
G5 ||| B-4 ||| 0.4
G5 ||| B3 ||| 0.0183566433566
G5 ||| E4 ||| 0.15140591204
G5 ||| D#4 ||| 0.25
G5 ||| D4 ||| 0.114545454545
G5 ||| E3 ||| 0.00225733634312
G5 ||| C4 ||| 0.0315789473684
G4 ||| G#3 ||| 0.0289855072464
G4 ||| G4 ||| 0.00153374233129
G4 ||| G3 ||| 0.164226607257
G4 ||| B-3 ||| 0.315950920245
G4 ||| A3 ||| 0.0588785046729
G4 ||| A4 ||| 0.00258397932817
G4 ||| C3 ||| 0.0849056603774
G4 ||| E4 ||| 0.0129776496035
G4 ||| E3 ||| 0.295711060948
G4 ||| C4 ||| 0.126315789474
G4 ||| C#4 ||| 0.041095890411
G4 ||| C#3 ||| 0.4
G4 ||| A#3 ||| 0.4
G4 ||| E-4 ||| 0.0117647058824
G4 ||| F#3 ||| 0.0384615384615
G4 ||| E-3 ||| 0.333333333333
G4 ||| B#3 ||| 0.444444444444
G4 ||| F3 ||| 0.105577689243
G4 ||| F4 ||| 0.00112866817156
G4 ||| B4 ||| 0.0263157894737
G4 ||| R ||| 0.0264900662252
G4 ||| B2 ||| 0.125
G4 ||| B3 ||| 0.310314685315
G4 ||| D4 ||| 0.0454545454545
G4 ||| D3 ||| 0.38188976378
F#4 ||| F#3 ||| 0.0230769230769
F#4 ||| G3 ||| 0.00254614894971
F#4 ||| B-3 ||| 0.00306748466258
F#4 ||| A3 ||| 0.0401869158879
F#4 ||| B3 ||| 0.00611888111888
F#4 ||| C3 ||| 0.00943396226415
F#4 ||| D4 ||| 0.00121212121212
F#4 ||| D3 ||| 0.0236220472441
F#4 ||| C4 ||| 0.00478468899522
F#5 ||| G4 ||| 0.00153374233129
F#5 ||| A4 ||| 0.0335917312661
F#5 ||| D4 ||| 0.0151515151515
F#5 ||| D#4 ||| 0.25
F#5 ||| C5 ||| 0.0277777777778
F#5 ||| C4 ||| 0.00526315789474
B-3 ||| E-3 ||| 0.0196078431373
A3 ||| F3 ||| 0.00398406374502
A3 ||| R ||| 0.00331125827815
A3 ||| E-3 ||| 0.0196078431373
A3 ||| C3 ||| 0.0377358490566
A3 ||| D3 ||| 0.0157480314961
A3 ||| E3 ||| 0.00902934537246
E#4 ||| A#3 ||| 0.32
E#4 ||| G#3 ||| 0.0289855072464
E#4 ||| D4 ||| 0.000606060606061
E#4 ||| B#3 ||| 0.333333333333
A5 ||| G4 ||| 0.00920245398773
A5 ||| F#4 ||| 0.16049382716
A5 ||| F4 ||| 0.079006772009
A5 ||| E-4 ||| 0.00588235294118
A5 ||| R ||| 0.00662251655629
A5 ||| A4 ||| 0.0180878552972
A5 ||| E4 ||| 0.0281182408075
A5 ||| D4 ||| 0.00606060606061
A5 ||| C5 ||| 0.25
A5 ||| C4 ||| 0.0066985645933
A4 ||| F4 ||| 0.0158013544018
A4 ||| F#4 ||| 0.0864197530864
A4 ||| G4 ||| 0.00383435582822
A4 ||| G3 ||| 0.0598345003183
A4 ||| E-4 ||| 0.0176470588235
A4 ||| C#4 ||| 0.205479452055
A4 ||| F3 ||| 0.203187250996
A4 ||| A3 ||| 0.155140186916
A4 ||| B-3 ||| 0.0184049079755
A4 ||| G#3 ||| 0.0289855072464
A4 ||| F#3 ||| 0.553846153846
A4 ||| A4 ||| 0.00258397932817
A4 ||| B3 ||| 0.0498251748252
A4 ||| C3 ||| 0.0377358490566
A4 ||| E4 ||| 0.0483056957462
A4 ||| D4 ||| 0.122424242424
A4 ||| D3 ||| 0.011811023622
A4 ||| E3 ||| 0.115124153499
A4 ||| C4 ||| 0.156937799043
B-4 ||| G4 ||| 0.00383435582822
B-4 ||| G3 ||| 0.0146403564609
B-4 ||| E-4 ||| 0.235294117647
B-4 ||| D4 ||| 0.04
B-4 ||| D3 ||| 0.011811023622
B-4 ||| B-3 ||| 0.0858895705521
B-4 ||| F3 ||| 0.0298804780876
B-4 ||| D-4 ||| 0.586206896552
B-4 ||| E-3 ||| 0.0980392156863
B-4 ||| F4 ||| 0.0124153498871
B-4 ||| A-3 ||| 0.0434782608696
B-4 ||| A-4 ||| 0.285714285714
B-4 ||| E3 ||| 0.00677200902935
B-4 ||| C4 ||| 0.00861244019139
B-5 ||| D4 ||| 0.00121212121212
B-5 ||| F4 ||| 0.00112866817156
B-5 ||| C4 ||| 0.000956937799043
E5 ||| F4 ||| 0.0417607223476
E5 ||| G4 ||| 0.342024539877
E5 ||| G3 ||| 0.0260980267346
E5 ||| C#4 ||| 0.465753424658
E5 ||| F3 ||| 0.00199203187251
E5 ||| A3 ||| 0.0261682242991
E5 ||| B4 ||| 0.157894736842
E5 ||| B-3 ||| 0.079754601227
E5 ||| G#3 ||| 0.0434782608696
E5 ||| F#4 ||| 0.0987654320988
E5 ||| G#4 ||| 0.307692307692
E5 ||| B-4 ||| 0.5
E5 ||| B3 ||| 0.0917832167832
E5 ||| C3 ||| 0.0188679245283
E5 ||| E4 ||| 0.127613554434
E5 ||| D4 ||| 0.0636363636364
E5 ||| C4 ||| 0.231100478469
E5 ||| C5 ||| 0.25
E5 ||| A4 ||| 0.289405684755
E4 ||| F#3 ||| 0.0230769230769
E4 ||| G3 ||| 0.189688096754
E4 ||| C#4 ||| 0.013698630137
E4 ||| A3 ||| 0.0785046728972
E4 ||| C#3 ||| 0.4
E4 ||| D3 ||| 0.0236220472441
E4 ||| B-3 ||| 0.0337423312883
E4 ||| G#3 ||| 0.246376811594
E4 ||| F3 ||| 0.0199203187251
E4 ||| B2 ||| 0.25
E4 ||| B3 ||| 0.00961538461538
E4 ||| C3 ||| 0.377358490566
E4 ||| E4 ||| 0.000720980533526
E4 ||| R ||| 0.00993377483444
E4 ||| D4 ||| 0.00121212121212
E4 ||| E3 ||| 0.0767494356659
E4 ||| C4 ||| 0.0157894736842
D#4 ||| A#3 ||| 0.04
D#4 ||| G#3 ||| 0.0289855072464
D#4 ||| G3 ||| 0.00318268618714
A-5 ||| E-4 ||| 0.00588235294118
A-5 ||| F4 ||| 0.00112866817156
C6 ||| E4 ||| 0.000720980533526
C6 ||| G4 ||| 0.00383435582822
C6 ||| A4 ||| 0.00258397932817
C6 ||| C4 ||| 0.000478468899522
C5 ||| G#3 ||| 0.0289855072464
C5 ||| G#4 ||| 0.0769230769231
C5 ||| G4 ||| 0.0720858895706
C5 ||| F#4 ||| 0.172839506173
C5 ||| B-3 ||| 0.104294478528
C5 ||| A3 ||| 0.200934579439
C5 ||| A4 ||| 0.0335917312661
C5 ||| C3 ||| 0.0283018867925
C5 ||| E4 ||| 0.452775775054
C5 ||| A-3 ||| 0.275362318841
C5 ||| A-4 ||| 0.285714285714
C5 ||| E3 ||| 0.0496613995485
C5 ||| C4 ||| 0.16985645933
C5 ||| E-4 ||| 0.429411764706
C5 ||| R ||| 0.00662251655629
C5 ||| D-4 ||| 0.310344827586
C5 ||| G3 ||| 0.170591979631
C5 ||| F3 ||| 0.0278884462151
C5 ||| F4 ||| 0.198645598194
C5 ||| F#3 ||| 0.153846153846
C5 ||| B3 ||| 0.0358391608392
C5 ||| D4 ||| 0.0775757575758
C5 ||| D3 ||| 0.0157480314961
C4 ||| F#3 ||| 0.0153846153846
C4 ||| G3 ||| 0.0190961171229
C4 ||| A3 ||| 0.00841121495327
C4 ||| F3 ||| 0.0597609561753
C4 ||| E-3 ||| 0.176470588235
C4 ||| C3 ||| 0.0943396226415
C4 ||| A-3 ||| 0.0144927536232
C4 ||| D3 ||| 0.0314960629921
C4 ||| E3 ||| 0.349887133183
C4 ||| C4 ||| 0.000478468899522
C#5 ||| C#4 ||| 0.013698630137
C#5 ||| A3 ||| 0.00841121495327
C#5 ||| A#3 ||| 0.04
C#5 ||| G#3 ||| 0.0144927536232
C#5 ||| E4 ||| 0.00937274693583
C#5 ||| D4 ||| 0.00121212121212
C#4 ||| G3 ||| 0.000636537237428
C#4 ||| E3 ||| 0.00451467268623
E-5 ||| G4 ||| 0.021472392638
E-5 ||| F4 ||| 0.020316027088
E-5 ||| E-4 ||| 0.164705882353
E-5 ||| D4 ||| 0.00181818181818
E-5 ||| B-3 ||| 0.0644171779141
E-5 ||| A-3 ||| 0.0434782608696
E-5 ||| A-4 ||| 0.142857142857
E-5 ||| C4 ||| 0.00287081339713
E-4 ||| F3 ||| 0.00796812749004
E-4 ||| G3 ||| 0.0203691915977
E-4 ||| A3 ||| 0.0018691588785
E-4 ||| E-3 ||| 0.137254901961
E-4 ||| A-3 ||| 0.101449275362
E-4 ||| D3 ||| 0.00787401574803
R ||| A3 ||| 0.000934579439252
R ||| R ||| 0.923841059603
A#4 ||| A#3 ||| 0.04
A#4 ||| E#3 ||| 0.454545454545
A#4 ||| G#3 ||| 0.0724637681159
A#4 ||| G3 ||| 0.004455760662
B#4 ||| E#3 ||| 0.0909090909091
B#4 ||| G#3 ||| 0.0434782608696
B#4 ||| G3 ||| 0.000636537237428
G3 ||| F3 ||| 0.00199203187251
G3 ||| B2 ||| 0.375
F4 ||| F#3 ||| 0.00769230769231
