3
R C5 BAR C5 ||| B4 ||| 0.666666666167
R C5 BAR C5 ||| C5 ||| 0.3333333331
R C5 BAR C5 ||| <UNK> ||| 3.33333333067e-11
E5 BAR D5 D5 ||| G5 ||| 0.117647058813
E5 BAR D5 D5 ||| C#5 ||| 0.0588235294093
E5 BAR D5 D5 ||| E5 ||| 0.176470588216
E5 BAR D5 D5 ||| D5 ||| 0.117647058813
E5 BAR D5 D5 ||| C5 ||| 0.529411764637
E5 BAR D5 D5 ||| <UNK> ||| 5.88235294035e-12
BAR R BAR R D5 BAR ||| E5 ||| 0.49999999945
BAR R BAR R D5 BAR ||| D5 ||| 0.49999999945
BAR R BAR R D5 BAR ||| <UNK> ||| 4.999999994e-11
E5 D5 BAR C5 ||| END ||| 0.218749999993
E5 D5 BAR C5 ||| B4 ||| 0.249999999992
E5 D5 BAR C5 ||| R ||| 0.0624999999992
E5 D5 BAR C5 ||| A4 ||| 0.0468749999998
E5 D5 BAR C5 ||| E5 ||| 0.0312500000004
E5 D5 BAR C5 ||| D5 ||| 0.203124999994
E5 D5 BAR C5 ||| C5 ||| 0.187499999995
E5 D5 BAR C5 ||| <UNK> ||| 1.56249999994e-12
G5 G5 BAR F5 ||| E5 ||| 0.923076922914
G5 G5 BAR F5 ||| G5 ||| 0.0769230769166
G5 G5 BAR F5 ||| <UNK> ||| 7.69230769089e-12
BAR D5 D5 BAR E5 ||| E5 ||| 0.727272727123
BAR D5 D5 BAR E5 ||| D5 ||| 0.181818181788
BAR D5 D5 BAR E5 ||| F#5 ||| 0.0909090908983
BAR D5 D5 BAR E5 ||| <UNK> ||| 9.09090908893e-12
E5 BAR E5 D5 BAR ||| R ||| 0.249999999937
E5 BAR E5 D5 BAR ||| C5 ||| 0.749999999787
E5 BAR E5 D5 BAR ||| <UNK> ||| 1.24999999962e-11
BAR B4 B4 C5 BAR ||| <UNK> ||| 1.666666666e-11
BAR B4 B4 C5 BAR ||| G4 ||| 0.166666666617
BAR B4 B4 C5 BAR ||| D5 ||| 0.833333333017
BAR D4 D4 D4 ||| E-4 ||| 0.3333333331
BAR D4 D4 D4 ||| <UNK> ||| 3.33333333067e-11
BAR D4 D4 D4 ||| E4 ||| 0.666666666167
A4 BAR B4 A4 ||| B4 ||| 0.111111111093
A4 BAR B4 A4 ||| G4 ||| 0.777777777581
A4 BAR B4 A4 ||| C5 ||| 0.111111111093
A4 BAR B4 A4 ||| <UNK> ||| 1.11111111081e-11
G4 BAR A4 G4 ||| F4 ||| 0.599999999946
G4 BAR A4 G4 ||| G4 ||| 0.119999999992
G4 BAR A4 G4 ||| F#4 ||| 0.0400000000002
G4 BAR A4 G4 ||| A4 ||| 0.239999999981
G4 BAR A4 G4 ||| <UNK> ||| 3.99999999962e-12
E5 D5 BAR E5 ||| <UNK> ||| 4.9999999994e-12
E5 D5 BAR E5 ||| G5 ||| 0.099999999993
E5 D5 BAR E5 ||| F#5 ||| 0.199999999981
E5 D5 BAR E5 ||| R ||| 0.049999999999
E5 D5 BAR E5 ||| E5 ||| 0.099999999993
E5 D5 BAR E5 ||| D5 ||| 0.049999999999
E5 D5 BAR E5 ||| F5 ||| 0.499999999945
C5 D5 A4 BAR ||| <UNK> ||| 3.33333333067e-11
C5 D5 A4 BAR ||| G4 ||| 0.666666666167
C5 D5 A4 BAR ||| D5 ||| 0.3333333331
BAR E5 ||| E5 ||| 0.199999999962
BAR E5 ||| D5 ||| 0.299999999938
BAR E5 ||| F5 ||| 0.299999999938
BAR E5 ||| C5 ||| 0.199999999962
BAR E5 ||| <UNK> ||| 9.9999999976e-12
G4 BAR G4 C5 ||| B4 ||| 0.666666666167
G4 BAR G4 C5 ||| B-4 ||| 0.3333333331
G4 BAR G4 C5 ||| <UNK> ||| 3.33333333067e-11
E4 BAR D4 BAR G4 ||| E4 ||| 0.666666666167
E4 BAR D4 BAR G4 ||| G4 ||| 0.3333333331
E4 BAR D4 BAR G4 ||| <UNK> ||| 3.33333333067e-11
E5 BAR C5 E5 ||| G5 ||| 0.399999999828
E5 BAR C5 E5 ||| F5 ||| 0.599999999732
E5 BAR C5 E5 ||| <UNK> ||| 1.99999999904e-11
BAR E5 D5 BAR C5 ||| END ||| 0.349999999963
BAR E5 D5 BAR C5 ||| B4 ||| 0.199999999981
BAR E5 D5 BAR C5 ||| E5 ||| 0.049999999999
BAR E5 D5 BAR C5 ||| D5 ||| 0.349999999963
BAR E5 D5 BAR C5 ||| C5 ||| 0.049999999999
BAR E5 D5 BAR C5 ||| <UNK> ||| 4.9999999994e-12
BAR E5 E5 D5 ||| E5 ||| 0.187499999978
BAR E5 E5 D5 ||| G5 ||| 0.0624999999969
BAR E5 E5 D5 ||| D5 ||| 0.187499999978
BAR E5 E5 D5 ||| C5 ||| 0.562499999922
BAR E5 E5 D5 ||| <UNK> ||| 6.24999999906e-12
F5 E5 F5 BAR ||| G5 ||| 0.571428571247
F5 E5 F5 BAR ||| D5 ||| 0.428571428439
F5 E5 F5 BAR ||| <UNK> ||| 1.42857142808e-11
C5 B4 BAR A4 ||| B4 ||| 0.263157894709
C5 B4 BAR A4 ||| G4 ||| 0.631578947294
C5 B4 BAR A4 ||| R ||| 0.052631578946
C5 B4 BAR A4 ||| A4 ||| 0.052631578946
C5 B4 BAR A4 ||| <UNK> ||| 5.26315789407e-12
C5 G4 BAR G4 ||| E4 ||| 0.49999999945
C5 G4 BAR G4 ||| A4 ||| 0.49999999945
C5 G4 BAR G4 ||| <UNK> ||| 4.999999994e-11
C5 B4 A4 ||| B4 ||| 0.461538461461
C5 B4 A4 ||| <UNK> ||| 7.69230769089e-12
C5 B4 A4 ||| G4 ||| 0.307692307643
C5 B4 A4 ||| A4 ||| 0.153846153825
C5 B4 A4 ||| D5 ||| 0.0769230769166
D5 BAR C5 D5 BAR ||| D5 ||| 0.3333333331
D5 BAR C5 D5 BAR ||| C5 ||| 0.666666666167
D5 BAR C5 D5 BAR ||| <UNK> ||| 3.33333333067e-11
C5 C5 BAR D5 ||| E5 ||| 0.769230769096
C5 C5 BAR D5 ||| B4 ||| 0.0769230769166
C5 C5 BAR D5 ||| G4 ||| 0.0769230769166
C5 C5 BAR D5 ||| <UNK> ||| 7.69230769089e-12
C5 C5 BAR D5 ||| D5 ||| 0.0769230769166
C5 BAR D5 E5 ||| D5 ||| 0.161290322571
C5 BAR D5 E5 ||| F5 ||| 0.548387096735
C5 BAR D5 E5 ||| C5 ||| 0.290322580626
