G#3 ||| F4 ||| 0.0020366598778
G#3 ||| C#4 ||| 0.0140845070423
G#3 ||| B4 ||| 0.00268096514745
G#3 ||| E#4 ||| 0.2
G#3 ||| B3 ||| 0.024427480916
G#3 ||| E4 ||| 0.0131291028446
G#3 ||| D#4 ||| 0.075
G#3 ||| B#3 ||| 0.352941176471
G#3 ||| D4 ||| 0.0129617627997
G#3 ||| C5 ||| 0.00207325501037
G#3 ||| C4 ||| 0.000672494956288
G#4 ||| B4 ||| 0.00536193029491
G#4 ||| D5 ||| 0.00982800982801
G4 ||| B4 ||| 0.359249329759
G4 ||| G4 ||| 0.0208409506399
G4 ||| F4 ||| 0.0020366598778
G4 ||| E-4 ||| 0.00497512437811
G4 ||| C#5 ||| 0.415094339623
G4 ||| E-5 ||| 0.111111111111
G4 ||| B-3 ||| 0.0104166666667
G4 ||| A4 ||| 0.0264650283554
G4 ||| B-4 ||| 0.306338028169
G4 ||| E5 ||| 0.322314049587
G4 ||| E4 ||| 0.0109409190372
G4 ||| D4 ||| 0.0207388204796
G4 ||| D5 ||| 0.366093366093
G4 ||| A-4 ||| 0.00813008130081
G4 ||| C5 ||| 0.383552176918
G4 ||| C4 ||| 0.00672494956288
G3 ||| G4 ||| 0.0285191956124
G3 ||| F#4 ||| 0.0118764845606
G3 ||| B-3 ||| 0.427083333333
G3 ||| A3 ||| 0.103305785124
G3 ||| E#4 ||| 0.1
G3 ||| A4 ||| 0.00378071833648
G3 ||| B-4 ||| 0.00704225352113
G3 ||| E4 ||| 0.226112326769
G3 ||| D#4 ||| 0.125
G3 ||| C5 ||| 0.0138217000691
G3 ||| C4 ||| 0.371217215871
G3 ||| C#5 ||| 0.0377358490566
G3 ||| C#4 ||| 0.30985915493
G3 ||| A#3 ||| 0.777777777778
G3 ||| E-4 ||| 0.0796019900498
G3 ||| D-4 ||| 0.333333333333
G3 ||| G3 ||| 0.0493827160494
G3 ||| B#3 ||| 0.176470588235
G3 ||| F4 ||| 0.0397148676171
G3 ||| B4 ||| 0.00625558534406
G3 ||| B3 ||| 0.429007633588
G3 ||| D4 ||| 0.236552171095
G3 ||| D5 ||| 0.012285012285
A3,A3 ||| E4 ||| 0.00072939460248
B-3 ||| F4 ||| 0.0590631364562
B-3 ||| G4 ||| 0.0237659963437
B-3 ||| G3 ||| 0.0082304526749
B-3 ||| E-4 ||| 0.407960199005
B-3 ||| C#4 ||| 0.056338028169
B-3 ||| B-3 ||| 0.0104166666667
B-3 ||| F3 ||| 0.0714285714286
B-3 ||| D-4 ||| 0.333333333333
B-3 ||| A4 ||| 0.00882167611846
B-3 ||| B-4 ||| 0.0352112676056
B-3 ||| E4 ||| 0.0291757840992
B-3 ||| D4 ||| 0.0440699935191
B-3 ||| A-4 ||| 0.00813008130081
B-3 ||| C4 ||| 0.0181573638198
A3 ||| F4 ||| 0.125254582485
A3 ||| G4 ||| 0.018281535649
A3 ||| F#4 ||| 0.154394299287
A3 ||| E-4 ||| 0.0398009950249
A3 ||| C#5 ||| 0.0188679245283
A3 ||| C#4 ||| 0.492957746479
A3 ||| B4 ||| 0.0017873100983
A3 ||| B-3 ||| 0.0104166666667
A3 ||| A3 ||| 0.0867768595041
A3 ||| F3 ||| 0.214285714286
A3 ||| A4 ||| 0.0365469439193
A3 ||| B3 ||| 0.036641221374
A3 ||| E5 ||| 0.00826446280992
A3 ||| E4 ||| 0.137855579869
A3 ||| D#4 ||| 0.075
A3 ||| D5 ||| 0.036855036855
