G#3 ||| F2 ||| 0.00346020761246
G#3 ||| B#2 ||| 0.0666666666667
G#3 ||| G2 ||| 0.00213219616205
G#3 ||| D2 ||| 0.0103092783505
G#3 ||| D3 ||| 0.00271739130435
G#3 ||| C#3 ||| 0.02
G#3 ||| D#3 ||| 0.0666666666667
G#3 ||| A#2 ||| 0.15
G#3 ||| G#2 ||| 0.0212765957447
G#3 ||| E#2 ||| 0.428571428571
G#3 ||| B2 ||| 0.0152542372881
G#3 ||| C3 ||| 0.000521104742053
G#3 ||| D#2 ||| 0.0833333333333
G#3 ||| A2 ||| 0.00151515151515
G#3 ||| E3 ||| 0.0170881749829
G#3 ||| E2 ||| 0.044776119403
G#4 ||| A3 ||| 0.00173761946134
G#4 ||| B3 ||| 0.00364298724954
G#4 ||| E4 ||| 0.0078125
G#4 ||| D4 ||| 0.00740740740741
G#4 ||| D3 ||| 0.000679347826087
G#4 ||| E3 ||| 0.00136705399863
G4 ||| G4 ||| 0.4
G4 ||| G3 ||| 0.193253012048
G4 ||| G2 ||| 0.00852878464819
G4 ||| B-3 ||| 0.0931677018634
G4 ||| A3 ||| 0.0460469157255
G4 ||| C3 ||| 0.0693069306931
G4 ||| E4 ||| 0.4765625
G4 ||| A-3 ||| 0.037037037037
G4 ||| E3 ||| 0.139439507861
G4 ||| C4 ||| 0.251319957761
G4 ||| C#4 ||| 0.0540540540541
G4 ||| C#3 ||| 0.01
G4 ||| E-4 ||| 0.25
G4 ||| R ||| 0.00341296928328
G4 ||| D-4 ||| 0.333333333333
G4 ||| E-3 ||| 0.102739726027
G4 ||| F3 ||| 0.0771857923497
G4 ||| F4 ||| 0.288461538462
G4 ||| F#3 ||| 0.0108303249097
G4 ||| B2 ||| 0.0101694915254
G4 ||| B3 ||| 0.289617486339
G4 ||| D4 ||| 0.0703703703704
G4 ||| D3 ||| 0.0271739130435
G3 ||| G#2 ||| 0.0212765957447
G3 ||| F#3 ||| 0.0361010830325
G3 ||| G3 ||| 0.0568674698795
G3 ||| G2 ||| 0.309168443497
G3 ||| B-2 ||| 0.0837696335079
G3 ||| B-3 ||| 0.055900621118
G3 ||| A3 ||| 0.00173761946134
G3 ||| A2 ||| 0.0893939393939
G3 ||| C3 ||| 0.241792600313
G3 ||| C2 ||| 0.266055045872
G3 ||| A-2 ||| 0.0833333333333
G3 ||| D#2 ||| 0.416666666667
G3 ||| D#3 ||| 0.133333333333
G3 ||| E3 ||| 0.207108680793
G3 ||| C4 ||| 0.00633579725449
G3 ||| C#4 ||| 0.027027027027
G3 ||| C#3 ||| 0.12
G3 ||| A#2 ||| 0.15
G3 ||| R ||| 0.00341296928328
G3 ||| E-3 ||| 0.13698630137
G3 ||| E-2 ||| 0.444444444444
G3 ||| B#2 ||| 0.0666666666667
G3 ||| F2 ||| 0.176470588235
G3 ||| F3 ||| 0.0430327868852
G3 ||| B2 ||| 0.364406779661
G3 ||| B3 ||| 0.0145719489982
G3 ||| D4 ||| 0.0037037037037
G3 ||| E2 ||| 0.559701492537
G3 ||| D2 ||| 0.113402061856
G3 ||| D3 ||| 0.0733695652174
A3,A3 ||| D3 ||| 0.000679347826087
A3,A3 ||| C#3 ||| 0.01
B-3 ||| F#2 ||| 0.03125
B-3 ||| F3 ||| 0.0150273224044
B-3 ||| G3 ||| 0.0298795180723
B-3 ||| G2 ||| 0.0255863539446
B-3 ||| F2 ||| 0.0311418685121
B-3 ||| C#3 ||| 0.11
B-3 ||| D3 ||| 0.023097826087
B-3 ||| B-2 ||| 0.214659685864
B-3 ||| B-3 ||| 0.0372670807453
B-3 ||| A3 ||| 0.00434404865334
B-3 ||| A2 ||| 0.0030303030303
B-3 ||| D-3 ||| 0.142857142857
B-3 ||| E-3 ||| 0.335616438356
B-3 ||| E-2 ||| 0.407407407407
B-3 ||| C3 ||| 0.0203230849401
B-3 ||| A-3 ||| 0.0740740740741
B-3 ||| A-2 ||| 0.183333333333
B-3 ||| E2 ||| 0.0373134328358
B-3 ||| E3 ||| 0.0184552289815
B-3 ||| C4 ||| 0.00105596620908
A3 ||| F#2 ||| 0.59375
A3 ||| F#3 ||| 0.310469314079
A3 ||| G3 ||| 0.0168674698795
A3 ||| G2 ||| 0.0341151385928
A3 ||| B-3 ||| 0.00621118012422
A3 ||| A3 ||| 0.0529973935708
A3 ||| A2 ||| 0.277272727273
A3 ||| C3 ||| 0.0401250651381
A3 ||| E4 ||| 0.0078125
A3 ||| D#3 ||| 0.111111111111
A3 ||| E3 ||| 0.0430622009569
A3 ||| C4 ||| 0.00316789862724
A3 ||| C#4 ||| 0.0810810810811
A3 ||| C#3 ||| 0.32
A3 ||| R ||| 0.00341296928328
A3 ||| E-3 ||| 0.0479452054795
A3 ||| C2 ||| 0.00917431192661
A3 ||| F2 ||| 0.294117647059
A3 ||| F3 ||| 0.149590163934
A3 ||| B2 ||| 0.0661016949153
A3 ||| B3 ||| 0.00182149362477
A3 ||| D4 ||| 0.0222222222222
A3 ||| E2 ||| 0.00746268656716
A3 ||| D2 ||| 0.164948453608
A3 ||| D3 ||| 0.152173913043
A2 ||| F2 ||| 0.00346020761246
E#3 ||| A#2 ||| 0.1
E#3 ||| D#3 ||| 0.0222222222222
E#3 ||| B#2 ||| 0.266666666667
E#3 ||| D3 ||| 0.00407608695652
A4 ||| F4 ||| 0.0961538461538
A4 ||| F#3 ||| 0.0469314079422
A4 ||| G3 ||| 0.0134939759036
A4 ||| C#4 ||| 0.216216216216
A4 ||| C#3 ||| 0.03
A4 ||| D3 ||| 0.0210597826087
A4 ||| B-3 ||| 0.0310559006211
A4 ||| A3 ||| 0.11728931364
A4 ||| F3 ||| 0.0703551912568
A4 ||| B3 ||| 0.0346083788707
A4 ||| C3 ||| 0.00104220948411
A4 ||| E4 ||| 0.015625
A4 ||| D4 ||| 0.107407407407
A4 ||| D#3 ||| 0.0222222222222
A4 ||| E3 ||| 0.00273410799727
A4 ||| C4 ||| 0.0348468848997
B-4 ||| G4 ||| 0.0285714285714
B-4 ||| G3 ||| 0.00433734939759
B-4 ||| C#4 ||| 0.0540540540541
B-4 ||| B-3 ||| 0.0186335403727
B-4 ||| A3 ||| 0.00173761946134
B-4 ||| F3 ||| 0.00068306010929
B-4 ||| E-3 ||| 0.00684931506849
B-4 ||| C3 ||| 0.00156331422616
B-4 ||| E4 ||| 0.0078125
B-4 ||| D4 ||| 0.00740740740741
B-4 ||| C4 ||| 0.00844772967265
C3 ||| F2 ||| 0.0242214532872
C3 ||| F3 ||| 0.00273224043716
C3 ||| G3 ||| 0.000481927710843
C3 ||| G2 ||| 0.00639658848614
C3 ||| B-2 ||| 0.00523560209424
C3 ||| A3 ||| 0.00347523892268
C3 ||| A2 ||| 0.0515151515152
C3 ||| B2 ||| 0.00847457627119
C3 ||| C3 ||| 0.0156331422616
C3 ||| C2 ||| 0.0733944954128
C3 ||| A-2 ||| 0.0666666666667
C3 ||| D2 ||| 0.0103092783505
C3 ||| D3 ||| 0.000679347826087
C3 ||| E3 ||| 0.00136705399863
C3 ||| E2 ||| 0.044776119403
E4 ||| G#3 ||| 0.354838709677
E4 ||| G#2 ||| 0.0425531914894
E4 ||| G4 ||| 0.0571428571429
E4 ||| G3 ||| 0.0621686746988
E4 ||| G2 ||| 0.00533049040512
E4 ||| B-3 ||| 0.0683229813665
E4 ||| A3 ||| 0.205039096438
E4 ||| A2 ||| 0.0272727272727
E4 ||| C3 ||| 0.187076602397
E4 ||| E4 ||| 0.203125
E4 ||| E3 ||| 0.116199589884
E4 ||| E2 ||| 0.0373134328358
E4 ||| C#4 ||| 0.540540540541
E4 ||| C#3 ||| 0.17
E4 ||| F#3 ||| 0.0324909747292
E4 ||| F2 ||| 0.00692041522491
E4 ||| F3 ||| 0.0314207650273
E4 ||| F4 ||| 0.0576923076923
E4 ||| B2 ||| 0.0135593220339
E4 ||| B3 ||| 0.0601092896175
E4 ||| D4 ||| 0.0777777777778
E4 ||| C4 ||| 0.306230200634
E4 ||| D3 ||| 0.0217391304348
A-3 ||| F2 ||| 0.0311418685121
A-3 ||| F3 ||| 0.0102459016393
A-3 ||| G2 ||| 0.00106609808102
A-3 ||| B-2 ||| 0.0732984293194
A-3 ||| D-3 ||| 0.142857142857
A-3 ||| E-3 ||| 0.013698630137
A-3 ||| E-2 ||| 0.037037037037
A-3 ||| C3 ||| 0.00364773319437
A-3 ||| A-3 ||| 0.0740740740741
A-3 ||| A-2 ||| 0.133333333333
A-3 ||| D3 ||| 0.00407608695652
D#3 ||| G#2 ||| 0.0212765957447
D#3 ||| D#3 ||| 0.0222222222222
D#3 ||| B#2 ||| 0.266666666667
C5 ||| G4 ||| 0.0285714285714
C5 ||| F4 ||| 0.0961538461538
C5 ||| A3 ||| 0.00173761946134
C5 ||| F3 ||| 0.00409836065574
C5 ||| B3 ||| 0.00182149362477
C5 ||| C3 ||| 0.000521104742053
C5 ||| E4 ||| 0.03125
C5 ||| A-3 ||| 0.0123456790123
C5 ||| D4 ||| 0.0111111111111
C5 ||| E3 ||| 0.00341763499658
C5 ||| C4 ||| 0.0116156282999
C4 ||| G#3 ||| 0.0161290322581
C4 ||| F#2 ||| 0.09375
C4 ||| G4 ||| 0.0571428571429
C4 ||| G3 ||| 0.0910843373494
C4 ||| G2 ||| 0.0277185501066
C4 ||| B-2 ||| 0.0366492146597
C4 ||| B-3 ||| 0.0621118012422
C4 ||| A3 ||| 0.344048653345
C4 ||| A2 ||| 0.165151515152
C4 ||| C3 ||| 0.178738926524
C4 ||| E4 ||| 0.1015625
C4 ||| A-3 ||| 0.382716049383
C4 ||| A-2 ||| 0.166666666667
C4 ||| D#2 ||| 0.0833333333333
C4 ||| D#3 ||| 0.0444444444444
C4 ||| E3 ||| 0.235816814764
C4 ||| C4 ||| 0.197465681098
C4 ||| F#3 ||| 0.15523465704
C4 ||| E-3 ||| 0.0616438356164
C4 ||| C2 ||| 0.0183486238532
C4 ||| F2 ||| 0.0692041522491
C4 ||| F3 ||| 0.226092896175
C4 ||| F4 ||| 0.0769230769231
C4 ||| D-3 ||| 0.0714285714286
C4 ||| B2 ||| 0.0372881355932
C4 ||| B3 ||| 0.08014571949
C4 ||| D4 ||| 0.0703703703704
C4 ||| E2 ||| 0.044776119403
C4 ||| D2 ||| 0.0824742268041
C4 ||| D3 ||| 0.131793478261
C#4 ||| F#3 ||| 0.0072202166065
C#4 ||| G3 ||| 0.0033734939759
C#4 ||| A#2 ||| 0.05
C#4 ||| F3 ||| 0.00068306010929
C#4 ||| A3 ||| 0.0321459600348
C#4 ||| B-3 ||| 0.0186335403727
C#4 ||| G#3 ||| 0.00806451612903
C#4 ||| A2 ||| 0.0106060606061
C#4 ||| B2 ||| 0.00169491525424
C#4 ||| R ||| 0.00341296928328
C#4 ||| D4 ||| 0.0037037037037
C#4 ||| E3 ||| 0.0082023239918
C#3 ||| A2 ||| 0.00454545454545
C#3 ||| E2 ||| 0.00746268656716
A#3 ||| F#3 ||| 0.00361010830325
A#3 ||| G2 ||| 0.00319829424307
A#3 ||| D2 ||| 0.0103092783505
A#3 ||| C#3 ||| 0.01
A#3 ||| A#2 ||| 0.45
A#3 ||| G#2 ||| 0.0212765957447
A#3 ||| E#2 ||| 0.285714285714
A#3 ||| D#2 ||| 0.25
A#3 ||| D#3 ||| 0.0666666666667
A#3 ||| B#2 ||| 0.2
E-4 ||| F#3 ||| 0.0216606498195
E-4 ||| G3 ||| 0.0168674698795
E-4 ||| G2 ||| 0.00213219616205
E-4 ||| E-4 ||| 0.25
E-4 ||| F3 ||| 0.0245901639344
E-4 ||| D-3 ||| 0.428571428571
E-4 ||| B-2 ||| 0.0732984293194
E-4 ||| B-3 ||| 0.055900621118
E-4 ||| A3 ||| 0.00260642919201
E-4 ||| A2 ||| 0.0030303030303
E-4 ||| E-3 ||| 0.198630136986
E-4 ||| C3 ||| 0.0119854090672
E-4 ||| C2 ||| 0.00917431192661
E-4 ||| A-3 ||| 0.111111111111
E-4 ||| A-2 ||| 0.116666666667
E-4 ||| D3 ||| 0.0054347826087
E-4 ||| C4 ||| 0.012671594509
F#3 ||| F#3 ||| 0.0072202166065
F#3 ||| G2 ||| 0.00106609808102
F#3 ||| D2 ||| 0.154639175258
F#3 ||| C#3 ||| 0.02
F#3 ||| D3 ||| 0.0448369565217
F#3 ||| A2 ||| 0.0333333333333
F#3 ||| B2 ||| 0.00847457627119
F#3 ||| C3 ||| 0.00312662845232
F#3 ||| D#2 ||| 0.166666666667
F#3 ||| D#3 ||| 0.2
F#3 ||| E3 ||| 0.0041011619959
F#3 ||| E2 ||| 0.00746268656716
D-4 ||| F3 ||| 0.00273224043716
D-4 ||| G3 ||| 0.00144578313253
D-4 ||| G2 ||| 0.00213219616205
D-4 ||| B-2 ||| 0.0418848167539
D-4 ||| B-3 ||| 0.0124223602484
D-4 ||| D-3 ||| 0.214285714286
D-4 ||| E-3 ||| 0.00684931506849
D-4 ||| C3 ||| 0.000521104742053
D-4 ||| A-3 ||| 0.0740740740741
D-4 ||| A-2 ||| 0.0166666666667
E-3 ||| F#2 ||| 0.03125
E-3 ||| F#3 ||| 0.00361010830325
E-3 ||| G3 ||| 0.00144578313253
