G#3 ||| G4 ||| 0.00134498991258
G#3 ||| F4 ||| 0.00165562913907
G#3 ||| C#5 ||| 0.037037037037
G#3 ||| B4 ||| 0.0229357798165
G#3 ||| B#4 ||| 0.6
G#3 ||| E#4 ||| 0.142857142857
G#3 ||| G#4 ||| 0.111111111111
G#3 ||| A#4 ||| 0.277777777778
G#3 ||| E5 ||| 0.00182704019488
G#3 ||| E4 ||| 0.0304659498208
G#3 ||| D#4 ||| 0.25
G#3 ||| D5 ||| 0.00147783251232
G#3 ||| D4 ||| 0.00385356454721
G#3 ||| C5 ||| 0.000934579439252
G#3 ||| A4 ||| 0.00166805671393
G#4 ||| E5 ||| 0.00243605359318
G#4 ||| D5 ||| 0.00197044334975
G#4 ||| F5 ||| 0.0042328042328
G#4 ||| C5 ||| 0.000467289719626
G4 ||| B4 ||| 0.0298165137615
G4 ||| G5 ||| 0.204968944099
G4 ||| G4 ||| 0.00134498991258
G4 ||| F#5 ||| 0.037037037037
G4 ||| E-5 ||| 0.256880733945
G4 ||| B5 ||| 0.583333333333
G4 ||| A5 ||| 0.0670391061453
G4 ||| A4 ||| 0.00417014178482
G4 ||| B-4 ||| 0.0207468879668
G4 ||| E5 ||| 0.271619975639
G4 ||| D5 ||| 0.195566502463
G4 ||| C6 ||| 0.625
G4 ||| C5 ||| 0.0439252336449
G4 ||| F5 ||| 0.116402116402
G3 ||| G5 ||| 0.0111801242236
G3 ||| G4 ||| 0.173503698722
G3 ||| F#4 ||| 0.0519480519481
G3 ||| F5 ||| 0.0148148148148
G3 ||| B#4 ||| 0.2
G3 ||| F4 ||| 0.150662251656
G3 ||| B3 ||| 0.0833333333333
G3 ||| D5 ||| 0.0162561576355
G3 ||| B4 ||| 0.172018348624
G3 ||| E-4 ||| 0.592592592593
G3 ||| G#4 ||| 0.111111111111
G3 ||| B-4 ||| 0.0954356846473
G3 ||| A#4 ||| 0.388888888889
G3 ||| E5 ||| 0.0249695493301
G3 ||| E4 ||| 0.534050179211
G3 ||| D#4 ||| 0.625
G3 ||| C4 ||| 0.117647058824
G3 ||| D4 ||| 0.396917148362
G3 ||| C5 ||| 0.12523364486
G3 ||| A4 ||| 0.0783986655546
A3,A3 ||| G4 ||| 0.000672494956288
B-3 ||| G5 ||| 0.00372670807453
B-3 ||| G4 ||| 0.0692669804976
B-3 ||| F#4 ||| 0.012987012987
B-3 ||| F4 ||| 0.0860927152318
B-3 ||| E-5 ||| 0.192660550459
B-3 ||| A4 ||| 0.00500417014178
B-3 ||| B-4 ||| 0.116182572614
B-3 ||| E5 ||| 0.0158343483557
B-3 ||| E4 ||| 0.0197132616487
B-3 ||| D5 ||| 0.012315270936
B-3 ||| A-4 ||| 0.258064516129
B-3 ||| C5 ||| 0.0158878504673
A3 ||| G5 ||| 0.00372670807453
A3 ||| G4 ||| 0.0423671822461
A3 ||| F#4 ||| 0.558441558442
A3 ||| F5 ||| 0.037037037037
A3 ||| C#5 ||| 0.333333333333
A3 ||| F4 ||| 0.30298013245
A3 ||| B4 ||| 0.0424311926606
A3 ||| E-4 ||| 0.037037037037
A3 ||| A4 ||| 0.138448707256
A3 ||| E5 ||| 0.0170523751523
A3 ||| E4 ||| 0.150537634409
A3 ||| D4 ||| 0.131021194605
A3 ||| D5 ||| 0.0610837438424
A3 ||| C5 ||| 0.10046728972
A3 ||| C4 ||| 0.0352941176471
A2 ||| D4 ||| 0.0019267822736
E#3 ||| B#4 ||| 0.2
E#3 ||| G#4 ||| 0.138888888889
E#3 ||| A#4 ||| 0.277777777778
A4 ||| G5 ||| 0.0149068322981
A4 ||| G4 ||| 0.000672494956288
A4 ||| F#5 ||| 0.240740740741
A4 ||| B4 ||| 0.00229357798165
A4 ||| A5 ||| 0.0391061452514
A4 ||| A4 ||| 0.000834028356964
A4 ||| E5 ||| 0.068209500609
A4 ||| D5 ||| 0.0394088669951
A4 ||| C6 ||| 0.125
A4 ||| C5 ||| 0.00607476635514
A4 ||| F5 ||| 0.153439153439
B-4 ||| E5 ||| 0.00913520097442
B-4 ||| G5 ||| 0.0149068322981
B-4 ||| F5 ||| 0.0031746031746
C3 ||| G4 ||| 0.00605245460659
C3 ||| F#4 ||| 0.012987012987
C3 ||| F4 ||| 0.0529801324503
C3 ||| A3 ||| 0.25
C3 ||| A4 ||| 0.00333611342786
C3 ||| E5 ||| 0.00121802679659
C3 ||| E4 ||| 0.0716845878136
C3 ||| D4 ||| 0.0019267822736
C3 ||| C5 ||| 0.00140186915888
C3 ||| C4 ||| 0.0392156862745
E4 ||| G5 ||| 0.260869565217
E4 ||| G4 ||| 0.0121049092132
E4 ||| F5 ||| 0.0380952380952
E4 ||| C#5 ||| 0.481481481481
E4 ||| B4 ||| 0.115825688073
E4 ||| B5 ||| 0.0833333333333
E4 ||| A5 ||| 0.217877094972
E4 ||| A4 ||| 0.0558798999166
E4 ||| E5 ||| 0.107795371498
E4 ||| E4 ||| 0.00179211469534
E4 ||| D5 ||| 0.0448275862069
E4 ||| C6 ||| 0.125
E4 ||| C5 ||| 0.293457943925
D#4 ||| B4 ||| 0.00229357798165
D#4 ||| G5 ||| 0.00124223602484
D#4 ||| F#5 ||| 0.0185185185185
D#3 ||| G4 ||| 0.000672494956288
D#3 ||| G#4 ||| 0.138888888889
E3 ||| G5 ||| 0.00124223602484
E3 ||| G4 ||| 0.0880968392737
E3 ||| F4 ||| 0.0215231788079
E3 ||| B4 ||| 0.00573394495413
E3 ||| A3 ||| 0.25
E3 ||| A4 ||| 0.0425354462052
E3 ||| B-4 ||| 0.0124481327801
E3 ||| B3 ||| 0.166666666667
E3 ||| E4 ||| 0.0609318996416
E3 ||| D4 ||| 0.0308285163776
E3 ||| C4 ||| 0.607843137255
E3 ||| C5 ||| 0.0102803738318
E3 ||| G#4 ||| 0.0555555555556
C4 ||| B4 ||| 0.0275229357798
C4 ||| G5 ||| 0.0819875776398
C4 ||| G4 ||| 0.17753866846
C4 ||| F#4 ||| 0.12987012987
C4 ||| F#5 ||| 0.203703703704
C4 ||| F5 ||| 0.214814814815
C4 ||| F4 ||| 0.0579470198675
C4 ||| D5 ||| 0.100985221675
C4 ||| A-4 ||| 0.41935483871
C4 ||| E-5 ||| 0.0550458715596
C4 ||| A5 ||| 0.0782122905028
C4 ||| A4 ||| 0.273561301084
C4 ||| B-4 ||| 0.0746887966805
C4 ||| B-5 ||| 0.4
C4 ||| E5 ||| 0.294153471376
C4 ||| E4 ||| 0.0591397849462
C4 ||| D4 ||| 0.00770712909441
C4 ||| C4 ||| 0.00392156862745
C4 ||| C6 ||| 0.125
C4 ||| C5 ||| 0.165887850467
C4 ||| G#4 ||| 0.0277777777778
C#4 ||| G5 ||| 0.0111801242236
C#4 ||| G4 ||| 0.00201748486886
C#4 ||| F5 ||| 0.00740740740741
C#4 ||| C#5 ||| 0.037037037037
C#4 ||| A4 ||| 0.0125104253545
C#4 ||| E5 ||| 0.020706455542
C#4 ||| E4 ||| 0.00179211469534
C#4 ||| D5 ||| 0.00147783251232
F#3 ||| G4 ||| 0.00336247478144
F#3 ||| F#4 ||| 0.038961038961
F#3 ||| F4 ||| 0.00165562913907
F#3 ||| B4 ||| 0.0149082568807
F#3 ||| A4 ||| 0.0600500417014
F#3 ||| E4 ||| 0.00537634408602
F#3 ||| D4 ||| 0.0154142581888
F#3 ||| D5 ||| 0.00147783251232
F#3 ||| C5 ||| 0.00934579439252
F#3 ||| C4 ||| 0.0078431372549
C#3 ||| E4 ||| 0.00358422939068
C#3 ||| G4 ||| 0.00134498991258
C#3 ||| F4 ||| 0.00165562913907
A#3 ||| G4 ||| 0.00672494956288
A#3 ||| C#5 ||| 0.037037037037
A#3 ||| E#4 ||| 0.571428571429
A#3 ||| G#4 ||| 0.111111111111
A#3 ||| A#4 ||| 0.0555555555556
A#3 ||| D#4 ||| 0.125
E-4 ||| G5 ||| 0.0136645962733
E-4 ||| G4 ||| 0.00134498991258
E-4 ||| F5 ||| 0.0031746031746
E-4 ||| E-5 ||| 0.256880733945
