3
G4 E4 BAR C4 ||| D4 ||| 0.49999999945
G4 E4 BAR C4 ||| F4 ||| 0.49999999945
G4 E4 BAR C4 ||| <UNK> ||| 4.999999994e-11
C4 B3 G3 BAR ||| E4 ||| 0.285714285631
C4 B3 G3 BAR ||| F3 ||| 0.285714285631
C4 B3 G3 BAR ||| G3 ||| 0.285714285631
C4 B3 G3 BAR ||| D3 ||| 0.142857142822
C4 B3 G3 BAR ||| <UNK> ||| 1.42857142808e-11
F3 E3 F3 BAR ||| G3 ||| 0.199999999962
F3 E3 F3 BAR ||| E3 ||| 0.799999999818
F3 E3 F3 BAR ||| <UNK> ||| 9.9999999976e-12
BAR A3 D4 BAR D4 ||| C#4 ||| 0.49999999945
BAR A3 D4 BAR D4 ||| <UNK> ||| 4.999999994e-11
BAR A3 D4 BAR D4 ||| B3 ||| 0.49999999945
A3 BAR E4 D4 ||| D4 ||| 0.666666666167
A3 BAR E4 D4 ||| <UNK> ||| 3.33333333067e-11
A3 BAR E4 D4 ||| C4 ||| 0.3333333331
C4 B3 A3 BAR ||| G3 ||| 0.439999999962
C4 B3 A3 BAR ||| A3 ||| 0.0799999999963
C4 B3 A3 BAR ||| B3 ||| 0.279999999977
C4 B3 A3 BAR ||| E4 ||| 0.0400000000002
C4 B3 A3 BAR ||| D4 ||| 0.119999999992
C4 B3 A3 BAR ||| D3 ||| 0.0400000000002
C4 B3 A3 BAR ||| <UNK> ||| 3.99999999962e-12
BAR R E4 F4 ||| E4 ||| 0.3333333331
BAR R E4 F4 ||| G4 ||| 0.666666666167
BAR R E4 F4 ||| <UNK> ||| 3.33333333067e-11
D4 C#4 BAR D4 ||| <UNK> ||| 1.99999999904e-11
D4 C#4 BAR D4 ||| C#4 ||| 0.199999999924
D4 C#4 BAR D4 ||| D4 ||| 0.199999999924
D4 C#4 BAR D4 ||| G4 ||| 0.199999999924
D4 C#4 BAR D4 ||| B3 ||| 0.399999999828
G3 BAR A3 C4 ||| B-3 ||| 0.199999999924
G3 BAR A3 C4 ||| <UNK> ||| 1.99999999904e-11
G3 BAR A3 C4 ||| B3 ||| 0.799999999636
BAR C4 G4 F4 ||| <UNK> ||| 1.99999999904e-11
BAR C4 G4 F4 ||| E4 ||| 0.399999999828
BAR C4 G4 F4 ||| G4 ||| 0.399999999828
BAR C4 G4 F4 ||| E-4 ||| 0.199999999924
G3 A-3 BAR B-3 ||| <UNK> ||| 2.4999999985e-11
G3 A-3 BAR B-3 ||| B-3 ||| 0.249999999875
G3 A-3 BAR B-3 ||| R ||| 0.249999999875
G3 A-3 BAR B-3 ||| E-4 ||| 0.249999999875
G3 A-3 BAR B-3 ||| C4 ||| 0.249999999875
D4 G3 C4 ||| B-3 ||| 0.49999999945
D4 G3 C4 ||| A3 ||| 0.49999999945
D4 G3 C4 ||| <UNK> ||| 4.999999994e-11
C4 BAR F4 E4 ||| E4 ||| 0.166666666617
C4 BAR F4 E4 ||| D4 ||| 0.499999999817
C4 BAR F4 E4 ||| F4 ||| 0.333333333217
C4 BAR F4 E4 ||| <UNK> ||| 1.666666666e-11
BAR A3 G3 F#3 ||| G3 ||| 0.666666666417
BAR A3 G3 F#3 ||| E3 ||| 0.333333333217
BAR A3 G3 F#3 ||| <UNK> ||| 1.666666666e-11
E3 BAR R G3 ||| F3 ||| 0.49999999945
E3 BAR R G3 ||| G3 ||| 0.49999999945
E3 BAR R G3 ||| <UNK> ||| 4.999999994e-11
BAR E-4 D4 C4 ||| B-3 ||| 0.49999999945
BAR E-4 D4 C4 ||| D4 ||| 0.49999999945
BAR E-4 D4 C4 ||| <UNK> ||| 4.999999994e-11
G4 BAR A4 G4 ||| G4 ||| 0.363636363566
G4 BAR A4 G4 ||| F4 ||| 0.454545454455
G4 BAR A4 G4 ||| A4 ||| 0.0909090908983
G4 BAR A4 G4 ||| B-4 ||| 0.0909090908983
G4 BAR A4 G4 ||| <UNK> ||| 9.09090908893e-12
R B3 BAR A3 ||| <UNK> ||| 3.33333333067e-11
R B3 BAR A3 ||| G3 ||| 0.666666666167
R B3 BAR A3 ||| B3 ||| 0.3333333331
F4 G4 C4 BAR ||| B-3 ||| 0.499999999817
F4 G4 C4 BAR ||| <UNK> ||| 1.666666666e-11
F4 G4 C4 BAR ||| C4 ||| 0.499999999817
E3 A3 BAR A3 ||| D4 ||| 0.3333333331
E3 A3 BAR A3 ||| F3 ||| 0.3333333331
E3 A3 BAR A3 ||| G3 ||| 0.3333333331
E3 A3 BAR A3 ||| <UNK> ||| 3.33333333067e-11
C#4 D4 E4 BAR ||| C#4 ||| 0.249999999875
C#4 D4 E4 BAR ||| F4 ||| 0.749999999575
C#4 D4 E4 BAR ||| <UNK> ||| 2.4999999985e-11
C4 D4 G3 ||| A3 ||| 0.428571428439
C4 D4 G3 ||| <UNK> ||| 1.42857142808e-11
C4 D4 G3 ||| G3 ||| 0.428571428439
C4 D4 G3 ||| C4 ||| 0.142857142822
F3 G3 A-3 BAR ||| B-3 ||| 0.49999999945
F3 G3 A-3 BAR ||| G3 ||| 0.49999999945
F3 G3 A-3 BAR ||| <UNK> ||| 4.999999994e-11
BAR D4 C4 B3 BAR ||| <UNK> ||| 2.4999999985e-11
BAR D4 C4 B3 BAR ||| F4 ||| 0.249999999875
BAR D4 C4 B3 BAR ||| C4 ||| 0.749999999575
BAR G3 G3 F3 ||| G3 ||| 0.0384615384618
BAR G3 G3 F3 ||| E3 ||| 0.961538461454
BAR G3 G3 F3 ||| <UNK> ||| 3.8461538458e-12
BAR C4 B3 C4 ||| G4 ||| 0.0909090909055
BAR C4 B3 C4 ||| END ||| 0.0606060606047
BAR C4 B3 C4 ||| B-3 ||| 0.0909090909055
BAR C4 B3 C4 ||| B3 ||| 0.212121212109
BAR C4 B3 C4 ||| E4 ||| 0.0909090909055
BAR C4 B3 C4 ||| D4 ||| 0.151515151507
BAR C4 B3 C4 ||| <UNK> ||| 3.03030303008e-12
BAR C4 B3 C4 ||| C4 ||| 0.303030303011
