3
1.0 0.25 0.25 BAR ||| 1.0 ||| 0.363621405611
1.0 0.25 0.25 BAR ||| 2.0 ||| 0.181811157331
1.0 0.25 0.25 BAR ||| 0.5 ||| 0.363621405611
1.0 0.25 0.25 BAR ||| 3.0 ||| 0.0909060331913
1.0 0.25 0.25 BAR ||| <UNK> ||| 9.090512414e-07
1.0 1.0 BAR 3.0 BAR ||| 1.5 ||| 0.0370367489763
1.0 1.0 BAR 3.0 BAR ||| 2.0 ||| 0.481473292327
1.0 1.0 BAR 3.0 BAR ||| 1.0 ||| 0.407400535102
1.0 1.0 BAR 3.0 BAR ||| 3.0 ||| 0.0740731275888
1.0 1.0 BAR 3.0 BAR ||| <UNK> ||| 3.70363786125e-07
2.0 BAR 3.0 1.0 BAR ||| 1.0 ||| 0.444421853057
2.0 BAR 3.0 1.0 BAR ||| 0.5 ||| 0.222211482054
2.0 BAR 3.0 1.0 BAR ||| 4.0 ||| 0.333316667556
2.0 BAR 3.0 1.0 BAR ||| <UNK> ||| 1.11105185501e-06
0.5 2.0 BAR 2.0 ||| 1.0 ||| 0.714238166526
0.5 2.0 BAR 2.0 ||| 2.0 ||| 0.142848776084
0.5 2.0 BAR 2.0 ||| END ||| 0.142848776084
0.5 2.0 BAR 2.0 ||| <UNK> ||| 1.4284734761e-06
0.25 0.25 0.25 ||| 0.25 ||| 0.499990416858
0.25 0.25 0.25 ||| 1.0 ||| 0.0833320833583
0.25 0.25 0.25 ||| 0.5 ||| 0.416658750158
0.25 0.25 0.25 ||| <UNK> ||| 4.166583335e-07
1.0 1.0 BAR 0.5 ||| 0.5 ||| 0.884175506681
1.0 1.0 BAR 0.5 ||| <UNK> ||| 1.63132009293e-08
1.0 1.0 BAR 0.5 ||| 1.0 ||| 0.0538335793799
1.0 1.0 BAR 0.5 ||| 0.25 ||| 0.0619901798446
0.5 2.0 BAR 3.0 BAR ||| 2.0 ||| 0.199982801651
0.5 2.0 BAR 3.0 BAR ||| 1.0 ||| 0.399963603494
0.5 2.0 BAR 3.0 BAR ||| 3.0 ||| 0.399963603494
0.5 2.0 BAR 3.0 BAR ||| <UNK> ||| 1.99980801843e-06
0.5 0.5 BAR 3.0 ||| 0.5 ||| 0.0945941161463
0.5 0.5 BAR 3.0 ||| <UNK> ||| 1.35134258589e-07
0.5 0.5 BAR 3.0 ||| 1.0 ||| 0.432429762618
0.5 0.5 BAR 3.0 ||| END ||| 0.472970040194
0.5 BAR 1.0 0.5 ||| 1.5 ||| 0.00531918854675
0.5 BAR 1.0 0.5 ||| 0.5 ||| 0.920210469675
0.5 BAR 1.0 0.5 ||| <UNK> ||| 5.3191353554e-08
0.5 BAR 1.0 0.5 ||| 1.0 ||| 0.00531918854675
0.5 BAR 1.0 0.5 ||| 0.25 ||| 0.0691488128115
