G#3 ||| B2 ||| 0.00387596899225
G#3 ||| E3 ||| 0.000328947368421
G#5 ||| F4 ||| 0.00135135135135
G#5 ||| B4 ||| 0.0655737704918
G#5 ||| F#4 ||| 0.00649350649351
G#5 ||| A4 ||| 0.00558659217877
G#5 ||| B3 ||| 0.00306748466258
G#5 ||| E4 ||| 0.0363901018923
G#5 ||| D4 ||| 0.00196592398427
G#5 ||| E3 ||| 0.00131578947368
G#5 ||| C4 ||| 0.000329924117453
G#4 ||| F2 ||| 0.0142857142857
G#4 ||| F3 ||| 0.0124058484714
G#4 ||| F4 ||| 0.00405405405405
G#4 ||| A3 ||| 0.00422654268808
G#4 ||| D3 ||| 0.0177985948478
G#4 ||| G#3 ||| 0.00388349514563
G#4 ||| A2 ||| 0.01125
G#4 ||| B2 ||| 0.102713178295
G#4 ||| B3 ||| 0.0536809815951
G#4 ||| C3 ||| 0.00381471389646
G#4 ||| E4 ||| 0.0312954876274
G#4 ||| D4 ||| 0.0176933158585
G#4 ||| E2 ||| 0.229508196721
G#4 ||| D#3 ||| 0.00833333333333
G#4 ||| E3 ||| 0.185855263158
G#4 ||| C4 ||| 0.00395908940944
G5 ||| F4 ||| 0.0445945945946
G5 ||| G4 ||| 0.208064516129
G5 ||| F#4 ||| 0.0454545454545
G5 ||| E-3 ||| 0.1
G5 ||| E-4 ||| 0.166666666667
G5 ||| C#4 ||| 0.0666666666667
G5 ||| A3 ||| 0.003663003663
G5 ||| B4 ||| 0.55737704918
G5 ||| B-3 ||| 0.0108108108108
G5 ||| G#3 ||| 0.00194174757282
G5 ||| F3 ||| 0.00132919805051
G5 ||| G3 ||| 0.0124888492417
G5 ||| A4 ||| 0.0446927374302
G5 ||| B-4 ||| 0.133333333333
G5 ||| B3 ||| 0.0184049079755
G5 ||| C3 ||| 0.00108991825613
G5 ||| E4 ||| 0.109170305677
G5 ||| D4 ||| 0.0262123197903
G5 ||| E3 ||| 0.000986842105263
G5 ||| C5 ||| 0.611111111111
G5 ||| C4 ||| 0.0372814252722
G4 ||| G4 ||| 0.0193548387097
G4 ||| G3 ||| 0.199524234315
G4 ||| G2 ||| 0.272727272727
G4 ||| B-2 ||| 0.0645161290323
G4 ||| B-3 ||| 0.189189189189
G4 ||| A3 ||| 0.0349394195548
G4 ||| A2 ||| 0.02625
G4 ||| C3 ||| 0.379836512262
G4 ||| C2 ||| 0.133333333333
G4 ||| D#3 ||| 0.00833333333333
G4 ||| E3 ||| 0.203618421053
G4 ||| C4 ||| 0.228637413395
G4 ||| C#4 ||| 0.0424242424242
G4 ||| C#3 ||| 0.291666666667
G4 ||| E-4 ||| 0.166666666667
G4 ||| F#3 ||| 0.0505617977528
G4 ||| E-3 ||| 0.3
G4 ||| E4 ||| 0.0298398835517
G4 ||| F2 ||| 0.0142857142857
G4 ||| F3 ||| 0.0886132033673
G4 ||| F4 ||| 0.00945945945946
G4 ||| B2 ||| 0.174418604651
G4 ||| B3 ||| 0.215235173824
G4 ||| D4 ||| 0.0301441677588
G4 ||| E2 ||| 0.0491803278689
G4 ||| D3 ||| 0.0946135831382
F#4 ||| G#3 ||| 0.00388349514563
F#4 ||| F#3 ||| 0.0149812734082
F#4 ||| G3 ||| 0.00386559619387
F#4 ||| G2 ||| 0.0194805194805
F#4 ||| B-3 ||| 0.0108108108108
F#4 ||| A3 ||| 0.0253592561285
F#4 ||| A2 ||| 0.0325
F#4 ||| C3 ||| 0.0152588555858
F#4 ||| C2 ||| 0.0666666666667
F#4 ||| D#4 ||| 0.013698630137
F#4 ||| D#3 ||| 0.541666666667
F#4 ||| E3 ||| 0.0161184210526
F#4 ||| E2 ||| 0.016393442623
F#4 ||| C#4 ||| 0.00606060606061
F#4 ||| C#3 ||| 0.0416666666667
F#4 ||| E4 ||| 0.00436681222707
F#4 ||| B2 ||| 0.046511627907
F#4 ||| B3 ||| 0.0158486707566
F#4 ||| D4 ||| 0.0222804718218
F#4 ||| C4 ||| 0.0115473441109
F#4 ||| D2 ||| 0.4
F#4 ||| D3 ||| 0.105854800937
F#5 ||| G4 ||| 0.00806451612903
F#5 ||| F#4 ||| 0.00649350649351
F#5 ||| D4 ||| 0.0452162516383
F#5 ||| C#4 ||| 0.00606060606061
F#5 ||| D3 ||| 0.00187353629977
F#5 ||| B-3 ||| 0.0108108108108
F#5 ||| A3 ||| 0.0087348548887
F#5 ||| F#3 ||| 0.00374531835206
F#5 ||| G3 ||| 0.000892060660125
F#5 ||| A4 ||| 0.0167597765363
F#5 ||| B3 ||| 0.00306748466258
F#5 ||| E4 ||| 0.0138282387191
F#5 ||| D#4 ||| 0.41095890411
F#5 ||| D#3 ||| 0.0666666666667
F#5 ||| C4 ||| 0.00362916529198
B-3 ||| C3 ||| 0.0016348773842
B-3 ||| G3 ||| 0.00059470710675
B-3 ||| D3 ||| 0.000468384074941
B-3 ||| E3 ||| 0.000328947368421
A3 ||| F2 ||| 0.142857142857
A3 ||| F#3 ||| 0.00374531835206
A3 ||| G2 ||| 0.00649350649351
A3 ||| F3 ||| 0.00797518830306
A3 ||| C#3 ||| 0.0347222222222
A3 ||| A2 ||| 0.01
A3 ||| C3 ||| 0.00272479564033
A3 ||| D2 ||| 0.0666666666667
A3 ||| D3 ||| 0.0107728337237
A3 ||| E3 ||| 0.000657894736842
A5 ||| F4 ||| 0.0918918918919
A5 ||| G4 ||| 0.0483870967742
A5 ||| F#4 ||| 0.227272727273
A5 ||| C#4 ||| 0.030303030303
A5 ||| F3 ||| 0.00132919805051
A5 ||| B4 ||| 0.0327868852459
A5 ||| A3 ||| 0.00788954635108
A5 ||| F#3 ||| 0.00561797752809
A5 ||| G3 ||| 0.000892060660125
A5 ||| A4 ||| 0.162011173184
A5 ||| E3 ||| 0.000328947368421
A5 ||| B3 ||| 0.00460122699387
A5 ||| E4 ||| 0.0152838427948
A5 ||| D#4 ||| 0.027397260274
A5 ||| D4 ||| 0.019003931848
A5 ||| C5 ||| 0.0972222222222
A5 ||| C4 ||| 0.00362916529198
A4 ||| G#3 ||| 0.00776699029126
A4 ||| G#2 ||| 0.0185185185185
A4 ||| F#2 ||| 0.5
A4 ||| G4 ||| 0.0193548387097
A4 ||| F#4 ||| 0.0454545454545
A4 ||| G2 ||| 0.012987012987
A4 ||| B-2 ||| 0.0322580645161
A4 ||| B-3 ||| 0.0594594594595
A4 ||| A3 ||| 0.255564947873
A4 ||| A2 ||| 0.175
A4 ||| A4 ||| 0.0279329608939
A4 ||| C3 ||| 0.0653950953678
A4 ||| E4 ||| 0.0429403202329
A4 ||| D#4 ||| 0.109589041096
A4 ||| D#3 ||| 0.258333333333
A4 ||| E3 ||| 0.0940789473684
A4 ||| C4 ||| 0.0966677664137
A4 ||| C#4 ||| 0.260606060606
A4 ||| C#3 ||| 0.0833333333333
A4 ||| F#3 ||| 0.475655430712
A4 ||| E-3 ||| 0.1
A4 ||| G3 ||| 0.0892060660125
A4 ||| F2 ||| 0.142857142857
A4 ||| F3 ||| 0.330084182543
A4 ||| F4 ||| 0.0959459459459
A4 ||| R ||| 0.00503778337531
A4 ||| B2 ||| 0.118217054264
A4 ||| B3 ||| 0.0971370143149
A4 ||| D4 ||| 0.140235910878
A4 ||| E2 ||| 0.0327868852459
A4 ||| D2 ||| 0.0666666666667
A4 ||| D3 ||| 0.211709601874
B-4 ||| F4 ||| 0.00405405405405
B-4 ||| F3 ||| 0.00620292423571
B-4 ||| F#4 ||| 0.00649350649351
B-4 ||| G2 ||| 0.00324675324675
B-4 ||| E-4 ||| 0.166666666667
B-4 ||| C#4 ||| 0.0666666666667
B-4 ||| G3 ||| 0.0175438596491
B-4 ||| C#3 ||| 0.0138888888889
B-4 ||| B-2 ||| 0.0322580645161
B-4 ||| B-3 ||| 0.0918918918919
B-4 ||| A3 ||| 0.00422654268808
B-4 ||| R ||| 0.00503778337531
B-4 ||| D-4 ||| 0.5
B-4 ||| E-3 ||| 0.2
B-4 ||| C3 ||| 0.0141689373297
B-4 ||| E4 ||| 0.00145560407569
B-4 ||| D4 ||| 0.00196592398427
B-4 ||| D3 ||| 0.00702576112412
B-4 ||| E3 ||| 0.0134868421053
