G#3 ||| B4 ||| 0.00046403712297
G#3 ||| D4 ||| 0.0208333333333
G#5 ||| D6 ||| 0.0279069767442
G#5 ||| B5 ||| 0.0439453125
G#5 ||| E6 ||| 0.046218487395
G#5 ||| A5 ||| 0.00121138703816
G#5 ||| C6 ||| 0.0030303030303
G#4 ||| D5 ||| 0.0353915662651
G#4 ||| F5 ||| 0.00578034682081
G#4 ||| B4 ||| 0.247331786543
G#4 ||| A4 ||| 0.014057198255
G#4 ||| E5 ||| 0.0392109108622
G#4 ||| D#5 ||| 0.0540540540541
G#4 ||| C5 ||| 0.0120583286596
G5 ||| G6 ||| 0.857142857143
G5 ||| G5 ||| 0.0126528890763
G5 ||| D5 ||| 0.000251004016064
G5 ||| F6 ||| 0.28813559322
G5 ||| C#6 ||| 0.1
G5 ||| B5 ||| 0.1474609375
G5 ||| A5 ||| 0.0266505148395
G5 ||| B-5 ||| 0.162162162162
G5 ||| D6 ||| 0.26976744186
G5 ||| E6 ||| 0.474789915966
G5 ||| C6 ||| 0.147474747475
G4 ||| G5 ||| 0.0628426824125
G4 ||| G4 ||| 0.0763807285546
G4 ||| F#5 ||| 0.011961722488
G4 ||| C#5 ||| 0.242424242424
G4 ||| B4 ||| 0.211600928074
G4 ||| B5 ||| 0.001953125
G4 ||| A5 ||| 0.00181708055724
G4 ||| A4 ||| 0.0984003877848
G4 ||| B-4 ||| 0.5625
G4 ||| B-5 ||| 0.0810810810811
G4 ||| E5 ||| 0.189478811495
G4 ||| E4 ||| 0.00958466453674
G4 ||| D5 ||| 0.188253012048
G4 ||| C6 ||| 0.0030303030303
G4 ||| C5 ||| 0.308188446439
G4 ||| F5 ||| 0.0609563846558
F#4 ||| G5 ||| 0.000843525938423
F#4 ||| G4 ||| 0.0305522914219
F#4 ||| F#4 ||| 0.0487804878049
F#4 ||| F#5 ||| 0.0167464114833
F#4 ||| D5 ||| 0.0215863453815
F#4 ||| B4 ||| 0.0422273781903
F#4 ||| A5 ||| 0.0030284675954
F#4 ||| G#4 ||| 0.0144927536232
F#4 ||| B-4 ||| 0.03125
F#4 ||| E5 ||| 0.00584510472479
F#4 ||| D#5 ||| 0.0810810810811
F#4 ||| C5 ||| 0.0356141334829
F#4 ||| A4 ||| 0.129907901115
F#5 ||| G5 ||| 0.00295234078448
F#5 ||| F#5 ||| 0.00239234449761
F#5 ||| B5 ||| 0.0234375
F#5 ||| A5 ||| 0.0551181102362
F#5 ||| D6 ||| 0.0511627906977
F#5 ||| E6 ||| 0.0294117647059
F#5 ||| C6 ||| 0.0373737373737
B-3 ||| E4 ||| 0.00319488817891
B-3 ||| D4 ||| 0.0208333333333
B-3 ||| G4 ||| 0.00235017626322
B-3 ||| D5 ||| 0.000251004016064
B-3 ||| C#4 ||| 0.333333333333
A3 ||| F4 ||| 0.0553191489362
A3 ||| G4 ||| 0.00470035252644
A3 ||| F#4 ||| 0.0243902439024
A3 ||| F5 ||| 0.000525486074619
A3 ||| C#4 ||| 0.333333333333
A3 ||| A4 ||| 0.0106640814348
A3 ||| E5 ||| 0.0002435460302
A3 ||| E4 ||| 0.0223642172524
A3 ||| D4 ||| 0.260416666667
A3 ||| C5 ||| 0.000560852495794
A3 ||| C4 ||| 0.105263157895
A5 ||| F6 ||| 0.271186440678
A5 ||| B5 ||| 0.0234375
A5 ||| A5 ||| 0.00605693519079
A5 ||| D6 ||| 0.137209302326
A5 ||| E6 ||| 0.18487394958
A5 ||| C6 ||| 0.120202020202
A4 ||| G5 ||| 0.0265710670603
A4 ||| D5 ||| 0.213353413655
A4 ||| F#5 ||| 0.215311004785
A4 ||| C#5 ||| 0.484848484848
A4 ||| B4 ||| 0.167981438515
A4 ||| B5 ||| 0.0009765625
A4 ||| A5 ||| 0.0496668685645
A4 ||| A4 ||| 0.0848279205041
A4 ||| B-4 ||| 0.15625
A4 ||| E5 ||| 0.120798830979
