G#3 ||| E4 ||| 0.000218914185639
G#3 ||| F3 ||| 0.00709219858156
G#3 ||| E3 ||| 0.00961538461538
G#5 ||| F5 ||| 0.0188679245283
G#5 ||| C#5 ||| 0.05
G#5 ||| B4 ||| 0.0262901655307
G#5 ||| E5 ||| 0.125
G#5 ||| D5 ||| 0.0431211498973
G#5 ||| C5 ||| 0.00350569675723
G#4 ||| F4 ||| 0.0163861824624
G#4 ||| C#4 ||| 0.00395256916996
G#4 ||| D3 ||| 0.0571428571429
G#4 ||| B4 ||| 0.00778967867575
G#4 ||| A3 ||| 0.00346260387812
G#4 ||| A4 ||| 0.000405844155844
G#4 ||| B3 ||| 0.0980691056911
G#4 ||| E4 ||| 0.106611208406
G#4 ||| D#4 ||| 0.00909090909091
G#4 ||| D4 ||| 0.106077658976
G#4 ||| E3 ||| 0.0480769230769
G#4 ||| C4 ||| 0.00552165068294
G5 ||| B4 ||| 0.0983446932814
G5 ||| G5 ||| 0.285714285714
G5 ||| G4 ||| 0.010243902439
G5 ||| F4 ||| 0.00044286979628
G5 ||| F5 ||| 0.150943396226
G5 ||| C#5 ||| 0.05
G5 ||| E-5 ||| 0.222222222222
G5 ||| E-4 ||| 0.0263157894737
G5 ||| A4 ||| 0.012987012987
G5 ||| B-4 ||| 0.114864864865
G5 ||| E5 ||| 0.439393939394
G5 ||| E4 ||| 0.00153239929947
G5 ||| D4 ||| 0.00140686550366
G5 ||| D5 ||| 0.29158110883
G5 ||| C5 ||| 0.148992112182
G5 ||| D-5 ||| 1.0
G4 ||| F4 ||| 0.055358724535
G4 ||| G4 ||| 0.0219512195122
G4 ||| F#4 ||| 0.00412371134021
G4 ||| E-4 ||| 0.289473684211
G4 ||| C#4 ||| 0.154150197628
G4 ||| E5 ||| 0.00757575757576
G4 ||| D3 ||| 0.0285714285714
G4 ||| B4 ||| 0.0185004868549
G4 ||| B-3 ||| 0.310126582278
G4 ||| A3 ||| 0.0540166204986
G4 ||| G3 ||| 0.10632183908
G4 ||| A4 ||| 0.00121753246753
G4 ||| B-4 ||| 0.027027027027
G4 ||| B3 ||| 0.249491869919
G4 ||| C3 ||| 0.333333333333
G4 ||| E4 ||| 0.264448336252
G4 ||| D#4 ||| 0.0454545454545
G4 ||| D4 ||| 0.261114237479
G4 ||| C5 ||| 0.0262927256792
G4 ||| C4 ||| 0.248764893926
F#4 ||| F#3 ||| 0.0350877192982
F#4 ||| F#4 ||| 0.0185567010309
F#4 ||| C#4 ||| 0.0158102766798
F#4 ||| B4 ||| 0.00389483933788
F#4 ||| E-4 ||| 0.0526315789474
F#4 ||| A3 ||| 0.0685595567867
F#4 ||| G3 ||| 0.0215517241379
F#4 ||| A4 ||| 0.00324675324675
F#4 ||| B3 ||| 0.0431910569106
F#4 ||| E4 ||| 0.00547285464098
F#4 ||| D#4 ||| 0.118181818182
F#4 ||| D4 ||| 0.0745638716939
F#4 ||| C4 ||| 0.0621912234815
F#5 ||| G4 ||| 0.000975609756098
F#5 ||| F#4 ||| 0.0247422680412
F#5 ||| B4 ||| 0.031158714703
F#5 ||| A4 ||| 0.0166396103896
F#5 ||| E5 ||| 0.0151515151515
F#5 ||| E4 ||| 0.000875656742557
F#5 ||| D#4 ||| 0.0272727272727
F#5 ||| D5 ||| 0.108829568789
F#5 ||| C5 ||| 0.0631025416301
B-3 ||| E4 ||| 0.000218914185639
B-3 ||| G4 ||| 0.000243902439024
B-3 ||| G3 ||| 0.00574712643678
B-3 ||| F3 ||| 0.00709219858156
A3 ||| F#3 ||| 0.0175438596491
A3 ||| G3 ||| 0.00718390804598
A3 ||| F4 ||| 0.00044286979628
A3 ||| A3 ||| 0.00969529085873
A3 ||| F3 ||| 0.156028368794
A3 ||| C3 ||| 0.166666666667
A3 ||| E4 ||| 0.00153239929947
A3 ||| D4 ||| 0.00619020821609
A3 ||| D3 ||| 0.171428571429
A3 ||| E3 ||| 0.0769230769231
A3 ||| C4 ||| 0.000871839581517
A5 ||| B4 ||| 0.00876338851022
A5 ||| G5 ||| 0.285714285714
A5 ||| G4 ||| 0.000243902439024
A5 ||| F#4 ||| 0.0144329896907
A5 ||| F#5 ||| 1.0
A5 ||| F5 ||| 0.528301886792
A5 ||| C#5 ||| 0.05
A5 ||| F4 ||| 0.00132860938884
A5 ||| D5 ||| 0.0924024640657
A5 ||| E-5 ||| 0.333333333333
A5 ||| A4 ||| 0.0133928571429
A5 ||| E5 ||| 0.261363636364
A5 ||| E4 ||| 0.00218914185639
A5 ||| D4 ||| 0.000281373100732
A5 ||| D#5 ||| 1.0
A5 ||| C5 ||| 0.0701139351446
A5 ||| G#4 ||| 0.00291545189504
A4 ||| G#3 ||| 0.00858369098712
A4 ||| G#4 ||| 0.00291545189504
A4 ||| G4 ||| 0.0236585365854
A4 ||| F#4 ||| 0.261855670103
A4 ||| B-3 ||| 0.0126582278481
A4 ||| A3 ||| 0.115650969529
A4 ||| A4 ||| 0.0332792207792
A4 ||| E5 ||| 0.00757575757576
A4 ||| E4 ||| 0.261821366025
A4 ||| D#4 ||| 0.336363636364
A4 ||| C5 ||| 0.0350569675723
A4 ||| C4 ||| 0.21650682941
A4 ||| C#4 ||| 0.221343873518
A4 ||| E-4 ||| 0.447368421053
A4 ||| R ||| 0.00765306122449
A4 ||| G3 ||| 0.00718390804598
A4 ||| E3 ||| 0.0769230769231
A4 ||| F3 ||| 0.063829787234
A4 ||| F4 ||| 0.319309123118
A4 ||| B4 ||| 0.0107108081792
A4 ||| F#3 ||| 0.0526315789474
A4 ||| B3 ||| 0.0518292682927
A4 ||| D4 ||| 0.177265053461
A4 ||| D5 ||| 0.0225872689938
A4 ||| D3 ||| 0.0285714285714
B-4 ||| F4 ||| 0.0146147032772
B-4 ||| G4 ||| 0.0180487804878
B-4 ||| F#4 ||| 0.00412371134021
B-4 ||| E-4 ||| 0.0263157894737
B-4 ||| C#4 ||| 0.0474308300395
B-4 ||| G3 ||| 0.00574712643678
B-4 ||| E-5 ||| 0.222222222222
B-4 ||| B-3 ||| 0.0126582278481
B-4 ||| R ||| 0.00255102040816
B-4 ||| D-4 ||| 1.0
B-4 ||| C5 ||| 0.000876424189308
B-4 ||| E4 ||| 0.00853765323993
B-4 ||| D4 ||| 0.00872256612268
B-4 ||| D5 ||| 0.00205338809035
B-4 ||| E3 ||| 0.00961538461538
B-4 ||| C4 ||| 0.00552165068294
B-5 ||| D5 ||| 0.00616016427105
E5 ||| F4 ||| 0.00531443755536
E5 ||| G4 ||| 0.0860975609756
E5 ||| F#4 ||| 0.0515463917526
E5 ||| C#5 ||| 0.8
E5 ||| C#4 ||| 0.0158102766798
E5 ||| D5 ||| 0.0554414784394
E5 ||| B4 ||| 0.319376825706
E5 ||| A3 ||| 0.00484764542936
E5 ||| R ||| 0.0127551020408
E5 ||| G#4 ||| 0.32361516035
E5 ||| B-4 ||| 0.283783783784
E5 ||| B3 ||| 0.00660569105691
E5 ||| E5 ||| 0.0530303030303
E5 ||| E4 ||| 0.0161996497373
E5 ||| D4 ||| 0.00168823860439
E5 ||| C4 ||| 0.00784655623365
E5 ||| C5 ||| 0.410166520596
E5 ||| A4 ||| 0.177353896104
E4 ||| G4 ||| 0.00512195121951
E4 ||| F#4 ||| 0.0020618556701
E4 ||| C#4 ||| 0.525691699605
E4 ||| F3 ||| 0.0354609929078
E4 ||| A3 ||| 0.252770083102
E4 ||| C5 ||| 0.00175284837862
E4 ||| B4 ||| 0.00486854917235
E4 ||| B-3 ||| 0.303797468354
E4 ||| G#3 ||| 0.476394849785
E4 ||| F#3 ||| 0.122807017544
E4 ||| G3 ||| 0.258620689655
E4 ||| G#4 ||| 0.0116618075802
E4 ||| B-4 ||| 0.00675675675676
E4 ||| B3 ||| 0.211890243902
E4 ||| C3 ||| 0.166666666667
E4 ||| E4 ||| 0.0155429071804
E4 ||| D4 ||| 0.0422059651097
E4 ||| C4 ||| 0.268235977913
E4 ||| E3 ||| 0.105769230769
E4 ||| A4 ||| 0.00771103896104
D#4 ||| B3 ||| 0.00660569105691
D#4 ||| A3 ||| 0.0090027700831
D#4 ||| F#3 ||| 0.0701754385965
D#4 ||| F#4 ||| 0.0020618556701
D#4 ||| C4 ||| 0.00116245277536
D#5 ||| G4 ||| 0.000243902439024
D#5 ||| F#4 ||| 0.0288659793814
D#5 ||| B4 ||| 0.0389483933788
D#5 ||| A3 ||| 0.00138504155125
D#5 ||| A4 ||| 0.0174512987013
D#5 ||| C5 ||| 0.00438212094654
A-4 ||| B3 ||| 0.000508130081301
A-4 ||| D4 ||| 0.000281373100732
A-4 ||| G4 ||| 0.000243902439024
A-4 ||| F4 ||| 0.00088573959256
A-4 ||| C4 ||| 0.000290613193839
C5 ||| G#3 ||| 0.0214592274678
C5 ||| G#4 ||| 0.0320699708455
C5 ||| G5 ||| 0.285714285714
C5 ||| G4 ||| 0.378536585366
C5 ||| F#4 ||| 0.146391752577
C5 ||| A3 ||| 0.0200831024931
C5 ||| A4 ||| 0.399756493506
C5 ||| B-4 ||| 0.222972972973
C5 ||| E5 ||| 0.0227272727273
C5 ||| E4 ||| 0.14557793345
C5 ||| D#4 ||| 0.0636363636364
