3
B4 D5 BAR D5 ||| D5 ||| 0.153841242785
B4 D5 BAR D5 ||| F#5 ||| 0.153841242785
B4 D5 BAR D5 ||| C5 ||| 0.692282900324
B4 D5 BAR D5 ||| <UNK> ||| 7.69202367913e-07
B3 R G4 BAR ||| A4 ||| 0.999530225492
B3 R G4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR E4 E4 E4 BAR ||| B4 ||| 0.199982801651
BAR E4 E4 E4 BAR ||| E4 ||| 0.399963603494
BAR E4 E4 E4 BAR ||| D4 ||| 0.199982801651
BAR E4 E4 E4 BAR ||| F#4 ||| 0.199982801651
BAR E4 E4 E4 BAR ||| <UNK> ||| 1.99980801843e-06
G4 G4 B-4 BAR ||| A4 ||| 0.999530225492
G4 G4 B-4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR E4 BAR G#4 A4 BAR ||| A4 ||| 0.999530225492
BAR E4 BAR G#4 A4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR R G#4 E4 ||| A4 ||| 0.999530225492
BAR R G#4 E4 ||| <UNK> ||| 9.99520230289e-06
BAR C5 A4 B4 BAR ||| C5 ||| 0.999765056386
BAR C5 A4 B4 BAR ||| <UNK> ||| 4.99880028793e-06
E5 F#5 G5 BAR ||| G5 ||| 0.79992520718
E5 F#5 G5 BAR ||| F#5 ||| 0.199982801651
E5 F#5 G5 BAR ||| <UNK> ||| 1.99980801843e-06
BAR E4 BAR A4 G4 ||| F4 ||| 0.999765056386
BAR E4 BAR A4 G4 ||| <UNK> ||| 4.99880028793e-06
G4 BAR B4 A4 ||| G4 ||| 0.399963603494
G4 BAR B4 A4 ||| G#4 ||| 0.599944405337
G4 BAR B4 A4 ||| <UNK> ||| 1.99980801843e-06
B4 A4 F#4 ||| B4 ||| 0.999530225492
B4 A4 F#4 ||| <UNK> ||| 9.99520230289e-06
B4 B4 E4 ||| A4 ||| 0.999530225492
B4 B4 E4 ||| <UNK> ||| 9.99520230289e-06
B4 C5 G#5 BAR ||| A5 ||| 0.999765056386
B4 C5 G#5 BAR ||| <UNK> ||| 4.99880028793e-06
F4 BAR C5 G4 ||| G4 ||| 0.999530225492
F4 BAR C5 G4 ||| <UNK> ||| 9.99520230289e-06
BAR G#4 R G4 BAR ||| G4 ||| 0.999765056386
BAR G#4 R G4 BAR ||| <UNK> ||| 4.99880028793e-06
