G#3 ||| G5 ||| 0.00146412884334
G#3 ||| F#4 ||| 0.00302571860817
G#3 ||| F5 ||| 0.009375
G#3 ||| F4 ||| 0.0204255319149
G#3 ||| B4 ||| 0.0950669715779
G#3 ||| B5 ||| 0.027027027027
G#3 ||| G#4 ||| 0.00216684723727
G#3 ||| E5 ||| 0.0178830352827
G#3 ||| E4 ||| 0.0357432981316
G#3 ||| D4 ||| 0.0128458498024
G#3 ||| D5 ||| 0.0185840707965
G#3 ||| C5 ||| 0.000888691401911
G#3 ||| A4 ||| 0.00093984962406
G#2 ||| F4 ||| 0.00595744680851
G#2 ||| B4 ||| 0.00392028748775
G#2 ||| A4 ||| 0.000234962406015
G#2 ||| B3 ||| 0.010989010989
G#2 ||| E4 ||| 0.0093419983753
G#2 ||| D4 ||| 0.00790513833992
G#2 ||| C4 ||| 0.002079002079
G#4 ||| E5 ||| 0.0154664088932
G#4 ||| B5 ||| 0.432432432432
G#4 ||| F5 ||| 0.0078125
F#2 ||| D4 ||| 0.00197628458498
F#2 ||| A4 ||| 0.00093984962406
F#2 ||| C4 ||| 0.004158004158
G4 ||| G5 ||| 0.188872620791
G4 ||| G4 ||| 0.00296150049358
G4 ||| F#5 ||| 0.0252525252525
G4 ||| C#5 ||| 0.0165745856354
G4 ||| B4 ||| 0.0267886311663
G4 ||| B5 ||| 0.135135135135
G4 ||| A5 ||| 0.0952380952381
G4 ||| A4 ||| 0.00281954887218
G4 ||| B-5 ||| 1.0
G4 ||| E5 ||| 0.0488158530691
G4 ||| D5 ||| 0.0553097345133
G4 ||| C5 ||| 0.0155520995334
G4 ||| F5 ||| 0.0671875
F#4 ||| B4 ||| 0.000653381247958
F#4 ||| G5 ||| 0.0102489019034
F#4 ||| D5 ||| 0.029203539823
F#4 ||| F#5 ||| 0.00505050505051
F#4 ||| C#5 ||| 0.00552486187845
F#4 ||| E-5 ||| 0.125
F#4 ||| A5 ||| 0.111111111111
F#4 ||| A4 ||| 0.00164473684211
F#4 ||| B-4 ||| 0.0042194092827
F#4 ||| E5 ||| 0.011116481392
F#4 ||| G#5 ||| 0.0138888888889
F#4 ||| D#5 ||| 0.0493827160494
F#4 ||| C5 ||| 0.00111086425239
G2 ||| F4 ||| 0.0153191489362
G2 ||| G4 ||| 0.0207305034551
G2 ||| F#4 ||| 0.00907715582451
G2 ||| C#4 ||| 0.0384615384615
G2 ||| B4 ||| 0.0101274093434
G2 ||| A3 ||| 0.0263157894737
G2 ||| G3 ||| 0.037037037037
G2 ||| A4 ||| 0.00093984962406
G2 ||| B-4 ||| 0.0042194092827
G2 ||| B3 ||| 0.17032967033
G2 ||| E4 ||| 0.00771730300569
G2 ||| D4 ||| 0.0879446640316
G2 ||| C5 ||| 0.00133303710287
G2 ||| C4 ||| 0.027027027027
B-2 ||| G4 ||| 0.000493583415597
B-2 ||| G3 ||| 0.037037037037
B-2 ||| F4 ||| 0.00765957446809
B-2 ||| A4 ||| 0.000234962406015
B-2 ||| B-4 ||| 0.0042194092827
B-2 ||| E4 ||| 0.00121852152721
B-2 ||| D4 ||| 0.0128458498024
B-2 ||| C4 ||| 0.002079002079
B-3 ||| F4 ||| 0.016170212766
B-3 ||| G5 ||| 0.00292825768668
B-3 ||| G4 ||| 0.00863770977295
B-3 ||| F#4 ||| 0.00302571860817
B-3 ||| F#5 ||| 0.010101010101
B-3 ||| F5 ||| 0.0125
B-3 ||| C#5 ||| 0.00552486187845
B-3 ||| C#4 ||| 0.0128205128205
B-3 ||| A4 ||| 0.00258458646617
B-3 ||| B-4 ||| 0.0717299578059
B-3 ||| E5 ||| 0.00338327694538
B-3 ||| E4 ||| 0.00243704305443
B-3 ||| D4 ||| 0.00494071146245
B-3 ||| D5 ||| 0.0159292035398
B-3 ||| A-4 ||| 0.125
B-3 ||| C5 ||| 0.00688735836481
B-3 ||| C4 ||| 0.002079002079
A3 ||| G#4 ||| 0.0162513542795
A3 ||| G5 ||| 0.0190336749634
A3 ||| G4 ||| 0.030602171767
A3 ||| F#4 ||| 0.136157337368
A3 ||| F#5 ||| 0.156565656566
A3 ||| A5 ||| 0.0888888888889
A3 ||| A4 ||| 0.213110902256
A3 ||| B-4 ||| 0.0632911392405
A3 ||| E5 ||| 0.134847752537
A3 ||| E4 ||| 0.196994313566
A3 ||| D#4 ||| 0.09375
A3 ||| D#5 ||| 0.0864197530864
A3 ||| C5 ||| 0.202621639636
A3 ||| C4 ||| 0.0935550935551
A3 ||| C#5 ||| 0.502762430939
A3 ||| C#4 ||| 0.102564102564
A3 ||| E-5 ||| 0.125
A3 ||| F4 ||| 0.0791489361702
A3 ||| F5 ||| 0.0515625
A3 ||| B4 ||| 0.0842861809866
A3 ||| B3 ||| 0.0164835164835
A3 ||| D4 ||| 0.0247035573123
A3 ||| D5 ||| 0.0367256637168
A2 ||| F4 ||| 0.0357446808511
A2 ||| G4 ||| 0.00518262586377
A2 ||| F#4 ||| 0.0393343419062
A2 ||| C#5 ||| 0.0110497237569
A2 ||| C#4 ||| 0.589743589744
A2 ||| D5 ||| 0.000442477876106
A2 ||| B4 ||| 0.00555374060764
A2 ||| A3 ||| 0.105263157895
A2 ||| G#4 ||| 0.00975081256771
A2 ||| B3 ||| 0.0164835164835
A2 ||| E5 ||| 0.00241662638956
A2 ||| E4 ||| 0.148253452478
A2 ||| D#4 ||| 0.1875
A2 ||| C4 ||| 0.126819126819
A2 ||| D4 ||| 0.0326086956522
A2 ||| C5 ||| 0.00333259275717
A2 ||| A4 ||| 0.0328947368421
A4 ||| G5 ||| 0.0234260614934
A4 ||| F4 ||| 0.000851063829787
A4 ||| F#5 ||| 0.030303030303
A4 ||| C#5 ||| 0.0497237569061
A4 ||| B4 ||| 0.00196014374387
A4 ||| B5 ||| 0.189189189189
A4 ||| A5 ||| 0.184126984127
A4 ||| A4 ||| 0.00234962406015
A4 ||| E5 ||| 0.0720154664089
A4 ||| G#5 ||| 0.0277777777778
A4 ||| D5 ||| 0.00442477876106
A4 ||| C6 ||| 0.307692307692
A4 ||| C5 ||| 0.00955343257054
A4 ||| F5 ||| 0.0578125
B-4 ||| E5 ||| 0.00531657805703
B-4 ||| G5 ||| 0.00292825768668
B-4 ||| D5 ||| 0.000442477876106
B-4 ||| F5 ||| 0.0015625
C3 ||| G5 ||| 0.00292825768668
C3 ||| G4 ||| 0.172013820336
C3 ||| F#4 ||| 0.0423600605144
C3 ||| F4 ||| 0.0502127659574
C3 ||| D5 ||| 0.00884955752212
C3 ||| B4 ||| 0.00816726559948
C3 ||| B-3 ||| 0.428571428571
C3 ||| A3 ||| 0.0657894736842
C3 ||| F3 ||| 0.5
C3 ||| G3 ||| 0.407407407407
C3 ||| G#4 ||| 0.00758396533044
C3 ||| B-4 ||| 0.10970464135
C3 ||| B3 ||| 0.021978021978
C3 ||| E5 ||| 0.0101498308362
C3 ||| E4 ||| 0.157595450853
C3 ||| D4 ||| 0.050395256917
C3 ||| C4 ||| 0.172557172557
C3 ||| C5 ||| 0.0630970895357
C3 ||| A4 ||| 0.0281954887218
E4 ||| G#5 ||| 0.694444444444
E4 ||| G#4 ||| 0.0465872156013
E4 ||| G5 ||| 0.219619326501
E4 ||| G4 ||| 0.0101184600197
E4 ||| F#4 ||| 0.00907715582451
E4 ||| F#5 ||| 0.0959595959596
E4 ||| A5 ||| 0.0666666666667
E4 ||| A4 ||| 0.0138627819549
E4 ||| B-4 ||| 0.0084388185654
E4 ||| E5 ||| 0.173030449493
E4 ||| E4 ||| 0.00243704305443
E4 ||| D#5 ||| 0.0493827160494
E4 ||| C6 ||| 0.0769230769231
E4 ||| C5 ||| 0.0577649411242
E4 ||| C4 ||| 0.002079002079
E4 ||| C#5 ||| 0.132596685083
E4 ||| R ||| 0.00522193211488
E4 ||| F4 ||| 0.00255319148936
E4 ||| F5 ||| 0.0796875
