G#3 ||| D5 ||| 0.0375131164743
G#3 ||| F#5 ||| 0.00240963855422
G#3 ||| B4 ||| 0.046364080039
G#3 ||| B5 ||| 0.0385005065856
G#3 ||| A5 ||| 0.00116686114352
G#3 ||| D6 ||| 0.0263788968825
G#3 ||| E5 ||| 0.048835631924
G#3 ||| E4 ||| 0.0072202166065
G#3 ||| E6 ||| 0.00740740740741
G#3 ||| C6 ||| 0.000931098696462
G#3 ||| C5 ||| 0.00159066808059
G#3 ||| F5 ||| 0.00587920897916
G#2 ||| F4 ||| 0.010101010101
G#2 ||| B4 ||| 0.0102489019034
G#2 ||| E5 ||| 0.00158263621976
G#2 ||| E4 ||| 0.0180505415162
G#2 ||| D5 ||| 0.00314795383001
G#2 ||| C5 ||| 0.000265111346766
G#4 ||| D6 ||| 0.0503597122302
G#4 ||| B5 ||| 0.0222897669706
G#4 ||| E6 ||| 0.0296296296296
F#2 ||| D4 ||| 0.04
F#2 ||| D5 ||| 0.00104931794334
F#2 ||| A4 ||| 0.000510204081633
F#2 ||| C5 ||| 0.000265111346766
G4 ||| G5 ||| 0.0211930926217
G4 ||| G4 ||| 0.0011862396204
G4 ||| F5 ||| 0.00801710315339
G4 ||| F6 ||| 0.0819672131148
G4 ||| C#6 ||| 0.0909090909091
G4 ||| D5 ||| 0.0259706190976
G4 ||| B4 ||| 0.00195217179112
G4 ||| B5 ||| 0.13475177305
G4 ||| A5 ||| 0.0140023337223
G4 ||| A4 ||| 0.000510204081633
G4 ||| E5 ||| 0.00859145376441
G4 ||| E6 ||| 0.118518518519
G4 ||| D6 ||| 0.16067146283
G4 ||| C6 ||| 0.0623836126629
G4 ||| C5 ||| 0.00159066808059
G3 ||| G5 ||| 0.152276295133
G3 ||| G4 ||| 0.129300118624
G3 ||| F4 ||| 0.0151515151515
G3 ||| F#5 ||| 0.021686746988
G3 ||| F6 ||| 0.016393442623
G3 ||| C#5 ||| 0.205882352941
G3 ||| D5 ||| 0.289349422875
G3 ||| B4 ||| 0.170326988775
G3 ||| B5 ||| 0.106382978723
G3 ||| A5 ||| 0.0250875145858
G3 ||| A4 ||| 0.0255102040816
G3 ||| B-4 ||| 0.413793103448
G3 ||| B-5 ||| 0.170731707317
G3 ||| E5 ||| 0.082070992539
G3 ||| E4 ||| 0.0505415162455
G3 ||| D4 ||| 0.106666666667
G3 ||| E6 ||| 0.0037037037037
G3 ||| D6 ||| 0.0359712230216
G3 ||| C6 ||| 0.0139664804469
G3 ||| C5 ||| 0.0747613997879
G3 ||| F5 ||| 0.098343132015
G2 ||| G5 ||| 0.000784929356358
G2 ||| G4 ||| 0.112692763938
G2 ||| F4 ||| 0.0353535353535
G2 ||| F5 ||| 0.00160342063068
G2 ||| C#4 ||| 0.333333333333
G2 ||| B4 ||| 0.0263543191801
G2 ||| A4 ||| 0.00357142857143
G2 ||| E5 ||| 0.000226090888537
G2 ||| E4 ||| 0.0108303249097
G2 ||| D4 ||| 0.253333333333
G2 ||| D5 ||| 0.0162644281217
G2 ||| C5 ||| 0.00344644750795
B-2 ||| G4 ||| 0.00711743772242
