G#3 ||| F#4 ||| 0.0021978021978
G#3 ||| F5 ||| 0.0172413793103
G#3 ||| F4 ||| 0.0104213864975
G#3 ||| B4 ||| 0.0505243088656
G#3 ||| A3 ||| 0.00143781452193
G#3 ||| A4 ||| 0.00153668843642
G#3 ||| B3 ||| 0.0704225352113
G#3 ||| E5 ||| 0.00352112676056
G#3 ||| E4 ||| 0.0513421389007
G#3 ||| D4 ||| 0.0196078431373
G#3 ||| D5 ||| 0.00778210116732
G#3 ||| E3 ||| 0.00990099009901
G#3 ||| C4 ||| 0.00303364589079
G#2 ||| F4 ||| 0.00226551880381
G#2 ||| G#3 ||| 0.00487804878049
G#2 ||| B3 ||| 0.0140845070423
G#2 ||| E4 ||| 0.002556455049
G#2 ||| D4 ||| 0.00259515570934
G#2 ||| E3 ||| 0.00990099009901
G#4 ||| E5 ||| 0.0211267605634
G#4 ||| B4 ||| 0.0343183984747
G#4 ||| D5 ||| 0.011673151751
G#4 ||| F5 ||| 0.051724137931
F#2 ||| A3 ||| 0.00215672178289
F#2 ||| D4 ||| 0.000865051903114
F#2 ||| C4 ||| 0.00110314396029
G4 ||| G4 ||| 0.0350023180343
G4 ||| F4 ||| 0.00724966017218
G4 ||| F5 ||| 0.120689655172
G4 ||| C#5 ||| 0.3
G4 ||| B4 ||| 0.152526215443
G4 ||| E-4 ||| 0.0277777777778
G4 ||| A4 ||| 0.0157510564733
G4 ||| B-4 ||| 0.129032258065
G4 ||| B3 ||| 0.00156494522692
G4 ||| E5 ||| 0.0774647887324
G4 ||| E4 ||| 0.0029825308905
G4 ||| D4 ||| 0.00374855824683
G4 ||| D5 ||| 0.132295719844
G4 ||| C5 ||| 0.0556920556921
G4 ||| C4 ||| 0.000827357970215
G3 ||| G4 ||| 0.213027352805
G3 ||| F#4 ||| 0.0263736263736
G3 ||| B-3 ||| 0.138888888889
G3 ||| A3 ||| 0.0381020848311
G3 ||| A4 ||| 0.0345754898194
G3 ||| B-4 ||| 0.154838709677
G3 ||| E5 ||| 0.0246478873239
G3 ||| E4 ||| 0.0675330208777
G3 ||| C5 ||| 0.015561015561
G3 ||| C4 ||| 0.0670159955874
G3 ||| C#4 ||| 0.095041322314
G3 ||| E-5 ||| 0.222222222222
G3 ||| E-4 ||| 0.111111111111
G3 ||| F#3 ||| 0.0444444444444
G3 ||| G3 ||| 0.0565749235474
G3 ||| F4 ||| 0.182147711826
G3 ||| F5 ||| 0.0172413793103
G3 ||| B4 ||| 0.152526215443
G3 ||| B3 ||| 0.290558163798
G3 ||| D4 ||| 0.177623990773
G3 ||| D5 ||| 0.0603112840467
G3 ||| D3 ||| 0.0625
G2 ||| G4 ||| 0.00579508576727
G2 ||| G3 ||| 0.0535168195719
G2 ||| F4 ||| 0.0135931128228
G2 ||| F3 ||| 0.104
G2 ||| B-3 ||| 0.0972222222222
G2 ||| A3 ||| 0.00503235082674
G2 ||| F#3 ||| 0.0222222222222
G2 ||| B3 ||| 0.0579029733959
G2 ||| E4 ||| 0.001704303366
G2 ||| D4 ||| 0.0138408304498
G2 ||| D3 ||| 0.25
G2 ||| E3 ||| 0.029702970297
G2 ||| C4 ||| 0.00772200772201
B-2 ||| F3 ||| 0.024
B-2 ||| F4 ||| 0.000906207521522
B-2 ||| E-4 ||| 0.0277777777778
B-2 ||| B-3 ||| 0.0277777777778
B-2 ||| G3 ||| 0.0045871559633
B-2 ||| D4 ||| 0.00115340253749
B-2 ||| D3 ||| 0.0625
B-2 ||| C4 ||| 0.00220628792057
B-3 ||| F4 ||| 0.0172179429089
B-3 ||| G4 ||| 0.00695410292072
B-3 ||| G3 ||| 0.00152905198777
