3
F3 E3 F3 BAR ||| F3 ||| 0.0952363945967
F3 E3 F3 BAR ||| G3 ||| 0.523798027474
F3 E3 F3 BAR ||| B2 ||| 0.0476184353881
F3 E3 F3 BAR ||| C3 ||| 0.142854353805
F3 E3 F3 BAR ||| E3 ||| 0.190472313014
F3 E3 F3 BAR ||| <UNK> ||| 4.76179592086e-07
E4 BAR A3 G4 ||| F#4 ||| 0.999530225492
E4 BAR A3 G4 ||| <UNK> ||| 9.99520230289e-06
BAR A3 BAR E4 D4 ||| <UNK> ||| 9.99520230289e-06
BAR A3 BAR E4 D4 ||| C4 ||| 0.999530225492
G3 G2 BAR C3 BAR ||| E3 ||| 0.999530225492
G3 G2 BAR C3 BAR ||| <UNK> ||| 9.99520230289e-06
BAR C4 G4 F4 ||| E4 ||| 0.999530225492
BAR C4 G4 F4 ||| <UNK> ||| 9.99520230289e-06
BAR F3 F3 BAR E3 ||| F3 ||| 0.999765056386
BAR F3 F3 BAR E3 ||| <UNK> ||| 4.99880028793e-06
BAR A3 F3 B-3 ||| A3 ||| 0.499885027593
BAR A3 F3 B-3 ||| <UNK> ||| 4.99880028793e-06
BAR A3 F3 B-3 ||| C4 ||| 0.499885027593
BAR R E4 F4 ||| A3 ||| 0.999530225492
BAR R E4 F4 ||| <UNK> ||| 9.99520230289e-06
D3 BAR C3 C4 ||| <UNK> ||| 1.666533344e-06
D3 BAR C3 C4 ||| B3 ||| 0.999921672933
R C4 D4 BAR ||| E4 ||| 0.999530225492
R C4 D4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR G3 A3 A3 ||| G3 ||| 0.999765056386
BAR G3 A3 A3 ||| <UNK> ||| 4.99880028793e-06
C4 F3 B3 BAR ||| <UNK> ||| 3.33280008532e-06
C4 F3 B3 BAR ||| C4 ||| 0.999843358396
BAR R F4 E4 ||| E-4 ||| 0.499885027593
BAR R F4 E4 ||| F4 ||| 0.499885027593
BAR R F4 E4 ||| <UNK> ||| 4.99880028793e-06
G4 BAR C4 R ||| C5 ||| 0.999765056386
G4 BAR C4 R ||| <UNK> ||| 4.99880028793e-06
G4 G3 C4 ||| <UNK> ||| 9.99952002304e-07
G4 G3 C4 ||| B3 ||| 0.0999962001824
G4 G3 C4 ||| END ||| 0.499977001104
G4 G3 C4 ||| C5 ||| 0.199991400413
G4 G3 C4 ||| C4 ||| 0.199991400413
F3 D3 B-3 ||| A3 ||| 0.999530225492
F3 D3 B-3 ||| <UNK> ||| 9.99520230289e-06
G2 G3 G3 BAR ||| A3 ||| 0.999530225492
G2 G3 G3 BAR ||| <UNK> ||| 9.99520230289e-06
BAR E4 BAR A4 ||| G4 ||| 0.999530225492
BAR E4 BAR A4 ||| <UNK> ||| 9.99520230289e-06
C5 BAR A4 F4 ||| G4 ||| 0.999530225492
C5 BAR A4 F4 ||| <UNK> ||| 9.99520230289e-06
B2 C#3 D#3 ||| E3 ||| 0.999843358396
B2 C#3 D#3 ||| <UNK> ||| 3.33280008532e-06
G2 A2 B2 ||| C3 ||| 0.999921672933
G2 A2 B2 ||| <UNK> ||| 1.666533344e-06
F2 G2 BAR C3 ||| END ||| 0.999530225492
F2 G2 BAR C3 ||| <UNK> ||| 9.99520230289e-06
G4 D4 E4 ||| F4 ||| 0.999530225492
G4 D4 E4 ||| <UNK> ||| 9.99520230289e-06
C4 D4 BAR C#4 ||| D#4 ||| 0.999882514098
C4 D4 BAR C#4 ||| <UNK> ||| 2.499700036e-06
A3 E4 G#4 BAR ||| A4 ||| 0.999530225492
A3 E4 G#4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR R C4 BAR ||| <UNK> ||| 4.99880028793e-06
BAR R C4 BAR ||| F4 ||| 0.499885027593
BAR R C4 BAR ||| C4 ||| 0.499885027593
G2 G3 BAR C3 ||| E3 ||| 0.999530225492
G2 G3 BAR C3 ||| <UNK> ||| 9.99520230289e-06
BAR C4 F3 BAR G3 ||| F3 ||| 0.999765056386
BAR C4 F3 BAR G3 ||| <UNK> ||| 4.99880028793e-06
C5 BAR C5 B4 ||| B4 ||| 0.999530225492
C5 BAR C5 B4 ||| <UNK> ||| 9.99520230289e-06
BAR D4 E4 E4 BAR ||| A3 ||| 0.999530225492
BAR D4 E4 E4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR A2 R A2 ||| B2 ||| 0.999530225492
BAR A2 R A2 ||| <UNK> ||| 9.99520230289e-06
A3 D3 G3 ||| C3 ||| 0.999530225492
A3 D3 G3 ||| <UNK> ||| 9.99520230289e-06
A3 G#3 A3 ||| F3 ||| 0.363628884461
A3 G#3 A3 ||| G3 ||| 0.272721776979
A3 G#3 A3 ||| D#3 ||| 0.0454540082762
A3 G#3 A3 ||| B3 ||| 0.136361115757
A3 G#3 A3 ||| E4 ||| 0.0454540082762
A3 G#3 A3 ||| <UNK> ||| 4.54535537406e-07
A3 G#3 A3 ||| D3 ||| 0.0454540082762
A3 G#3 A3 ||| C4 ||| 0.0909075620168
A4 E4 E4 BAR ||| A4 ||| 0.999765056386
A4 E4 E4 BAR ||| <UNK> ||| 4.99880028793e-06
B3 C#4 A3 ||| D4 ||| 0.999882514098
B3 C#4 A3 ||| <UNK> ||| 2.499700036e-06
D4 E4 F#4 ||| E4 ||| 0.166662777881
D4 E4 F#4 ||| G4 ||| 0.833311667244
D4 E4 F#4 ||| <UNK> ||| 5.55540741136e-07
BAR E3 C#3 A2 ||| D3 ||| 0.999765056386
BAR E3 C#3 A2 ||| <UNK> ||| 4.99880028793e-06
BAR F3 BAR ||| <UNK> ||| 9.99520230289e-06
BAR F3 BAR ||| C4 ||| 0.999530225492
BAR A3 BAR F4 E4 ||| D4 ||| 0.999530225492
BAR A3 BAR F4 E4 ||| <UNK> ||| 9.99520230289e-06
F4 BAR B3 D4 ||| <UNK> ||| 4.99880028793e-06
F4 BAR B3 D4 ||| C4 ||| 0.999765056386
G3 BAR G#3 A3 ||| <UNK> ||| 4.99880028793e-06
G3 BAR G#3 A3 ||| F3 ||| 0.499885027593
G3 BAR G#3 A3 ||| B3 ||| 0.499885027593
BAR B4 A4 G4 ||| F4 ||| 0.999530225492
BAR B4 A4 G4 ||| <UNK> ||| 9.99520230289e-06
G4 G3 C4 BAR ||| A3 ||| 0.333283341332
G4 G3 C4 BAR ||| <UNK> ||| 3.33280008532e-06
G4 G3 C4 BAR ||| G3 ||| 0.333283341332
G4 G3 C4 BAR ||| C4 ||| 0.333283341332
G3 C4 BAR G4 ||| G3 ||| 0.333283341332
G3 C4 BAR G4 ||| A4 ||| 0.666563349864
G3 C4 BAR G4 ||| <UNK> ||| 3.33280008532e-06
A2 BAR G3 F3 ||| E3 ||| 0.999530225492
A2 BAR G3 F3 ||| <UNK> ||| 9.99520230289e-06
BAR G3 A3 BAR D3 ||| G3 ||| 0.999530225492
BAR G3 A3 BAR D3 ||| <UNK> ||| 9.99520230289e-06
E2 BAR C3 C4 ||| <UNK> ||| 9.99520230289e-06
E2 BAR C3 C4 ||| B3 ||| 0.999530225492
D3 BAR C3 E3 ||| F3 ||| 0.199982801651
D3 BAR C3 E3 ||| G3 ||| 0.599944405337
D3 BAR C3 E3 ||| D3 ||| 0.199982801651
D3 BAR C3 E3 ||| <UNK> ||| 1.99980801843e-06
A3 B-3 E-4 ||| <UNK> ||| 9.99520230289e-06
