G#5 ||| F5 ||| 0.0137221269297
G#5 ||| B4 ||| 0.0123711340206
G#5 ||| R ||| 0.00510204081633
G#5 ||| A4 ||| 0.000268024658269
G#5 ||| E5 ||| 0.0328587075575
G#5 ||| D5 ||| 0.0145914396887
G#5 ||| C5 ||| 0.00103039670273
G#4 ||| F4 ||| 0.0103871576959
G#4 ||| B4 ||| 0.000687285223368
G#4 ||| F#4 ||| 0.00310559006211
G#4 ||| B3 ||| 0.0179640718563
G#4 ||| E4 ||| 0.0440366972477
G#4 ||| D#4 ||| 0.0285714285714
G#4 ||| D5 ||| 0.000486381322957
G#4 ||| D4 ||| 0.0236305048335
G6 ||| G5 ||| 0.0095087163233
G6 ||| F5 ||| 0.00171526586621
G5 ||| B4 ||| 0.152920962199
G5 ||| G5 ||| 0.0475435816165
G5 ||| G4 ||| 0.0406992624966
G5 ||| F#4 ||| 0.00310559006211
G5 ||| F#5 ||| 0.037037037037
G5 ||| F5 ||| 0.0840480274443
G5 ||| C#5 ||| 0.152542372881
G5 ||| F4 ||| 0.0056657223796
G5 ||| D5 ||| 0.235894941634
G5 ||| E-5 ||| 0.125
G5 ||| R ||| 0.0255102040816
G5 ||| A4 ||| 0.0168855534709
G5 ||| B-4 ||| 0.276018099548
G5 ||| B3 ||| 0.0119760479042
G5 ||| E5 ||| 0.23986856517
G5 ||| E4 ||| 0.00596330275229
G5 ||| D4 ||| 0.00859291084855
G5 ||| D#5 ||| 0.0361445783133
G5 ||| C5 ||| 0.146058732612
G5 ||| C4 ||| 0.0116279069767
G4 ||| F4 ||| 0.0783758262512
G4 ||| G4 ||| 0.0177547118274
G4 ||| F#4 ||| 0.0403726708075
G4 ||| C#4 ||| 0.153846153846
G4 ||| B4 ||| 0.00171821305842
G4 ||| B-3 ||| 0.285714285714
G4 ||| A3 ||| 0.0506329113924
G4 ||| B3 ||| 0.185628742515
G4 ||| E4 ||| 0.142201834862
G4 ||| D#4 ||| 0.0571428571429
G4 ||| D5 ||| 0.000486381322957
G4 ||| D4 ||| 0.288936627282
G4 ||| C4 ||| 0.0953488372093
F#4 ||| F#4 ||| 0.00310559006211
F#4 ||| A3 ||| 0.0126582278481
F#4 ||| B3 ||| 0.0179640718563
F#4 ||| E4 ||| 0.00550458715596
F#4 ||| D#4 ||| 0.2
F#4 ||| D4 ||| 0.0107411385607
F#4 ||| C4 ||| 0.0139534883721
F#5 ||| G4 ||| 0.00136574706364
F#5 ||| F#4 ||| 0.0108695652174
F#5 ||| F#5 ||| 0.00529100529101
F#5 ||| C#5 ||| 0.0225988700565
F#5 ||| D5 ||| 0.0282101167315
F#5 ||| B4 ||| 0.0175257731959
F#5 ||| R ||| 0.00510204081633
F#5 ||| A4 ||| 0.0241222192442
F#5 ||| E5 ||| 0.0169769989047
F#5 ||| E4 ||| 0.000917431192661
F#5 ||| D4 ||| 0.00214822771214
F#5 ||| D#5 ||| 0.602409638554
F#5 ||| C5 ||| 0.0296239052035
A5 ||| B4 ||| 0.0216494845361
A5 ||| G5 ||| 0.0697305863708
