G#5 ||| F3 ||| 0.000493096646943
G#5 ||| F4 ||| 0.00456621004566
G#5 ||| A3 ||| 0.000613685179503
G#5 ||| B3 ||| 0.0139634801289
G#5 ||| E4 ||| 0.0481072555205
G#5 ||| D4 ||| 0.0122390208783
G#5 ||| D3 ||| 0.000564971751412
G#5 ||| E3 ||| 0.00948212983224
G#5 ||| C4 ||| 0.0010478519036
G#4 ||| F3 ||| 0.00197238658777
G#4 ||| A2 ||| 0.00139470013947
G#4 ||| B2 ||| 0.0401691331924
G#4 ||| B3 ||| 0.000537056928034
G#4 ||| C3 ||| 0.00233644859813
G#4 ||| D4 ||| 0.00143988480922
G#4 ||| E2 ||| 0.125
G#4 ||| D3 ||| 0.0107344632768
G#4 ||| E3 ||| 0.0320933625091
G#4 ||| C4 ||| 0.000349283967866
G6 ||| B4 ||| 0.0181818181818
G6 ||| E4 ||| 0.00394321766562
G6 ||| F4 ||| 0.00152207001522
G5 ||| G4 ||| 0.0987202925046
G5 ||| F#4 ||| 0.00680272108844
G5 ||| G2 ||| 0.00749063670412
G5 ||| B-3 ||| 0.252873563218
G5 ||| A3 ||| 0.045719545873
G5 ||| A4 ||| 0.0117994100295
G5 ||| B-4 ||| 0.266666666667
G5 ||| C3 ||| 0.0297897196262
G5 ||| E4 ||| 0.260252365931
G5 ||| D#4 ||| 0.0142857142857
G5 ||| D#3 ||| 0.0165289256198
G5 ||| C5 ||| 0.13698630137
G5 ||| C4 ||| 0.144952846664
G5 ||| C#4 ||| 0.386904761905
G5 ||| C#3 ||| 0.0442477876106
G5 ||| A#3 ||| 0.166666666667
G5 ||| E-4 ||| 0.4
G5 ||| F#3 ||| 0.00590551181102
G5 ||| D-4 ||| 0.5
G5 ||| G3 ||| 0.126466753585
G5 ||| F3 ||| 0.0414201183432
G5 ||| F4 ||| 0.0547945205479
G5 ||| B4 ||| 0.0545454545455
G5 ||| R ||| 0.0248756218905
G5 ||| E3 ||| 0.109044493071
G5 ||| B2 ||| 0.0295983086681
G5 ||| B3 ||| 0.212137486574
G5 ||| D4 ||| 0.100791936645
G5 ||| D5 ||| 1.0
G5 ||| D3 ||| 0.0186440677966
G4 ||| G4 ||| 0.0018281535649
G4 ||| G3 ||| 0.0355280312907
G4 ||| G2 ||| 0.355805243446
G4 ||| B-2 ||| 0.230769230769
G4 ||| B-3 ||| 0.0229885057471
G4 ||| A3 ||| 0.00214789812826
G4 ||| A2 ||| 0.0209205020921
G4 ||| C3 ||| 0.0741822429907
G4 ||| C2 ||| 0.0769230769231
G4 ||| E3 ||| 0.0689277899344
G4 ||| E2 ||| 0.0714285714286
G4 ||| C#3 ||| 0.265486725664
G4 ||| C#2 ||| 1.0
G4 ||| A#3 ||| 0.166666666667
G4 ||| F#3 ||| 0.00196850393701
G4 ||| E4 ||| 0.000788643533123
G4 ||| F2 ||| 0.0192307692308
G4 ||| F3 ||| 0.0305719921105
G4 ||| F4 ||| 0.00152207001522
G4 ||| B2 ||| 0.141649048626
G4 ||| B3 ||| 0.00966702470462
G4 ||| C4 ||| 0.0132727907789
G4 ||| D2 ||| 0.0666666666667
G4 ||| D3 ||| 0.035593220339
F#4 ||| F#3 ||| 0.00590551181102
F#4 ||| D3 ||| 0.00790960451977
F#4 ||| A3 ||| 0.000306842589751
F#4 ||| A2 ||| 0.00139470013947
F#4 ||| B2 ||| 0.0105708245243
F#4 ||| B3 ||| 0.00107411385607
F#4 ||| C3 ||| 0.00467289719626
F#4 ||| D#3 ||| 0.0165289256198
F#4 ||| E3 ||| 0.00255288110868
F#5 ||| F#3 ||| 0.0452755905512
F#5 ||| G3 ||| 0.0029335071708
F#5 ||| A#2 ||| 0.5
F#5 ||| D4 ||| 0.053275737941
F#5 ||| A3 ||| 0.0322184719239
F#5 ||| D3 ||| 0.0101694915254
F#5 ||| A#3 ||| 0.333333333333
F#5 ||| B-3 ||| 0.00574712643678
F#5 ||| G#3 ||| 0.00189393939394
F#5 ||| A2 ||| 0.00139470013947
F#5 ||| A4 ||| 0.00884955752212
F#5 ||| B2 ||| 0.0274841437632
F#5 ||| B3 ||| 0.0477980665951
F#5 ||| E4 ||| 0.00315457413249
F#5 ||| D#4 ||| 0.0285714285714
F#5 ||| D#3 ||| 0.0330578512397
F#5 ||| E3 ||| 0.00328227571116
F#5 ||| C4 ||| 0.0195599022005
A5 ||| G#3 ||| 0.00378787878788
A5 ||| G4 ||| 0.0438756855576
A5 ||| F#4 ||| 0.210884353741
A5 ||| B-3 ||| 0.051724137931
A5 ||| A3 ||| 0.0742559067199
A5 ||| A2 ||| 0.00836820083682
A5 ||| A4 ||| 0.106194690265
A5 ||| C3 ||| 0.00525700934579
A5 ||| E4 ||| 0.102523659306
A5 ||| D#4 ||| 0.557142857143
A5 ||| D#3 ||| 0.0826446280992
A5 ||| C5 ||| 0.0684931506849
A5 ||| C4 ||| 0.0789381767377
A5 ||| C#4 ||| 0.315476190476
A5 ||| C#3 ||| 0.00884955752212
A5 ||| E-4 ||| 0.4
A5 ||| F#3 ||| 0.0590551181102
A5 ||| G3 ||| 0.0140156453716
A5 ||| F3 ||| 0.0823471400394
A5 ||| F4 ||| 0.41704718417
A5 ||| B4 ||| 0.127272727273
A5 ||| R ||| 0.00497512437811
A5 ||| E3 ||| 0.00692924872356
A5 ||| B2 ||| 0.00422832980973
A5 ||| B3 ||| 0.0354457572503
A5 ||| D4 ||| 0.179265658747
A5 ||| D3 ||| 0.0169491525424
A4 ||| F#2 ||| 0.111111111111
A4 ||| G4 ||| 0.0018281535649
A4 ||| F#4 ||| 0.00680272108844
A4 ||| G2 ||| 0.0262172284644
A4 ||| B-2 ||| 0.307692307692
A4 ||| B-3 ||| 0.00574712643678
A4 ||| A3 ||| 0.0730285363608
A4 ||| A2 ||| 0.47419804742
A4 ||| C3 ||| 0.0864485981308
A4 ||| E4 ||| 0.00473186119874
A4 ||| D#3 ||| 0.264462809917
A4 ||| E3 ||| 0.0517870167761
A4 ||| C4 ||| 0.0230527418791
A4 ||| C#4 ||| 0.0178571428571
A4 ||| C#3 ||| 0.371681415929
A4 ||| F#3 ||| 0.124015748031
A4 ||| E-3 ||| 0.3
A4 ||| G3 ||| 0.01629726206
A4 ||| F2 ||| 0.403846153846
A4 ||| F3 ||| 0.166666666667
A4 ||| R ||| 0.00995024875622
A4 ||| B2 ||| 0.101479915433
A4 ||| B3 ||| 0.015574650913
A4 ||| D4 ||| 0.036717062635
A4 ||| E2 ||| 0.0535714285714
A4 ||| D2 ||| 0.4
A4 ||| D3 ||| 0.174011299435
B-4 ||| G3 ||| 0.00391134289439
B-4 ||| E-4 ||| 0.2
B-4 ||| C#4 ||| 0.00595238095238
B-4 ||| C#3 ||| 0.00884955752212
B-4 ||| B-2 ||| 0.0384615384615
B-4 ||| B-3 ||| 0.00574712643678
B-4 ||| D3 ||| 0.00338983050847
B-4 ||| E3 ||| 0.0018234865062
B-4 ||| C4 ||| 0.000349283967866
B-5 ||| G3 ||| 0.0022816166884
B-5 ||| C#4 ||| 0.00595238095238
B-5 ||| B-3 ||| 0.0172413793103
B-5 ||| A3 ||| 0.000613685179503
B-5 ||| E-3 ||| 0.1
B-5 ||| E4 ||| 0.00630914826498
B-5 ||| D4 ||| 0.00503959683225
B-5 ||| E3 ||| 0.00072939460248
B-5 ||| C4 ||| 0.00349283967866
E5 ||| G#3 ||| 0.409090909091
E5 ||| G#2 ||| 0.145833333333
E5 ||| G4 ||| 0.0694698354662
E5 ||| F#4 ||| 0.00680272108844
E5 ||| G2 ||| 0.00374531835206
E5 ||| B-3 ||| 0.149425287356
E5 ||| A3 ||| 0.189935563056
E5 ||| A2 ||| 0.0516039051604
E5 ||| A4 ||| 0.11209439528
E5 ||| C3 ||| 0.285630841121
E5 ||| C2 ||| 0.153846153846
E5 ||| A-3 ||| 0.222222222222
E5 ||| E3 ||| 0.175419401896
E5 ||| C4 ||| 0.402375130981
E5 ||| C#4 ||| 0.178571428571
E5 ||| C#3 ||| 0.238938053097
E5 ||| A#3 ||| 0.333333333333
E5 ||| A#2 ||| 0.5
E5 ||| F#3 ||| 0.0748031496063
E5 ||| E4 ||| 0.0891167192429
E5 ||| G3 ||| 0.118318122555
E5 ||| F3 ||| 0.0936883629191
E5 ||| F4 ||| 0.076103500761
E5 ||| R ||| 0.0248756218905
E5 ||| B2 ||| 0.0528541226216
E5 ||| B3 ||| 0.145542427497
E5 ||| D4 ||| 0.0590352771778
E5 ||| E2 ||| 0.0357142857143
E5 ||| D3 ||| 0.0621468926554
E4 ||| F2 ||| 0.0192307692308
E4 ||| F3 ||| 0.000493096646943
E4 ||| G3 ||| 0.00456323337679
E4 ||| G2 ||| 0.0112359550562
E4 ||| A3 ||| 0.00859159251304
E4 ||| C#3 ||| 0.00884955752212
E4 ||| D3 ||| 0.00847457627119
E4 ||| B-2 ||| 0.0384615384615
E4 ||| B-3 ||| 0.00574712643678
E4 ||| G#3 ||| 0.00378787878788
E4 ||| G#2 ||| 0.104166666667
E4 ||| B2 ||| 0.0274841437632
E4 ||| C3 ||| 0.0484813084112
E4 ||| C2 ||| 0.0769230769231
E4 ||| E2 ||| 0.267857142857
E4 ||| A2 ||| 0.0655509065551
E4 ||| E3 ||| 0.0156819839533
E4 ||| C4 ||| 0.0010478519036
E6 ||| F4 ||| 0.0167427701674
E6 ||| G4 ||| 0.0585009140768
E6 ||| F#4 ||| 0.0204081632653
E6 ||| C#4 ||| 0.0595238095238
E6 ||| A3 ||| 0.00245474071801
E6 ||| B4 ||| 0.254545454545
E6 ||| G#3 ||| 0.00378787878788
E6 ||| G3 ||| 0.000325945241199
E6 ||| A4 ||| 0.0766961651917
E6 ||| B-4 ||| 0.0666666666667
E6 ||| B3 ||| 0.00375939849624
E6 ||| E4 ||| 0.0220820189274
E6 ||| E3 ||| 0.00072939460248
E6 ||| C4 ||| 0.0227034579113
E6 ||| D4 ||| 0.00863930885529
E6 ||| C5 ||| 0.547945205479
E6 ||| G#4 ||| 0.156862745098
C6 ||| G#3 ||| 0.00189393939394
C6 ||| G4 ||| 0.122486288848
C6 ||| F#4 ||| 0.421768707483
C6 ||| A3 ||| 0.0558453513348
C6 ||| A2 ||| 0.00139470013947
C6 ||| A4 ||| 0.46017699115
C6 ||| B-4 ||| 0.533333333333
C6 ||| C3 ||| 0.00817757009346
C6 ||| E4 ||| 0.119873817035
C6 ||| D#4 ||| 0.0428571428571
C6 ||| E3 ||| 0.00510576221736
C6 ||| C4 ||| 0.067761089766
C6 ||| F#3 ||| 0.0255905511811
C6 ||| G3 ||| 0.00488917861799
C6 ||| F3 ||| 0.00147928994083
C6 ||| F4 ||| 0.0669710806697
C6 ||| B4 ||| 0.163636363636
C6 ||| R ||| 0.00497512437811
C6 ||| C5 ||| 0.164383561644
C6 ||| B3 ||| 0.0187969924812
C6 ||| D4 ||| 0.0583153347732
C6 ||| D3 ||| 0.00338983050847
C5 ||| G#3 ||| 0.0113636363636
C5 ||| G#2 ||| 0.0208333333333
C5 ||| F#2 ||| 0.111111111111
