G#5 ||| F4 ||| 0.00290697674419
G#5 ||| B4 ||| 0.0727650727651
G#5 ||| R ||| 0.00503778337531
G#5 ||| E4 ||| 0.00759013282732
G#5 ||| D4 ||| 0.00186277553555
G#5 ||| D5 ||| 0.0152173913043
G#4 ||| C#4 ||| 0.00420168067227
G#4 ||| A3 ||| 0.000788643533123
G#4 ||| B3 ||| 0.0592509782001
G#4 ||| E4 ||| 0.00118595825427
G#4 ||| D4 ||| 0.009624340267
G#4 ||| E3 ||| 0.0204081632653
G#4 ||| C4 ||| 0.00499375780275
G6 ||| B4 ||| 0.0031185031185
G6 ||| D5 ||| 0.00434782608696
G6 ||| C5 ||| 0.000944287063267
G5 ||| G5 ||| 0.285714285714
G5 ||| G4 ||| 0.138785295685
G5 ||| F#4 ||| 0.0345622119816
G5 ||| B-3 ||| 0.0232558139535
G5 ||| A3 ||| 0.00236593059937
G5 ||| A4 ||| 0.0374193548387
G5 ||| B-4 ||| 0.451388888889
G5 ||| E5 ||| 0.0314960629921
G5 ||| E4 ||| 0.109819734345
G5 ||| D#4 ||| 0.105882352941
G5 ||| C5 ||| 0.223796033994
G5 ||| C4 ||| 0.0299625468165
G5 ||| C#4 ||| 0.046218487395
G5 ||| E-5 ||| 0.285714285714
G5 ||| R ||| 0.0277078085642
G5 ||| D-4 ||| 1.0
G5 ||| D-5 ||| 1.0
G5 ||| G3 ||| 0.016583747927
G5 ||| F4 ||| 0.0600775193798
G5 ||| B4 ||| 0.287941787942
G5 ||| E3 ||| 0.0102040816327
G5 ||| B3 ||| 0.0173281162661
G5 ||| D4 ||| 0.114871158025
G5 ||| D5 ||| 0.0717391304348
G4 ||| F4 ||| 0.00290697674419
G4 ||| F#3 ||| 0.0212765957447
G4 ||| G3 ||| 0.10447761194
G4 ||| C#4 ||| 0.0168067226891
G4 ||| B4 ||| 0.0010395010395
G4 ||| B-3 ||| 0.418604651163
G4 ||| A3 ||| 0.0299684542587
G4 ||| F3 ||| 0.0614035087719
G4 ||| A4 ||| 0.000430107526882
G4 ||| B3 ||| 0.183342649525
G4 ||| E4 ||| 0.00830170777989
G4 ||| D4 ||| 0.0223533064266
G4 ||| D3 ||| 0.354838709677
G4 ||| E3 ||| 0.19387755102
G4 ||| C4 ||| 0.0621098626717
F#4 ||| F#3 ||| 0.0425531914894
F#4 ||| G3 ||| 0.00331674958541
F#4 ||| A3 ||| 0.0220820189274
F#4 ||| B3 ||| 0.0072666294019
F#4 ||| D3 ||| 0.0322580645161
F#4 ||| C4 ||| 0.00124843945069
F#5 ||| G4 ||| 0.00346297282898
F#5 ||| F#4 ||| 0.0668202764977
F#5 ||| C#4 ||| 0.0168067226891
F#5 ||| D5 ||| 0.00434782608696
F#5 ||| B4 ||| 0.039501039501
F#5 ||| A3 ||| 0.00236593059937
F#5 ||| R ||| 0.00503778337531
F#5 ||| G#4 ||| 0.00334448160535
F#5 ||| B-4 ||| 0.00694444444444
F#5 ||| B3 ||| 0.00167691447736
F#5 ||| E4 ||| 0.0120967741935
F#5 ||| D#4 ||| 0.552941176471
F#5 ||| C4 ||| 0.00686641697878
F#5 ||| D4 ||| 0.0149022042844
F#5 ||| C5 ||| 0.0254957507082
F#5 ||| A4 ||| 0.0589247311828
A5 ||| G#4 ||| 0.0367892976589
A5 ||| G5 ||| 0.285714285714
A5 ||| G4 ||| 0.0359616409164
A5 ||| F#4 ||| 0.301843317972
A5 ||| A3 ||| 0.00157728706625
A5 ||| A4 ||| 0.121720430108
A5 ||| B-4 ||| 0.0208333333333
A5 ||| E5 ||| 0.125984251969
A5 ||| E4 ||| 0.0574003795066
A5 ||| D#4 ||| 0.129411764706
A5 ||| C5 ||| 0.315391879131
A5 ||| C4 ||| 0.00780274656679
A5 ||| C#5 ||| 0.7
A5 ||| E-5 ||| 0.142857142857
A5 ||| E-4 ||| 0.0606060606061
A5 ||| R ||| 0.0100755667506
A5 ||| F4 ||| 0.114825581395
A5 ||| F5 ||| 0.166666666667
A5 ||| B4 ||| 0.10395010395
A5 ||| B3 ||| 0.00167691447736
A5 ||| D4 ||| 0.009624340267
A5 ||| D5 ||| 0.219565217391
A4 ||| F4 ||| 0.0106589147287
A4 ||| G4 ||| 0.000799147575919
A4 ||| F#4 ||| 0.0230414746544
A4 ||| E-4 ||| 0.151515151515
