G#3 ||| F4 ||| 0.0142857142857
G#3 ||| B4 ||| 0.0518225735617
G#3 ||| A4 ||| 0.00237642585551
G#3 ||| E5 ||| 0.00146341463415
G#3 ||| E4 ||| 0.172043010753
G#3 ||| D4 ||| 0.0208333333333
G#3 ||| D5 ||| 0.00293111871031
G#3 ||| C5 ||| 0.0025344973247
G#4 ||| E6 ||| 0.004329004329
G#4 ||| F#5 ||| 0.00233644859813
G#4 ||| D5 ||| 0.00610649731314
G#4 ||| B4 ||| 0.00131752305665
G#4 ||| B5 ||| 0.140718562874
G#4 ||| A5 ||| 0.00642523364486
G#4 ||| D6 ||| 0.0174129353234
G#4 ||| E5 ||| 0.0212195121951
G#4 ||| D#5 ||| 0.027027027027
G#4 ||| C6 ||| 0.00981354268891
G#4 ||| C5 ||| 0.00168966488313
G#4 ||| F5 ||| 0.00318809776833
G5 ||| G5 ||| 0.000839983200336
G5 ||| E6 ||| 0.012987012987
G5 ||| A5 ||| 0.00116822429907
G4 ||| G5 ||| 0.218815623688
G4 ||| E6 ||| 0.0865800865801
G4 ||| F#5 ||| 0.0303738317757
G4 ||| F6 ||| 0.0888888888889
G4 ||| C#5 ||| 0.0909090909091
G4 ||| D5 ||| 0.215192965315
G4 ||| B4 ||| 0.0162494510321
G4 ||| B5 ||| 0.206586826347
G4 ||| A5 ||| 0.0788551401869
G4 ||| A4 ||| 0.00142585551331
G4 ||| B-4 ||| 0.0967741935484
G4 ||| B-5 ||| 0.275
G4 ||| E5 ||| 0.302682926829
G4 ||| D#5 ||| 0.027027027027
G4 ||| D6 ||| 0.0597014925373
G4 ||| C6 ||| 0.2208047105
G4 ||| C5 ||| 0.0405519571952
G4 ||| F5 ||| 0.149309245484
F#4 ||| G5 ||| 0.00629987400252
F#4 ||| D5 ||| 0.013922813874
F#4 ||| F#5 ||| 0.0677570093458
F#4 ||| B4 ||| 0.0118577075099
F#4 ||| B5 ||| 0.0339321357285
F#4 ||| A5 ||| 0.0765186915888
F#4 ||| A4 ||| 0.00475285171103
F#4 ||| E5 ||| 0.00853658536585
F#4 ||| D#5 ||| 0.567567567568
F#4 ||| D6 ||| 0.0124378109453
F#4 ||| C6 ||| 0.0206084396467
F#4 ||| C5 ||| 0.0135173190651
F#4 ||| F5 ||| 0.000531349628055
F#5 ||| C6 ||| 0.00196270853778
C3 ||| E5 ||| 0.000487804878049
C3 ||| B4 ||| 0.000439174352218
C3 ||| F4 ||| 0.00952380952381
B-3 ||| G5 ||| 0.0012599748005
B-3 ||| G4 ||| 0.0643623361144
B-3 ||| F4 ||| 0.0333333333333
B-3 ||| F5 ||| 0.00106269925611
B-3 ||| A4 ||| 0.00475285171103
B-3 ||| B-4 ||| 0.0645161290323
B-3 ||| E5 ||| 0.00487804878049
B-3 ||| E4 ||| 0.00358422939068
B-3 ||| D5 ||| 0.00366389838788
B-3 ||| C5 ||| 0.00422416220783
A3 ||| G5 ||| 0.0012599748005
A3 ||| G4 ||| 0.0452920143027
A3 ||| F#4 ||| 0.56
A3 ||| F#5 ||| 0.00700934579439
A3 ||| F5 ||| 0.0185972369819
A3 ||| C#5 ||| 0.181818181818
A3 ||| F4 ||| 0.480952380952
A3 ||| B4 ||| 0.038208168643
A3 ||| A5 ||| 0.00116822429907
A3 ||| G#4 ||| 0.00617283950617
A3 ||| E5 ||| 0.0156097560976
A3 ||| E4 ||| 0.322580645161
A3 ||| D4 ||| 0.208333333333
A3 ||| D5 ||| 0.0574010747435
A3 ||| C5 ||| 0.0898338496198
A3 ||| A4 ||| 0.11216730038
A4 ||| B4 ||| 0.00131752305665
A4 ||| G5 ||| 0.0365392692146
A4 ||| G4 ||| 0.00119189511323
A4 ||| F#5 ||| 0.320093457944
A4 ||| F6 ||| 0.177777777778
A4 ||| C#6 ||| 0.9
A4 ||| E6 ||| 0.0995670995671
A4 ||| D5 ||| 0.071079628725
A4 ||| E-5 ||| 1.0
A4 ||| B5 ||| 0.11377245509
A4 ||| R ||| 0.00277008310249
A4 ||| A5 ||| 0.165303738318
A4 ||| A4 ||| 0.00237642585551
A4 ||| E5 ||| 0.107317073171
A4 ||| D#5 ||| 0.162162162162
A4 ||| D6 ||| 0.248756218905
A4 ||| C6 ||| 0.328753680079
A4 ||| C5 ||| 0.0140805406928
A4 ||| F5 ||| 0.229011689692
B-4 ||| G5 ||| 0.0272994540109
B-4 ||| F#5 ||| 0.00233644859813
B-4 ||| D6 ||| 0.0223880597015
B-4 ||| A5 ||| 0.0017523364486
B-4 ||| E5 ||| 0.0080487804878
B-4 ||| E6 ||| 0.0692640692641
B-4 ||| C6 ||| 0.00588812561335
B-4 ||| F5 ||| 0.00584484590861
E5 ||| G5 ||| 0.00335993280134
E5 ||| C#6 ||| 0.1
E5 ||| B5 ||| 0.063872255489
E5 ||| A5 ||| 0.018691588785
E5 ||| D6 ||| 0.0348258706468
E5 ||| B-5 ||| 0.025
E5 ||| E5 ||| 0.000487804878049
E5 ||| E6 ||| 0.038961038961
E5 ||| C6 ||| 0.120706575074
E4 ||| G5 ||| 0.194456110878
E4 ||| G4 ||| 0.0417163289631
E4 ||| F#5 ||| 0.119158878505
E4 ||| F5 ||| 0.038788522848
E4 ||| C#5 ||| 0.636363636364
E4 ||| D5 ||| 0.0691255495848
E4 ||| B4 ||| 0.260869565217
E4 ||| B5 ||| 0.0279441117764
E4 ||| R ||| 0.00277008310249
E4 ||| A5 ||| 0.141355140187
E4 ||| G#4 ||| 0.0308641975309
E4 ||| B-4 ||| 0.0967741935484
E4 ||| B-5 ||| 0.075
E4 ||| E5 ||| 0.131219512195
E4 ||| G#5 ||| 0.260162601626
E4 ||| D#5 ||| 0.027027027027
E4 ||| C6 ||| 0.0333660451423
E4 ||| C5 ||| 0.45874401577
E4 ||| A4 ||| 0.0855513307985
D#4 ||| G5 ||| 0.00377992440151
D#4 ||| F#5 ||| 0.109813084112
D#4 ||| B4 ||| 0.0048309178744
D#4 ||| A5 ||| 0.00642523364486
D#4 ||| A4 ||| 0.00190114068441
D#4 ||| E5 ||| 0.000243902439024
D#4 ||| C5 ||| 0.000563221627711
D#5 ||| C6 ||| 0.00294406280667
A-4 ||| D5 ||| 0.000244259892526
A-4 ||| C5 ||| 0.000281610813855
C5 ||| G6 ||| 0.166666666667
C5 ||| G5 ||| 0.0995380092398
C5 ||| D5 ||| 0.00293111871031
C5 ||| F#5 ||| 0.0630841121495
C5 ||| F6 ||| 0.4
C5 ||| B5 ||| 0.0249500998004
C5 ||| A5 ||| 0.195093457944
C5 ||| D6 ||| 0.126865671642
C5 ||| B-5 ||| 0.225
C5 ||| E5 ||| 0.0153658536585
C5 ||| E6 ||| 0.515151515152
C5 ||| C6 ||| 0.117762512267
C5 ||| C5 ||| 0.000844832441566
C5 ||| F5 ||| 0.0212539851222
C4 ||| G5 ||| 0.0403191936161
C4 ||| G4 ||| 0.237187127533
C4 ||| F#4 ||| 0.08
C4 ||| F#5 ||| 0.0514018691589
C4 ||| F5 ||| 0.151434643996
C4 ||| F4 ||| 0.0761904761905
C4 ||| D5 ||| 0.0686370297997
C4 ||| B4 ||| 0.0298638559508
C4 ||| A5 ||| 0.0146028037383
C4 ||| G#4 ||| 0.0987654320988
C4 ||| B-4 ||| 0.0645161290323
C4 ||| B-5 ||| 0.05
C4 ||| E5 ||| 0.200731707317
C4 ||| E4 ||| 0.0501792114695
C4 ||| D#5 ||| 0.0540540540541
C4 ||| C6 ||| 0.00588812561335
C4 ||| C5 ||| 0.14390312588
C4 ||| A4 ||| 0.395437262357
C#5 ||| E5 ||| 0.000487804878049
C#5 ||| B5 ||| 0.00299401197605
C#5 ||| E6 ||| 0.004329004329
C#5 ||| A5 ||| 0.00817757009346
C#4 ||| G5 ||| 0.00461990760185
C#4 ||| G4 ||| 0.00476758045292
C#4 ||| F#5 ||| 0.00934579439252
C#4 ||| F5 ||| 0.00584484590861
C#4 ||| B4 ||| 0.00131752305665
C#4 ||| A4 ||| 0.0617870722433
C#4 ||| E5 ||| 0.0170731707317
C#4 ||| E4 ||| 0.00358422939068
C#4 ||| D5 ||| 0.000732779677577
C#4 ||| G#4 ||| 0.00617283950617
F#3 ||| G4 ||| 0.00119189511323
F#3 ||| F#4 ||| 0.04
F#3 ||| B4 ||| 0.00658761528327
F#3 ||| A4 ||| 0.00950570342205
F#3 ||| E4 ||| 0.00716845878136
F#3 ||| D5 ||| 0.000244259892526
F#3 ||| C5 ||| 0.00168966488313
E-5 ||| G5 ||| 0.000839983200336
E-5 ||| A5 ||| 0.000584112149533
E-5 ||| C6 ||| 0.00392541707556
E-4 ||| F5 ||| 0.000531349628055
E-4 ||| A5 ||| 0.00116822429907
E-4 ||| A4 ||| 0.00237642585551
E-4 ||| B-4 ||| 0.0645161290323
E-4 ||| B-5 ||| 0.025
E-4 ||| D5 ||| 0.000488519785051
E-4 ||| C5 ||| 0.00563221627711
R ||| G5 ||| 0.00461990760185
R ||| F#5 ||| 0.00467289719626
R ||| R ||| 0.994459833795
R ||| A5 ||| 0.00233644859813
R ||| A4 ||| 0.000950570342205
R ||| E5 ||| 0.00146341463415
R ||| G#5 ||| 0.0162601626016
R ||| D5 ||| 0.000977039570103
