3
A4 BAR G4 E4 BAR ||| F4 ||| 0.499885027593
A4 BAR G4 E4 BAR ||| A4 ||| 0.499885027593
A4 BAR G4 E4 BAR ||| <UNK> ||| 4.99880028793e-06
BAR F4 A4 D5 ||| D5 ||| 0.499885027593
BAR F4 A4 D5 ||| C5 ||| 0.499885027593
BAR F4 A4 D5 ||| <UNK> ||| 4.99880028793e-06
B4 D5 BAR D5 ||| C5 ||| 0.999765056386
B4 D5 BAR D5 ||| <UNK> ||| 4.99880028793e-06
BAR D4 R C4 BAR ||| F4 ||| 0.999530225492
BAR D4 R C4 BAR ||| <UNK> ||| 9.99520230289e-06
B-3 A3 F3 BAR ||| B-3 ||| 0.999530225492
B-3 A3 F3 BAR ||| <UNK> ||| 9.99520230289e-06
F4 B3 C#4 ||| D4 ||| 0.999530225492
F4 B3 C#4 ||| <UNK> ||| 9.99520230289e-06
BAR R E4 F4 ||| E4 ||| 0.2499725033
BAR R E4 F4 ||| G4 ||| 0.749912510499
BAR R E4 F4 ||| <UNK> ||| 2.499700036e-06
BAR F4 C4 D4 ||| E4 ||| 0.999530225492
BAR F4 C4 D4 ||| <UNK> ||| 9.99520230289e-06
G4 G4 B-4 BAR ||| A4 ||| 0.999765056386
G4 G4 B-4 BAR ||| <UNK> ||| 4.99880028793e-06
BAR E4 BAR C5 A4 BAR ||| G4 ||| 0.999765056386
BAR E4 BAR C5 A4 BAR ||| <UNK> ||| 4.99880028793e-06
D4 BAR D4 C#4 BAR ||| A3 ||| 0.999530225492
D4 BAR D4 C#4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR C4 G4 F4 ||| <UNK> ||| 1.11105185501e-06
BAR C4 G4 F4 ||| E4 ||| 0.666632224059
BAR C4 G4 F4 ||| G4 ||| 0.222211482054
BAR C4 G4 F4 ||| E-4 ||| 0.111106296553
BAR A4 BAR E4 A4 ||| G4 ||| 0.499885027593
BAR A4 BAR E4 A4 ||| A4 ||| 0.499885027593
BAR A4 BAR E4 A4 ||| <UNK> ||| 4.99880028793e-06
F4 C4 D4 ||| E4 ||| 0.999530225492
F4 C4 D4 ||| <UNK> ||| 9.99520230289e-06
D4 G3 C4 ||| B-3 ||| 0.199982801651
D4 G3 C4 ||| A3 ||| 0.199982801651
D4 G3 C4 ||| <UNK> ||| 1.99980801843e-06
D4 G3 C4 ||| B3 ||| 0.599944405337
BAR E4 BAR A4 G4 ||| G4 ||| 0.499942506899
BAR E4 BAR A4 G4 ||| F4 ||| 0.499942506899
BAR E4 BAR A4 G4 ||| <UNK> ||| 2.499700036e-06
BAR A3 BAR C4 B3 ||| A3 ||| 0.999530225492
BAR A3 BAR C4 B3 ||| <UNK> ||| 9.99520230289e-06
C#4 A3 D4 ||| C#4 ||| 0.999530225492
C#4 A3 D4 ||| <UNK> ||| 9.99520230289e-06
A3 BAR B3 B3 BAR ||| <UNK> ||| 4.99880028793e-06
A3 BAR B3 B3 BAR ||| B3 ||| 0.499885027593
A3 BAR B3 B3 BAR ||| C4 ||| 0.499885027593
G3 G3 BAR F#3 ||| F#3 ||| 0.999530225492
G3 G3 BAR F#3 ||| <UNK> ||| 9.99520230289e-06
C4 BAR F3 G3 ||| E3 ||| 0.999530225492
C4 BAR F3 G3 ||| <UNK> ||| 9.99520230289e-06
E4 A4 G#4 BAR ||| E4 ||| 0.499885027593
E4 A4 G#4 BAR ||| F#4 ||| 0.499885027593
E4 A4 G#4 BAR ||| <UNK> ||| 4.99880028793e-06
BAR F4 B3 D4 ||| <UNK> ||| 4.99880028793e-06
BAR F4 B3 D4 ||| C4 ||| 0.999765056386
BAR C4 B3 BAR A3 ||| <UNK> ||| 9.99520230289e-06
BAR C4 B3 BAR A3 ||| B3 ||| 0.999530225492
G4 E4 C4 BAR ||| <UNK> ||| 9.99520230289e-06
G4 E4 C4 BAR ||| B3 ||| 0.999530225492
F#4 BAR D4 BAR B4 ||| B4 ||| 0.999530225492
F#4 BAR D4 BAR B4 ||| <UNK> ||| 9.99520230289e-06
BAR G4 G4 B4 ||| B4 ||| 0.499885027593
BAR G4 G4 B4 ||| C5 ||| 0.499885027593
BAR G4 G4 B4 ||| <UNK> ||| 4.99880028793e-06
BAR E4 A4 D4 ||| E4 ||| 0.999765056386
BAR E4 A4 D4 ||| <UNK> ||| 4.99880028793e-06
BAR C4 BAR C4 D4 ||| E4 ||| 0.666615004133
BAR C4 BAR C4 D4 ||| G3 ||| 0.333308335333
BAR C4 BAR C4 D4 ||| <UNK> ||| 1.666533344e-06
D5 B4 D5 BAR ||| D5 ||| 0.499942506899
D5 B4 D5 BAR ||| C5 ||| 0.499942506899
D5 B4 D5 BAR ||| <UNK> ||| 2.499700036e-06
BAR G4 D4 BAR G4 ||| G4 ||| 0.999530225492
BAR G4 D4 BAR G4 ||| <UNK> ||| 9.99520230289e-06
BAR C4 B3 C4 ||| G4 ||| 0.0727268198387
BAR C4 B3 C4 ||| F4 ||| 0.0363635008276
BAR C4 B3 C4 ||| E4 ||| 0.163635117366
BAR C4 B3 C4 ||| B-3 ||| 0.0545451603331
BAR C4 B3 C4 ||| A3 ||| 0.0181818413221
BAR C4 B3 C4 ||| END ||| 0.0363635008276
BAR C4 B3 C4 ||| B3 ||| 0.199998436377
BAR C4 B3 C4 ||| G3 ||| 0.0181818413221
BAR C4 B3 C4 ||| D4 ||| 0.127271798355
BAR C4 B3 C4 ||| <UNK> ||| 1.81816595055e-07
BAR C4 B3 C4 ||| C4 ||| 0.272725074399
A3 E4 BAR C4 ||| D4 ||| 0.999530225492
A3 E4 BAR C4 ||| <UNK> ||| 9.99520230289e-06
BAR G4 F4 E-4 ||| D4 ||| 0.999530225492
BAR G4 F4 E-4 ||| <UNK> ||| 9.99520230289e-06
F#4 G4 D4 BAR ||| E4 ||| 0.499885027593
F#4 G4 D4 BAR ||| D4 ||| 0.499885027593
F#4 G4 D4 BAR ||| <UNK> ||| 4.99880028793e-06
