G#3 ||| B2 ||| 0.00260416666667
G#3 ||| E3 ||| 0.000547645125958
G#5 ||| F#4 ||| 0.0172413793103
G#5 ||| B4 ||| 0.125
G#5 ||| A4 ||| 0.0114285714286
G#5 ||| B3 ||| 0.00540540540541
G#5 ||| E4 ||| 0.0495750708215
G#5 ||| D4 ||| 0.00325732899023
G#5 ||| E3 ||| 0.00164293537788
G#5 ||| C4 ||| 0.000990099009901
G#4 ||| F2 ||| 0.0263157894737
G#4 ||| F3 ||| 0.0281690140845
G#4 ||| F4 ||| 0.0104529616725
G#4 ||| A3 ||| 0.00741525423729
G#4 ||| D3 ||| 0.0321324245375
G#4 ||| G#3 ||| 0.00536193029491
G#4 ||| A2 ||| 0.0137825421133
G#4 ||| B2 ||| 0.135416666667
G#4 ||| B3 ||| 0.100540540541
G#4 ||| C3 ||| 0.00938337801609
G#4 ||| E4 ||| 0.0467422096317
G#4 ||| D4 ||| 0.0342019543974
G#4 ||| C4 ||| 0.0108910891089
G#4 ||| D#3 ||| 0.0102040816327
G#4 ||| E3 ||| 0.270536692223
G#4 ||| E2 ||| 0.245283018868
G5 ||| F4 ||| 0.0278745644599
G5 ||| G4 ||| 0.195402298851
G5 ||| G3 ||| 0.014939309057
G5 ||| C#4 ||| 0.112676056338
G5 ||| B4 ||| 0.375
G5 ||| B-3 ||| 0.0454545454545
G5 ||| A3 ||| 0.00158898305085
G5 ||| F#4 ||| 0.0862068965517
G5 ||| A4 ||| 0.0228571428571
G5 ||| B3 ||| 0.0108108108108
G5 ||| E4 ||| 0.0665722379603
G5 ||| D4 ||| 0.0260586319218
G5 ||| C5 ||| 0.434782608696
G5 ||| C4 ||| 0.0336633663366
G4 ||| G4 ||| 0.0172413793103
G4 ||| G3 ||| 0.214752567694
G4 ||| G2 ||| 0.277777777778
G4 ||| B-2 ||| 0.1
G4 ||| B-3 ||| 0.0909090909091
G4 ||| A3 ||| 0.0227754237288
G4 ||| A2 ||| 0.0122511485452
G4 ||| C3 ||| 0.270777479893
G4 ||| C2 ||| 0.166666666667
G4 ||| D#3 ||| 0.0102040816327
G4 ||| E3 ||| 0.133625410734
G4 ||| E2 ||| 0.0377358490566
G4 ||| C#4 ||| 0.056338028169
G4 ||| C#3 ||| 0.227848101266
G4 ||| F#3 ||| 0.0524691358025
G4 ||| E-3 ||| 0.5
G4 ||| E4 ||| 0.00991501416431
G4 ||| F3 ||| 0.092091007584
G4 ||| F4 ||| 0.00696864111498
G4 ||| B2 ||| 0.106770833333
G4 ||| B3 ||| 0.140540540541
G4 ||| D4 ||| 0.0114006514658
G4 ||| C4 ||| 0.159405940594
G4 ||| D3 ||| 0.0778967867575
F#4 ||| F#3 ||| 0.0185185185185
F#4 ||| G3 ||| 0.00653594771242
F#4 ||| C#4 ||| 0.0140845070423
F#4 ||| A3 ||| 0.0222457627119
F#4 ||| C#3 ||| 0.0253164556962
F#4 ||| D3 ||| 0.0837390457644
F#4 ||| D4 ||| 0.0228013029316
F#4 ||| G#3 ||| 0.00536193029491
F#4 ||| A2 ||| 0.0275650842266
F#4 ||| B2 ||| 0.046875
F#4 ||| B3 ||| 0.0302702702703
F#4 ||| C3 ||| 0.014745308311
F#4 ||| E4 ||| 0.00849858356941
F#4 ||| D#4 ||| 0.0166666666667
F#4 ||| C4 ||| 0.0188118811881
F#4 ||| D#3 ||| 0.571428571429
F#4 ||| E3 ||| 0.0158817086528
F#4 ||| E2 ||| 0.0188679245283
F#5 ||| F#4 ||| 0.0172413793103
F#5 ||| G4 ||| 0.00574712643678
F#5 ||| G3 ||| 0.00280112044818
F#5 ||| D4 ||| 0.0439739413681
F#5 ||| A3 ||| 0.00900423728814
F#5 ||| F#3 ||| 0.00617283950617
F#5 ||| A4 ||| 0.0171428571429
F#5 ||| B3 ||| 0.00324324324324
F#5 ||| E4 ||| 0.0212464589235
F#5 ||| D#4 ||| 0.416666666667
F#5 ||| D#3 ||| 0.0612244897959
F#5 ||| C4 ||| 0.00594059405941
B-3 ||| C3 ||| 0.00134048257373
B-3 ||| G3 ||| 0.00093370681606
B-3 ||| D3 ||| 0.000973709834469
B-3 ||| E3 ||| 0.000547645125958
A3 ||| F2 ||| 0.131578947368
A3 ||| F#3 ||| 0.00617283950617
A3 ||| G2 ||| 0.0185185185185
A3 ||| F3 ||| 0.0130010834236
A3 ||| C#3 ||| 0.0506329113924
A3 ||| A2 ||| 0.00918836140888
A3 ||| C3 ||| 0.00402144772118
A3 ||| D2 ||| 0.125
A3 ||| D3 ||| 0.0185004868549
A3 ||| E3 ||| 0.000547645125958
A5 ||| F#4 ||| 0.206896551724
A5 ||| G4 ||| 0.0632183908046
A5 ||| G3 ||| 0.00093370681606
A5 ||| F4 ||| 0.101045296167
A5 ||| F3 ||| 0.0032502708559
A5 ||| B4 ||| 0.03125
A5 ||| A3 ||| 0.00794491525424
A5 ||| F#3 ||| 0.00617283950617
A5 ||| A4 ||| 0.154285714286
A5 ||| B3 ||| 0.00324324324324
A5 ||| E4 ||| 0.0155807365439
A5 ||| D#4 ||| 0.0333333333333
A5 ||| D4 ||| 0.0244299674267
A5 ||| C5 ||| 0.173913043478
A5 ||| C4 ||| 0.0039603960396
A4 ||| G#3 ||| 0.0107238605898
A4 ||| G#2 ||| 0.0217391304348
A4 ||| F#2 ||| 0.428571428571
A4 ||| G4 ||| 0.0229885057471
A4 ||| G3 ||| 0.119514472456
A4 ||| G2 ||| 0.0185185185185
A4 ||| B-2 ||| 0.1
A4 ||| B-3 ||| 0.0454545454545
A4 ||| A3 ||| 0.260063559322
A4 ||| A2 ||| 0.18989280245
A4 ||| A4 ||| 0.0114285714286
A4 ||| C3 ||| 0.127345844504
A4 ||| E4 ||| 0.0623229461756
A4 ||| D#4 ||| 0.116666666667
A4 ||| D#3 ||| 0.275510204082
A4 ||| E3 ||| 0.119386637459
A4 ||| E2 ||| 0.0377358490566
A4 ||| C#4 ||| 0.253521126761
A4 ||| C#3 ||| 0.113924050633
A4 ||| R ||| 0.019801980198
A4 ||| F#4 ||| 0.0344827586207
A4 ||| F2 ||| 0.184210526316
A4 ||| F3 ||| 0.395449620802
A4 ||| F4 ||| 0.104529616725
A4 ||| F#3 ||| 0.429012345679
A4 ||| B2 ||| 0.145833333333
A4 ||| B3 ||| 0.125405405405
A4 ||| D4 ||| 0.14983713355
A4 ||| C4 ||| 0.162376237624
A4 ||| D2 ||| 0.125
A4 ||| D3 ||| 0.266796494645
B-4 ||| G3 ||| 0.00840336134454
B-4 ||| C#4 ||| 0.0422535211268
B-4 ||| C#3 ||| 0.0126582278481
B-4 ||| B-3 ||| 0.0454545454545
B-4 ||| A3 ||| 0.000529661016949
B-4 ||| C3 ||| 0.00670241286863
B-4 ||| D3 ||| 0.00292112950341
B-4 ||| E3 ||| 0.00273822562979
B-4 ||| C4 ||| 0.00594059405941
E5 ||| G#3 ||| 0.0697050938338
E5 ||| G#4 ||| 0.645161290323
E5 ||| G4 ||| 0.258620689655
E5 ||| F#4 ||| 0.137931034483
E5 ||| A3 ||| 0.0799788135593
E5 ||| A2 ||| 0.00612557427259
