G#3 ||| B4 ||| 0.000623830318153
G#3 ||| D4 ||| 0.0192307692308
G#5 ||| D6 ||| 0.0534759358289
G#5 ||| B5 ||| 0.055652173913
G#5 ||| E6 ||| 0.0744680851064
G#5 ||| A5 ||| 0.00259403372244
G#5 ||| C6 ||| 0.00665188470067
G#4 ||| D5 ||| 0.0735849056604
G#4 ||| F5 ||| 0.0126262626263
G#4 ||| B4 ||| 0.31066749844
G#4 ||| A4 ||| 0.0205580029369
G#4 ||| E5 ||| 0.065
G#4 ||| D#5 ||| 0.0540540540541
G#4 ||| C5 ||| 0.0248033877798
G5 ||| G5 ||| 0.0036563071298
G5 ||| D5 ||| 0.00062893081761
G5 ||| F6 ||| 0.2
G5 ||| C#6 ||| 0.5
G5 ||| B5 ||| 0.0747826086957
G5 ||| A5 ||| 0.0129701686122
G5 ||| D6 ||| 0.219251336898
G5 ||| E6 ||| 0.372340425532
G5 ||| C6 ||| 0.117516629712
G4 ||| G5 ||| 0.0767824497258
G4 ||| G4 ||| 0.0412087912088
G4 ||| F#5 ||| 0.0161812297735
G4 ||| C#5 ||| 0.2
G4 ||| B4 ||| 0.12850904554
G4 ||| B5 ||| 0.00173913043478
G4 ||| A5 ||| 0.00129701686122
G4 ||| A4 ||| 0.0580029368576
G4 ||| B-5 ||| 1.0
G4 ||| E5 ||| 0.154444444444
G4 ||| E4 ||| 0.012
G4 ||| D5 ||| 0.147798742138
G4 ||| C5 ||| 0.160314579552
G4 ||| F5 ||| 0.0479797979798
F#4 ||| G5 ||| 0.0036563071298
F#4 ||| G4 ||| 0.021978021978
F#4 ||| F#4 ||| 0.0588235294118
F#4 ||| F#5 ||| 0.0226537216828
F#4 ||| D5 ||| 0.0276729559748
F#4 ||| B4 ||| 0.0442919525889
F#4 ||| A5 ||| 0.00518806744488
F#4 ||| G#4 ||| 0.0147058823529
F#4 ||| E5 ||| 0.00888888888889
F#4 ||| D#5 ||| 0.0810810810811
F#4 ||| C5 ||| 0.0375075620085
F#4 ||| A4 ||| 0.0903083700441
F#5 ||| G5 ||| 0.0127970749543
F#5 ||| F#5 ||| 0.00323624595469
F#5 ||| B5 ||| 0.0226086956522
F#5 ||| A5 ||| 0.0622568093385
F#5 ||| D6 ||| 0.0588235294118
F#5 ||| E6 ||| 0.0531914893617
F#5 ||| C6 ||| 0.0443458980044
B-3 ||| C#4 ||| 0.333333333333
B-3 ||| D4 ||| 0.0192307692308
B-3 ||| G4 ||| 0.00549450549451
A3 ||| G4 ||| 0.00824175824176
A3 ||| F4 ||| 0.0613496932515
A3 ||| F5 ||| 0.00252525252525
A3 ||| C#4 ||| 0.333333333333
A3 ||| A4 ||| 0.011013215859
A3 ||| E4 ||| 0.02
A3 ||| D4 ||| 0.346153846154
A3 ||| C5 ||| 0.00120992135511
A3 ||| C4 ||| 0.125
A5 ||| F6 ||| 0.5
A5 ||| B5 ||| 0.0260869565217
A5 ||| A5 ||| 0.0064850843061
A5 ||| D6 ||| 0.144385026738
A5 ||| E6 ||| 0.202127659574
A5 ||| C6 ||| 0.119733924612
A4 ||| G5 ||| 0.0054844606947
A4 ||| D5 ||| 0.279245283019
A4 ||| F#5 ||| 0.200647249191
A4 ||| C#5 ||| 0.533333333333
A4 ||| B4 ||| 0.191515907673
A4 ||| B5 ||| 0.00173913043478
A4 ||| A5 ||| 0.0596627756161
A4 ||| A4 ||| 0.108663729809
A4 ||| E5 ||| 0.152222222222
A4 ||| G#5 ||| 0.0078125
A4 ||| D#5 ||| 0.135135135135
A4 ||| C6 ||| 0.00221729490022
A4 ||| C5 ||| 0.442226255293
A4 ||| F5 ||| 0.219696969697
B-4 ||| E5 ||| 0.0111111111111
B-4 ||| G5 ||| 0.0109689213894
B-4 ||| D5 ||| 0.00251572327044
B-4 ||| F5 ||| 0.00505050505051
