G#3 ||| E4 ||| 0.000408496732026
G#3 ||| E3 ||| 0.013698630137
G#5 ||| F5 ||| 0.0357142857143
G#5 ||| C#5 ||| 0.0588235294118
G#5 ||| B4 ||| 0.0314232902033
G#5 ||| E5 ||| 0.181818181818
G#5 ||| D5 ||| 0.101063829787
G#5 ||| C5 ||| 0.00992555831266
G#4 ||| F4 ||| 0.0399467376831
G#4 ||| C#4 ||| 0.00606060606061
G#4 ||| D3 ||| 0.111111111111
G#4 ||| B4 ||| 0.0110905730129
G#4 ||| A3 ||| 0.00490677134446
G#4 ||| A4 ||| 0.000823723228995
G#4 ||| B3 ||| 0.13548951049
G#4 ||| E4 ||| 0.18341503268
G#4 ||| D#4 ||| 0.00943396226415
G#4 ||| D4 ||| 0.207168894289
G#4 ||| E3 ||| 0.0684931506849
G#4 ||| C4 ||| 0.0116350275566
G5 ||| G4 ||| 0.0107623318386
G5 ||| F5 ||| 0.107142857143
G5 ||| B4 ||| 0.0554528650647
G5 ||| A4 ||| 0.0131795716639
G5 ||| B-4 ||| 0.0769230769231
G5 ||| E5 ||| 0.322314049587
G5 ||| E4 ||| 0.000408496732026
G5 ||| D4 ||| 0.000607533414338
G5 ||| D5 ||| 0.234042553191
G5 ||| C5 ||| 0.116625310174
G4 ||| F4 ||| 0.0306258322237
G4 ||| G4 ||| 0.0170403587444
G4 ||| G3 ||| 0.0825082508251
G4 ||| E-4 ||| 0.222222222222
G4 ||| C#4 ||| 0.115151515152
G4 ||| D3 ||| 0.0555555555556
G4 ||| B4 ||| 0.0129390018484
G4 ||| B-3 ||| 0.28
G4 ||| A3 ||| 0.0520117762512
G4 ||| A4 ||| 0.00164744645799
G4 ||| B3 ||| 0.127622377622
G4 ||| E4 ||| 0.138888888889
G4 ||| D#4 ||| 0.0471698113208
G4 ||| D4 ||| 0.205346294046
G4 ||| C5 ||| 0.029776674938
G4 ||| C4 ||| 0.164115125536
F#4 ||| F#3 ||| 0.0952380952381
F#4 ||| F#4 ||| 0.0230769230769
F#4 ||| B4 ||| 0.00369685767098
F#4 ||| A3 ||| 0.0559371933268
F#4 ||| G3 ||| 0.003300330033
F#4 ||| A4 ||| 0.00329489291598
F#4 ||| B3 ||| 0.0480769230769
F#4 ||| E4 ||| 0.0077614379085
F#4 ||| D#4 ||| 0.11320754717
F#4 ||| D4 ||| 0.0716889428919
F#4 ||| C4 ||| 0.0508266993264
F#5 ||| G4 ||| 0.000896860986547
F#5 ||| F#4 ||| 0.0384615384615
F#5 ||| B4 ||| 0.0480591497227
F#5 ||| A4 ||| 0.0222405271829
F#5 ||| E5 ||| 0.0330578512397
F#5 ||| E4 ||| 0.00122549019608
F#5 ||| D#4 ||| 0.0283018867925
F#5 ||| D5 ||| 0.0904255319149
F#5 ||| C5 ||| 0.0868486352357
B-3 ||| E4 ||| 0.000408496732026
B-3 ||| G3 ||| 0.00990099009901
A3 ||| F3 ||| 0.290322580645
A3 ||| F4 ||| 0.00133155792277
A3 ||| A3 ||| 0.00686947988224
A3 ||| E4 ||| 0.00204248366013
A3 ||| D4 ||| 0.0121506682868
A3 ||| C4 ||| 0.00183710961421
A3 ||| D3 ||| 0.111111111111
A3 ||| E3 ||| 0.0958904109589
A3 ||| G3 ||| 0.00990099009901
A5 ||| D5 ||| 0.0691489361702
A5 ||| F#4 ||| 0.0153846153846
A5 ||| F5 ||| 0.607142857143
A5 ||| F4 ||| 0.00133155792277
A5 ||| B4 ||| 0.0129390018484
A5 ||| G#4 ||| 0.00340136054422
A5 ||| E5 ||| 0.280991735537
A5 ||| E4 ||| 0.00204248366013
A5 ||| D#5 ||| 1.0
A5 ||| C5 ||| 0.0794044665012
A5 ||| A4 ||| 0.0148270181219
A4 ||| G#3 ||| 0.0093896713615
A4 ||| G#4 ||| 0.00340136054422
A4 ||| G4 ||| 0.0269058295964
A4 ||| F#4 ||| 0.276923076923
A4 ||| A3 ||| 0.113837095191
A4 ||| A4 ||| 0.0362438220758
A4 ||| E4 ||| 0.342320261438
A4 ||| D#4 ||| 0.339622641509
A4 ||| E3 ||| 0.0958904109589
A4 ||| C4 ||| 0.228413962033
A4 ||| C#4 ||| 0.169696969697
A4 ||| E-4 ||| 0.555555555556
A4 ||| R ||| 0.020618556701
A4 ||| F3 ||| 0.0322580645161
A4 ||| F4 ||| 0.460719041278
A4 ||| B4 ||| 0.0110905730129
A4 ||| C5 ||| 0.0322580645161
A4 ||| F#3 ||| 0.047619047619
A4 ||| B3 ||| 0.0611888111888
A4 ||| D4 ||| 0.185297691373
A4 ||| D5 ||| 0.0372340425532
A4 ||| D3 ||| 0.0555555555556
B-4 ||| G4 ||| 0.0107623318386
B-4 ||| F4 ||| 0.00399467376831
B-4 ||| C#4 ||| 0.0121212121212
B-4 ||| E4 ||| 0.00204248366013
B-4 ||| D4 ||| 0.00364520048603
B-4 ||| C4 ||| 0.000612369871402
B-4 ||| G3 ||| 0.00660066006601
E5 ||| G4 ||| 0.0968609865471
E5 ||| F#4 ||| 0.05
E5 ||| C#5 ||| 0.882352941176
E5 ||| F4 ||| 0.00532623169108
E5 ||| D5 ||| 0.0797872340426
E5 ||| B4 ||| 0.436229205176
E5 ||| A3 ||| 0.00588812561335
E5 ||| R ||| 0.0309278350515
E5 ||| G#4 ||| 0.326530612245
E5 ||| B-4 ||| 0.5
E5 ||| B3 ||| 0.00437062937063
E5 ||| E5 ||| 0.0330578512397
E5 ||| E4 ||| 0.016339869281
E5 ||| D4 ||| 0.000607533414338
E5 ||| C4 ||| 0.00489895897122
E5 ||| C5 ||| 0.471464019851
E5 ||| A4 ||| 0.234761120264
E4 ||| E3 ||| 0.0821917808219
E4 ||| G4 ||| 0.00448430493274
E4 ||| F#4 ||| 0.00384615384615
E4 ||| C#4 ||| 0.678787878788
E4 ||| F3 ||| 0.0322580645161
E4 ||| A3 ||| 0.298331697743
E4 ||| B4 ||| 0.00554528650647
E4 ||| B-3 ||| 0.38
E4 ||| G#3 ||| 0.49765258216
E4 ||| F#3 ||| 0.190476190476
E4 ||| G3 ||| 0.234323432343
E4 ||| G#4 ||| 0.0136054421769
E4 ||| B-4 ||| 0.0384615384615
E4 ||| B3 ||| 0.304195804196
E4 ||| C3 ||| 1.0
E4 ||| E4 ||| 0.0208333333333
E4 ||| D4 ||| 0.0704738760632
E4 ||| C4 ||| 0.395590936926
E4 ||| C5 ||| 0.00248138957816
E4 ||| A4 ||| 0.00988467874794
D#4 ||| B3 ||| 0.0113636363636
D#4 ||| A3 ||| 0.0127576054956
D#4 ||| F#3 ||| 0.190476190476
D#4 ||| F#4 ||| 0.00384615384615
D#4 ||| C4 ||| 0.00244947948561
D#5 ||| G4 ||| 0.000896860986547
D#5 ||| F#4 ||| 0.0423076923077
D#5 ||| B4 ||| 0.0683918669131
D#5 ||| A3 ||| 0.00196270853778
D#5 ||| A4 ||| 0.0345963756178
D#5 ||| C5 ||| 0.00992555831266
C6 ||| E5 ||| 0.0247933884298
C6 ||| G4 ||| 0.00179372197309
C6 ||| A4 ||| 0.000823723228995
C6 ||| C5 ||| 0.00496277915633
C5 ||| G4 ||| 0.358744394619
C5 ||| F#4 ||| 0.0884615384615
C5 ||| F4 ||| 0.0945406125166
C5 ||| A3 ||| 0.0157016683023
C5 ||| D5 ||| 0.00531914893617
C5 ||| B4 ||| 0.0110905730129
C5 ||| E-4 ||| 0.222222222222
C5 ||| G#3 ||| 0.0093896713615
C5 ||| G3 ||| 0.016501650165
C5 ||| A4 ||| 0.342668863262
C5 ||| B3 ||| 0.0034965034965
C5 ||| E5 ||| 0.0165289256198
C5 ||| E4 ||| 0.0837418300654
C5 ||| D#4 ||| 0.0660377358491
C5 ||| C4 ||| 0.0238824249847
C5 ||| D4 ||| 0.0145808019441
C5 ||| C5 ||| 0.00248138957816
C5 ||| G#4 ||| 0.0340136054422
C4 ||| G4 ||| 0.00269058295964
C4 ||| G3 ||| 0.211221122112
C4 ||| F4 ||| 0.00133155792277
C4 ||| F3 ||| 0.129032258065
C4 ||| A3 ||| 0.127576054956
C4 ||| B-3 ||| 0.08
C4 ||| G#3 ||| 0.0281690140845
C4 ||| F#3 ||| 0.0952380952381
C4 ||| A4 ||| 0.00164744645799
C4 ||| B3 ||| 0.00786713286713
C4 ||| E4 ||| 0.00408496732026
C4 ||| D3 ||| 0.0555555555556
C4 ||| E3 ||| 0.109589041096
C4 ||| C4 ||| 0.00857317819963
C#5 ||| G4 ||| 0.0125560538117
C#5 ||| F#4 ||| 0.0115384615385
C#5 ||| C#5 ||| 0.0588235294118
C#5 ||| B4 ||| 0.00184842883549
C#5 ||| A4 ||| 0.0222405271829
C#5 ||| B-4 ||| 0.0384615384615
C#5 ||| E5 ||| 0.00826446280992
C#5 ||| E4 ||| 0.015931372549
C#5 ||| D4 ||| 0.000607533414338
C#5 ||| G3 ||| 0.003300330033
C#4 ||| B-3 ||| 0.04
C#4 ||| A3 ||| 0.0323846908734
C#4 ||| F3 ||| 0.0161290322581
C#4 ||| G3 ||| 0.026402640264
C#4 ||| E3 ||| 0.232876712329
E-5 ||| C5 ||| 0.00496277915633
E-4 ||| C4 ||| 0.0012247397428
R ||| A3 ||| 0.000981354268891
R ||| R ||| 0.907216494845
R ||| D4 ||| 0.000607533414338
A#4 ||| C#4 ||| 0.00606060606061
A#4 ||| F#4 ||| 0.00384615384615
A#4 ||| C4 ||| 0.000612369871402
G3 ||| C#4 ||| 0.00606060606061
G3 ||| F3 ||| 0.0161290322581
G3 ||| G3 ||| 0.003300330033
G3 ||| D3 ||| 0.0555555555556
G3 ||| E3 ||| 0.13698630137
F3 ||| A3 ||| 0.000981354268891
F4 ||| F4 ||| 0.00665778961385
F4 ||| G4 ||| 0.000896860986547
F4 ||| G3 ||| 0.036303630363
F4 ||| C#4 ||| 0.00606060606061
F4 ||| A3 ||| 0.090284592738
F4 ||| D3 ||| 0.111111111111
F4 ||| B-3 ||| 0.04
F4 ||| G#3 ||| 0.0422535211268
F4 ||| F3 ||| 0.0645161290323
F4 ||| A4 ||| 0.00494233937397
F4 ||| B3 ||| 0.0716783216783
F4 ||| E4 ||| 0.00122549019608
F4 ||| A-3 ||| 1.0
F4 ||| D4 ||| 0.120899149453
F4 ||| C4 ||| 0.0808328230251
F5 ||| G4 ||| 0.0107623318386
F5 ||| F4 ||| 0.0133155792277
F5 ||| F5 ||| 0.0714285714286
F5 ||| D5 ||| 0.292553191489
F5 ||| B4 ||| 0.0499075785582
F5 ||| A3 ||| 0.00392541707556
F5 ||| R ||| 0.020618556701
F5 ||| G#4 ||| 0.0272108843537
F5 ||| E4 ||| 0.00122549019608
F5 ||| D4 ||| 0.000607533414338
F5 ||| C4 ||| 0.000612369871402
F5 ||| C5 ||| 0.109181141439
F5 ||| A4 ||| 0.0576606260297
A-4 ||| B3 ||| 0.000874125874126
B4 ||| E3 ||| 0.013698630137
B4 ||| G4 ||| 0.264573991031
B4 ||| F#4 ||| 0.3
B4 ||| F4 ||| 0.274300932091
B4 ||| A3 ||| 0.0117762512267
B4 ||| D5 ||| 0.0372340425532
B4 ||| B4 ||| 0.0240295748614
B4 ||| G#3 ||| 0.0234741784038
B4 ||| A4 ||| 0.0411861614498
B4 ||| B3 ||| 0.0437062937063
B4 ||| E5 ||| 0.0247933884298
B4 ||| E4 ||| 0.150735294118
B4 ||| D#4 ||| 0.396226415094
B4 ||| C4 ||| 0.00918554807103
B4 ||| D4 ||| 0.0741190765492
B4 ||| C5 ||| 0.00744416873449
B4 ||| G#4 ||| 0.302721088435
B5 ||| F4 ||| 0.00133155792277
B5 ||| F5 ||| 0.178571428571
B5 ||| B4 ||| 0.0129390018484
B5 ||| G#4 ||| 0.00340136054422
B5 ||| E5 ||| 0.0661157024793
B5 ||| D5 ||| 0.00531914893617
B5 ||| C5 ||| 0.00992555831266
B3 ||| F#3 ||| 0.0952380952381
B3 ||| G3 ||| 0.105610561056
B3 ||| A3 ||| 0.0107948969578
B3 ||| G#3 ||| 0.220657276995
B3 ||| F3 ||| 0.145161290323
B3 ||| B3 ||| 0.00262237762238
B3 ||| E4 ||| 0.0016339869281
B3 ||| D4 ||| 0.00243013365735
B3 ||| E3 ||| 0.0547945205479
B3 ||| C4 ||| 0.000612369871402
D4 ||| G4 ||| 0.00807174887892
D4 ||| F#4 ||| 0.00769230769231
D4 ||| F4 ||| 0.00665778961385
D4 ||| F3 ||| 0.274193548387
D4 ||| A3 ||| 0.145240431796
D4 ||| B-3 ||| 0.16
D4 ||| G#3 ||| 0.169014084507
D4 ||| F#3 ||| 0.285714285714
D4 ||| G3 ||| 0.237623762376
D4 ||| G#4 ||| 0.00680272108844
D4 ||| B3 ||| 0.162587412587
D4 ||| E4 ||| 0.00367647058824
D4 ||| D4 ||| 0.0121506682868
D4 ||| C4 ||| 0.0116350275566
D4 ||| D3 ||| 0.444444444444
D4 ||| E3 ||| 0.0958904109589
D4 ||| A4 ||| 0.00164744645799
D5 ||| G4 ||| 0.17130044843
D5 ||| F#4 ||| 0.134615384615
D5 ||| F4 ||| 0.0585885486019
D5 ||| D5 ||| 0.0478723404255
D5 ||| B4 ||| 0.203327171904
D5 ||| B-3 ||| 0.02
D5 ||| A3 ||| 0.00785083415113
D5 ||| R ||| 0.020618556701
D5 ||| G3 ||| 0.013201320132
D5 ||| G#4 ||| 0.278911564626
D5 ||| B-4 ||| 0.346153846154
D5 ||| B3 ||| 0.0148601398601
D5 ||| E5 ||| 0.00826446280992
D5 ||| E4 ||| 0.0196078431373
D5 ||| D4 ||| 0.0170109356015
D5 ||| C4 ||| 0.00244947948561
D5 ||| C5 ||| 0.0223325062035
D5 ||| A4 ||| 0.15568369028
