3
B4 D5 BAR D5 ||| D5 ||| 0.2499725033
B4 D5 BAR D5 ||| C5 ||| 0.749912510499
B4 D5 BAR D5 ||| <UNK> ||| 2.499700036e-06
B3 R G4 BAR ||| A4 ||| 0.999530225492
B3 R G4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR E4 E4 E4 BAR ||| B4 ||| 0.2499725033
BAR E4 E4 E4 BAR ||| E4 ||| 0.499942506899
BAR E4 E4 E4 BAR ||| F#4 ||| 0.2499725033
BAR E4 E4 E4 BAR ||| <UNK> ||| 2.499700036e-06
BAR E4 BAR G#4 A4 BAR ||| A4 ||| 0.999530225492
BAR E4 BAR G#4 A4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR R G#4 E4 ||| A4 ||| 0.999530225492
BAR R G#4 E4 ||| <UNK> ||| 9.99520230289e-06
E5 F#5 G5 BAR ||| G5 ||| 0.999765056386
E5 F#5 G5 BAR ||| <UNK> ||| 4.99880028793e-06
BAR E4 BAR A4 G4 ||| F4 ||| 0.999765056386
BAR E4 BAR A4 G4 ||| <UNK> ||| 4.99880028793e-06
G4 BAR B4 A4 ||| G#4 ||| 0.999530225492
G4 BAR B4 A4 ||| <UNK> ||| 9.99520230289e-06
BAR G#4 R G4 BAR ||| G4 ||| 0.999530225492
BAR G#4 R G4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR B4 A4 BAR G4 ||| C5 ||| 0.999530225492
BAR B4 A4 BAR G4 ||| <UNK> ||| 9.99520230289e-06
C5 F5 BAR E5 ||| E5 ||| 0.999530225492
C5 F5 BAR E5 ||| <UNK> ||| 9.99520230289e-06
F#4 BAR D4 BAR B4 ||| A4 ||| 0.999530225492
F#4 BAR D4 BAR B4 ||| <UNK> ||| 9.99520230289e-06
G#4 A4 E4 BAR ||| E4 ||| 0.333283341332
G#4 A4 E4 BAR ||| R ||| 0.333283341332
G#4 A4 E4 BAR ||| A4 ||| 0.333283341332
G#4 A4 E4 BAR ||| <UNK> ||| 3.33280008532e-06
A4 E5 BAR E5 ||| <UNK> ||| 3.33280008532e-06
A4 E5 BAR E5 ||| D#5 ||| 0.666563349864
A4 E5 BAR E5 ||| D5 ||| 0.333283341332
A4 A4 D4 ||| E4 ||| 0.999530225492
A4 A4 D4 ||| <UNK> ||| 9.99520230289e-06
BAR C4 B3 C4 ||| E4 ||| 0.999765056386
BAR C4 B3 C4 ||| <UNK> ||| 4.99880028793e-06
BAR G4 E4 E4 ||| D4 ||| 0.499885027593
BAR G4 E4 E4 ||| G4 ||| 0.499885027593
BAR G4 E4 E4 ||| <UNK> ||| 4.99880028793e-06
BAR E4 BAR E4 E4 ||| E4 ||| 0.714238166526
BAR E4 BAR E4 E4 ||| D#4 ||| 0.142848776084
BAR E4 BAR E4 E4 ||| A4 ||| 0.142848776084
BAR E4 BAR E4 E4 ||| <UNK> ||| 1.4284734761e-06
BAR G3 R G3 BAR ||| <UNK> ||| 9.99520230289e-06
BAR G3 R G3 BAR ||| C4 ||| 0.999530225492
G4 BAR G4 C5 ||| B4 ||| 0.4999808341
G4 BAR G4 C5 ||| E5 ||| 0.0833308334333
G4 BAR G4 C5 ||| A4 ||| 0.0833308334333
G4 BAR G4 C5 ||| C5 ||| 0.333320833833
G4 BAR G4 C5 ||| <UNK> ||| 8.33300001333e-07
BAR C5 C6 B5 ||| A5 ||| 0.999530225492
BAR C5 C6 B5 ||| <UNK> ||| 9.99520230289e-06
BAR E5 D5 BAR C5 ||| D5 ||| 0.999530225492
BAR E5 D5 BAR C5 ||| <UNK> ||| 9.99520230289e-06
BAR B3 C4 BAR A4 ||| A4 ||| 0.999530225492
BAR B3 C4 BAR A4 ||| <UNK> ||| 9.99520230289e-06
C#5 A5 BAR A5 ||| G#5 ||| 0.999530225492
C#5 A5 BAR A5 ||| <UNK> ||| 9.99520230289e-06
D5 C5 BAR F5 ||| E5 ||| 0.999530225492
D5 C5 BAR F5 ||| <UNK> ||| 9.99520230289e-06
B4 BAR G4 BAR B4 ||| C5 ||| 0.999530225492
B4 BAR G4 BAR B4 ||| <UNK> ||| 9.99520230289e-06
A3 G3 G3 ||| G#3 ||| 0.999530225492
A3 G3 G3 ||| <UNK> ||| 9.99520230289e-06
BAR A4 G#4 A4 BAR ||| D4 ||| 0.0909060331913
BAR A4 G#4 A4 BAR ||| <UNK> ||| 9.090512414e-07
BAR A4 G#4 A4 BAR ||| A4 ||| 0.727241902172
BAR A4 G#4 A4 BAR ||| G#4 ||| 0.181811157331
D4 BAR D4 C#4 BAR ||| D4 ||| 0.999530225492
D4 BAR D4 C#4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR E4 BAR A4 G#4 ||| A4 ||| 0.999843358396
BAR E4 BAR A4 G#4 ||| <UNK> ||| 3.33280008532e-06
E-5 E-5 BAR D5 ||| C#5 ||| 0.999530225492
E-5 E-5 BAR D5 ||| <UNK> ||| 9.99520230289e-06
A4 B4 BAR C5 ||| G4 ||| 0.0799988640218
A4 B4 BAR C5 ||| END ||| 0.0399996320071
A4 B4 BAR C5 ||| B4 ||| 0.479991184169
A4 B4 BAR C5 ||| G#4 ||| 0.0399996320071
A4 B4 BAR C5 ||| D5 ||| 0.119998096037
A4 B4 BAR C5 ||| C5 ||| 0.239995792081
A4 B4 BAR C5 ||| <UNK> ||| 3.99992320147e-07
BAR C#5 BAR D5 ||| D5 ||| 0.999530225492
BAR C#5 BAR D5 ||| <UNK> ||| 9.99520230289e-06
B3 BAR E4 D4 ||| E4 ||| 0.999765056386
B3 BAR E4 D4 ||| <UNK> ||| 4.99880028793e-06
D5 D5 E5 BAR ||| E5 ||| 0.749912510499
D5 D5 E5 BAR ||| D5 ||| 0.2499725033
D5 D5 E5 BAR ||| <UNK> ||| 2.499700036e-06
BAR E5 B4 E5 ||| D5 ||| 0.999530225492
BAR E5 B4 E5 ||| <UNK> ||| 9.99520230289e-06
B3 E4 BAR E4 ||| F4 ||| 0.499961669733
B3 E4 BAR E4 ||| A4 ||| 0.499961669733
B3 E4 BAR E4 ||| <UNK> ||| 1.666533344e-06
B4 BAR G4 R ||| G4 ||| 0.333283341332
B4 BAR G4 R ||| A4 ||| 0.333283341332
B4 BAR G4 R ||| C5 ||| 0.333283341332
B4 BAR G4 R ||| <UNK> ||| 3.33280008532e-06
E5 G5 BAR G5 ||| G5 ||| 0.999530225492
E5 G5 BAR G5 ||| <UNK> ||| 9.99520230289e-06
E4 F#4 F4 ||| E4 ||| 0.999530225492
E4 F#4 F4 ||| <UNK> ||| 9.99520230289e-06
C4 C4 C4 BAR ||| <UNK> ||| 9.99520230289e-06
C4 C4 C4 BAR ||| C4 ||| 0.999530225492
BAR F#4 E4 F#4 ||| E4 ||| 0.499885027593
BAR F#4 E4 F#4 ||| G#4 ||| 0.499885027593
BAR F#4 E4 F#4 ||| <UNK> ||| 4.99880028793e-06
F4 BAR F4 E4 BAR ||| E4 ||| 0.999530225492
F4 BAR F4 E4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR E4 G4 F#4 ||| G4 ||| 0.999530225492
BAR E4 G4 F#4 ||| <UNK> ||| 9.99520230289e-06
F4 E4 BAR E4 ||| END ||| 0.178568724536
F4 E4 BAR E4 ||| A4 ||| 0.214282398016
F4 E4 BAR E4 ||| E4 ||| 0.285709744976
F4 E4 BAR E4 ||| D4 ||| 0.214282398016
F4 E4 BAR E4 ||| <UNK> ||| 3.57136734799e-07
F4 E4 BAR E4 ||| C5 ||| 0.0714277040965
F4 E4 BAR E4 ||| G#4 ||| 0.0357140306166
E4 C4 BAR C4 ||| <UNK> ||| 9.99520230289e-06
E4 C4 BAR C4 ||| C4 ||| 0.999530225492
B3 E4 BAR D4 ||| E4 ||| 0.999530225492
B3 E4 BAR D4 ||| <UNK> ||| 9.99520230289e-06
BAR A4 D4 BAR B-4 ||| A4 ||| 0.999530225492
BAR A4 D4 BAR B-4 ||| <UNK> ||| 9.99520230289e-06
D4 D4 D4 ||| D4 ||| 0.499885027593
D4 D4 D4 ||| <UNK> ||| 4.99880028793e-06
D4 D4 D4 ||| C4 ||| 0.499885027593
BAR E4 BAR A4 ||| G4 ||| 0.181811157331
BAR E4 BAR A4 ||| B4 ||| 0.272716281471
