G#3 ||| F#4 ||| 0.00576368876081
G#3 ||| F5 ||| 0.0125523012552
G#3 ||| F4 ||| 0.0330434782609
G#3 ||| B4 ||| 0.151771956857
G#3 ||| B5 ||| 0.037037037037
G#3 ||| G#4 ||| 0.00246002460025
G#3 ||| E5 ||| 0.0238095238095
G#3 ||| E4 ||| 0.0424107142857
G#3 ||| D4 ||| 0.0184162062615
G#3 ||| D5 ||| 0.0362047440699
G#3 ||| C5 ||| 0.00297619047619
G#3 ||| A4 ||| 0.00164676821737
G#2 ||| F4 ||| 0.0121739130435
G#2 ||| B4 ||| 0.00693374422188
G#2 ||| A4 ||| 0.000411692054343
G#2 ||| B3 ||| 0.00892857142857
G#2 ||| E4 ||| 0.0122767857143
G#2 ||| D4 ||| 0.0110497237569
G#4 ||| E5 ||| 0.018315018315
G#4 ||| B5 ||| 0.333333333333
G#4 ||| F5 ||| 0.00836820083682
F#2 ||| D4 ||| 0.0036832412523
F#2 ||| A4 ||| 0.00123507616303
F#2 ||| C4 ||| 0.00749063670412
G4 ||| G5 ||| 0.163461538462
G4 ||| G4 ||| 0.00227272727273
G4 ||| F#5 ||| 0.00917431192661
G4 ||| C#5 ||| 0.0116279069767
G4 ||| B4 ||| 0.00693374422188
G4 ||| B5 ||| 0.148148148148
G4 ||| A5 ||| 0.0785714285714
G4 ||| A4 ||| 0.00164676821737
G4 ||| E5 ||| 0.0412087912088
G4 ||| D5 ||| 0.0411985018727
G4 ||| C5 ||| 0.0104166666667
G4 ||| F5 ||| 0.0627615062762
F#4 ||| G5 ||| 0.0240384615385
F#4 ||| D5 ||| 0.0299625468165
F#4 ||| F#5 ||| 0.00917431192661
F#4 ||| C#5 ||| 0.0116279069767
F#4 ||| B4 ||| 0.000770416024653
F#4 ||| A5 ||| 0.0857142857143
F#4 ||| A4 ||| 0.000823384108687
F#4 ||| E5 ||| 0.00732600732601
F#4 ||| G#5 ||| 0.0188679245283
F#4 ||| D#5 ||| 0.041095890411
G2 ||| G4 ||| 0.0227272727273
G2 ||| F4 ||| 0.00347826086957
G2 ||| B4 ||| 0.00847457627119
G2 ||| A3 ||| 0.0363636363636
G2 ||| A4 ||| 0.000823384108687
G2 ||| B3 ||| 0.116071428571
G2 ||| E4 ||| 0.00502232142857
G2 ||| D4 ||| 0.0570902394107
G2 ||| C5 ||| 0.0014880952381
G2 ||| C4 ||| 0.0224719101124
B-2 ||| G4 ||| 0.000757575757576
B-2 ||| F4 ||| 0.00173913043478
B-2 ||| A4 ||| 0.000411692054343
B-2 ||| E4 ||| 0.000558035714286
B-2 ||| D4 ||| 0.00920810313076
B-2 ||| G3 ||| 0.0666666666667
B-3 ||| G5 ||| 0.00480769230769
B-3 ||| G4 ||| 0.00151515151515
B-3 ||| F4 ||| 0.0104347826087
B-3 ||| F5 ||| 0.00836820083682
B-3 ||| A4 ||| 0.000411692054343
B-3 ||| B-4 ||| 0.0294117647059
B-3 ||| D5 ||| 0.00749063670412
B-3 ||| C5 ||| 0.0014880952381
B-3 ||| C4 ||| 0.00374531835206
A3 ||| G#4 ||| 0.0172201722017
A3 ||| G5 ||| 0.0144230769231
A3 ||| G4 ||| 0.0325757575758
A3 ||| F#4 ||| 0.121037463977
A3 ||| F#5 ||| 0.155963302752
A3 ||| A5 ||| 0.107142857143
A3 ||| A4 ||| 0.202140798683
A3 ||| B-4 ||| 0.0294117647059
A3 ||| E5 ||| 0.138278388278
A3 ||| E4 ||| 0.200892857143
A3 ||| D#4 ||| 0.09375
A3 ||| D#5 ||| 0.0684931506849
A3 ||| C5 ||| 0.301339285714
A3 ||| C4 ||| 0.101123595506
A3 ||| C#5 ||| 0.56976744186
A3 ||| C#4 ||| 0.127272727273
A3 ||| F4 ||| 0.08
A3 ||| F5 ||| 0.0334728033473
A3 ||| B4 ||| 0.117103235747
A3 ||| B3 ||| 0.0267857142857
A3 ||| D4 ||| 0.0294659300184
A3 ||| D5 ||| 0.0374531835206
A2 ||| F4 ||| 0.0417391304348
A2 ||| G4 ||| 0.00606060606061
A2 ||| F#4 ||| 0.0518731988473
A2 ||| C#5 ||| 0.0232558139535
A2 ||| C#4 ||| 0.654545454545
A2 ||| D5 ||| 0.00124843945069
A2 ||| B4 ||| 0.0123266563945
A2 ||| A3 ||| 0.109090909091
A2 ||| G#4 ||| 0.0110701107011
A2 ||| B3 ||| 0.0178571428571
A2 ||| E5 ||| 0.003663003663
A2 ||| E4 ||| 0.180803571429
A2 ||| D#4 ||| 0.1875
A2 ||| C4 ||| 0.149812734082
A2 ||| D4 ||| 0.0423572744015
A2 ||| C5 ||| 0.00744047619048
A2 ||| A4 ||| 0.0510498147386
A4 ||| G5 ||| 0.0192307692308
A4 ||| F#5 ||| 0.0275229357798
A4 ||| C#5 ||| 0.0697674418605
A4 ||| B5 ||| 0.185185185185
A4 ||| A5 ||| 0.192857142857
A4 ||| A4 ||| 0.000823384108687
A4 ||| E5 ||| 0.0860805860806
A4 ||| G#5 ||| 0.0377358490566
A4 ||| D5 ||| 0.00749063670412
A4 ||| C6 ||| 0.375
A4 ||| C5 ||| 0.0119047619048
A4 ||| F5 ||| 0.0292887029289
B-4 ||| E5 ||| 0.0018315018315
B-4 ||| D5 ||| 0.00124843945069
C3 ||| G4 ||| 0.15303030303
C3 ||| F#4 ||| 0.0317002881844
C3 ||| F4 ||| 0.0365217391304
C3 ||| D5 ||| 0.00749063670412
C3 ||| B4 ||| 0.0115562403698
C3 ||| B-3 ||| 0.25
C3 ||| A3 ||| 0.0545454545455
C3 ||| F3 ||| 0.5
C3 ||| G3 ||| 0.4
C3 ||| G#4 ||| 0.00861008610086
C3 ||| B-4 ||| 0.147058823529
C3 ||| B3 ||| 0.0357142857143
C3 ||| E5 ||| 0.00274725274725
C3 ||| E4 ||| 0.115513392857
C3 ||| D4 ||| 0.0570902394107
C3 ||| C4 ||| 0.198501872659
C3 ||| C5 ||| 0.0558035714286
C3 ||| A4 ||| 0.0391107451626
E4 ||| G#5 ||| 0.660377358491
E4 ||| G#4 ||| 0.0405904059041
E4 ||| G5 ||| 0.225961538462
E4 ||| G4 ||| 0.00530303030303
E4 ||| F#4 ||| 0.0172910662824
E4 ||| F#5 ||| 0.137614678899
E4 ||| A5 ||| 0.0785714285714
E4 ||| A4 ||| 0.0181144503911
E4 ||| E5 ||| 0.223443223443
E4 ||| E4 ||| 0.00111607142857
E4 ||| D#5 ||| 0.041095890411
E4 ||| C6 ||| 0.125
E4 ||| C5 ||| 0.0558035714286
E4 ||| C4 ||| 0.00374531835206
E4 ||| C#5 ||| 0.0697674418605
E4 ||| R ||| 0.0222222222222
E4 ||| F4 ||| 0.00347826086957
E4 ||| F5 ||| 0.100418410042
E4 ||| B4 ||| 0.060092449923
E4 ||| B5 ||| 0.037037037037
E4 ||| D4 ||| 0.00184162062615
E4 ||| D5 ||| 0.0848938826467
D#4 ||| F#4 ||| 0.0028818443804
D#4 ||| F#5 ||| 0.229357798165
D#4 ||| B4 ||| 0.0115562403698
D#4 ||| A5 ||| 0.0142857142857
D#4 ||| A4 ||| 0.0028818443804
D#4 ||| E5 ||| 0.0018315018315
D#4 ||| C5 ||| 0.00595238095238
D#3 ||| G4 ||| 0.000757575757576
D#3 ||| F#4 ||| 0.161383285303
D#3 ||| F#5 ||| 0.0550458715596
D#3 ||| B4 ||| 0.00385208012327
D#3 ||| A4 ||| 0.0111156854673
D#3 ||| B3 ||| 0.00892857142857
D#3 ||| E4 ||| 0.000558035714286
D#3 ||| G#4 ||| 0.00123001230012
E3 ||| G#3 ||| 0.5
E3 ||| G#5 ||| 0.0566037735849
E3 ||| G#4 ||| 0.607626076261
E3 ||| G4 ||| 0.184848484848
E3 ||| F#4 ||| 0.0835734870317
E3 ||| B-3 ||| 0.25
E3 ||| A3 ||| 0.0181818181818
E3 ||| A4 ||| 0.0897488678469
E3 ||| B-4 ||| 0.147058823529
E3 ||| E5 ||| 0.0641025641026
E3 ||| E4 ||| 0.18359375
E3 ||| D#4 ||| 0.0625
E3 ||| C5 ||| 0.0513392857143
E3 ||| C4 ||| 0.0973782771536
E3 ||| C#5 ||| 0.0581395348837
E3 ||| C#4 ||| 0.109090909091
E3 ||| A#4 ||| 0.5
E3 ||| G3 ||| 0.133333333333
E3 ||| F4 ||| 0.0817391304348
E3 ||| B4 ||| 0.0909090909091
E3 ||| B3 ||| 0.464285714286
E3 ||| D4 ||| 0.117863720074
E3 ||| D5 ||| 0.0486891385768
E2 ||| G4 ||| 0.00151515151515
E2 ||| F#4 ||| 0.0028818443804
E2 ||| C#4 ||| 0.0181818181818
E2 ||| A4 ||| 0.000823384108687
E2 ||| G#4 ||| 0.0159901599016
E2 ||| B3 ||| 0.0982142857143
E2 ||| E4 ||| 0.00837053571429
E2 ||| D4 ||| 0.00920810313076
E2 ||| C4 ||| 0.0112359550562
C#4 ||| G5 ||| 0.0384615384615
C#4 ||| G4 ||| 0.0030303030303
C#4 ||| F#4 ||| 0.0028818443804
C#4 ||| A4 ||| 0.00741045697818
C#4 ||| B-4 ||| 0.0882352941176
C#4 ||| E5 ||| 0.032967032967
C#4 ||| E4 ||| 0.000558035714286
C#3 ||| G4 ||| 0.0136363636364
C#3 ||| F#4 ||| 0.00576368876081
C#3 ||| F4 ||| 0.00521739130435
C#3 ||| B4 ||| 0.000770416024653
C#3 ||| A3 ||| 0.0727272727273
C#3 ||| A4 ||| 0.00370522848909
C#3 ||| B-4 ||| 0.0294117647059
C#3 ||| E5 ||| 0.000915750915751
C#3 ||| E4 ||| 0.0200892857143
C#3 ||| D4 ||| 0.0073664825046
C#2 ||| E4 ||| 0.000558035714286
A#3 ||| E5 ||| 0.000915750915751
A#3 ||| E4 ||| 0.000558035714286
A#3 ||| C#5 ||| 0.046511627907
A#2 ||| C#5 ||| 0.0116279069767
F#3 ||| B4 ||| 0.0130970724191
F#3 ||| G4 ||| 0.0128787878788
F#3 ||| F#4 ||| 0.0172910662824
F#3 ||| F#5 ||| 0.0183486238532
F#3 ||| C#5 ||| 0.0116279069767
F#3 ||| D5 ||| 0.0112359550562
F#3 ||| E-5 ||| 1.0
F#3 ||| E-4 ||| 0.333333333333
F#3 ||| A3 ||| 0.0363636363636
F#3 ||| R ||| 0.0111111111111
F#3 ||| A5 ||| 0.0142857142857
F#3 ||| A4 ||| 0.0572251955537
F#3 ||| A#4 ||| 0.5
F#3 ||| E5 ||| 0.00915750915751
F#3 ||| E4 ||| 0.0139508928571
F#3 ||| D#4 ||| 0.21875
F#3 ||| D#5 ||| 0.246575342466
F#3 ||| D4 ||| 0.0460405156538
F#3 ||| C5 ||| 0.0290178571429
E-3 ||| G4 ||| 0.000757575757576
E-3 ||| F4 ||| 0.00173913043478
C2 ||| E4 ||| 0.000558035714286
C2 ||| G4 ||| 0.000757575757576
C2 ||| G3 ||| 0.2
C2 ||| C4 ||| 0.00374531835206
G3 ||| G5 ||| 0.0769230769231
G3 ||| G4 ||| 0.174242424242
G3 ||| F#4 ||| 0.0201729106628
G3 ||| F#5 ||| 0.0275229357798
G3 ||| B-3 ||| 0.25
G3 ||| A5 ||| 0.00714285714286
G3 ||| A4 ||| 0.0526965829559
G3 ||| B-4 ||| 0.264705882353
G3 ||| E5 ||| 0.0210622710623
G3 ||| E4 ||| 0.0602678571429
G3 ||| D#5 ||| 0.013698630137
G3 ||| C6 ||| 0.25
G3 ||| C5 ||| 0.0558035714286
G3 ||| C4 ||| 0.0524344569288
G3 ||| C#5 ||| 0.0232558139535
G3 ||| C#4 ||| 0.0363636363636
G3 ||| F4 ||| 0.0921739130435
G3 ||| F5 ||| 0.0292887029289
G3 ||| B4 ||| 0.21186440678
G3 ||| B3 ||| 0.00892857142857
G3 ||| D4 ||| 0.0994475138122
G3 ||| D5 ||| 0.0736579275905
A-3 ||| F4 ||| 0.00173913043478
A-3 ||| C5 ||| 0.0014880952381
F2 ||| F4 ||| 0.00695652173913
F2 ||| C#4 ||| 0.0181818181818
F2 ||| A4 ||| 0.0028818443804
F2 ||| B4 ||| 0.00154083204931
F2 ||| E-4 ||| 0.333333333333
F2 ||| A3 ||| 0.0909090909091
F2 ||| G#4 ||| 0.00123001230012
F2 ||| B3 ||| 0.0267857142857
F2 ||| E4 ||| 0.00167410714286
F2 ||| D4 ||| 0.00920810313076
F2 ||| C4 ||| 0.0224719101124
F3 ||| F4 ||| 0.144347826087
F3 ||| G4 ||| 0.0643939393939
F3 ||| G3 ||| 0.0666666666667
F3 ||| F5 ||| 0.00836820083682
F3 ||| B5 ||| 0.0740740740741
F3 ||| C#5 ||| 0.0116279069767
F3 ||| C#4 ||| 0.0363636363636
F3 ||| D5 ||| 0.0212234706617
F3 ||| B4 ||| 0.0292758089368
F3 ||| E-4 ||| 0.333333333333
F3 ||| A3 ||| 0.218181818182
F3 ||| A5 ||| 0.0214285714286
F3 ||| G#4 ||| 0.0319803198032
F3 ||| B3 ||| 0.0357142857143
F3 ||| E5 ||| 0.00274725274725
F3 ||| E4 ||| 0.0245535714286
F3 ||| D#4 ||| 0.09375
F3 ||| C4 ||| 0.191011235955
F3 ||| D4 ||| 0.169429097606
F3 ||| C5 ||| 0.0654761904762
F3 ||| A4 ||| 0.150267599835
F4 ||| G5 ||| 0.0384615384615
F4 ||| G4 ||| 0.00151515151515
F4 ||| F4 ||| 0.00173913043478
F4 ||| F5 ||| 0.138075313808
F4 ||| B4 ||| 0.0169491525424
F4 ||| A5 ||| 0.207142857143
F4 ||| G#4 ||| 0.00369003690037
F4 ||| E5 ||| 0.0173992673993
F4 ||| D5 ||| 0.0774032459426
F4 ||| C6 ||| 0.125
F4 ||| C5 ||| 0.0572916666667
F4 ||| A4 ||| 0.0123507616303
B4 ||| G5 ||| 0.0576923076923
B4 ||| D5 ||| 0.00499375780275
B4 ||| F5 ||| 0.0125523012552
B4 ||| A5 ||| 0.00714285714286
B4 ||| E5 ||| 0.00641025641026
B4 ||| G#5 ||| 0.0754716981132
B4 ||| D#5 ||| 0.013698630137
R ||| B4 ||| 0.00770416024653
R ||| E4 ||| 0.000558035714286
R ||| R ||| 0.933333333333
R ||| A4 ||| 0.000823384108687
R ||| C5 ||| 0.00297619047619
C5 ||| E5 ||| 0.00641025641026
C5 ||| G5 ||| 0.0480769230769
C5 ||| D5 ||| 0.00249687890137
C5 ||| A5 ||| 0.0285714285714
B2 ||| G4 ||| 0.0310606060606
B2 ||| F#4 ||| 0.0518731988473
B2 ||| F4 ||| 0.0660869565217
B2 ||| D5 ||| 0.00998751560549
B2 ||| B4 ||| 0.0107858243451
B2 ||| C4 ||| 0.0112359550562
B2 ||| G#3 ||| 0.5
B2 ||| F3 ||| 0.5
B2 ||| G3 ||| 0.0666666666667
B2 ||| G#4 ||| 0.0639606396064
B2 ||| B3 ||| 0.00892857142857
B2 ||| E4 ||| 0.0279017857143
B2 ||| D#4 ||| 0.3125
B2 ||| D#5 ||| 0.0821917808219
B2 ||| D4 ||| 0.147329650092
B2 ||| C5 ||| 0.00297619047619
B2 ||| A4 ||| 0.0230547550432
B3 ||| G#5 ||| 0.0943396226415
B3 ||| G#4 ||| 0.114391143911
B3 ||| G5 ||| 0.0480769230769
B3 ||| G4 ||| 0.0984848484848
B3 ||| F#4 ||| 0.0806916426513
B3 ||| F#5 ||| 0.0275229357798
B3 ||| A5 ||| 0.0214285714286
B3 ||| A4 ||| 0.0477562783038
B3 ||| E5 ||| 0.040293040293
B3 ||| E4 ||| 0.0133928571429
B3 ||| D#4 ||| 0.03125
B3 ||| D#5 ||| 0.479452054795
B3 ||| C5 ||| 0.0528273809524
B3 ||| C4 ||| 0.00374531835206
B3 ||| C#5 ||| 0.046511627907
B3 ||| R ||| 0.0111111111111
B3 ||| F4 ||| 0.0173913043478
B3 ||| F5 ||| 0.0502092050209
B3 ||| B4 ||| 0.0939907550077
B3 ||| B5 ||| 0.037037037037
B3 ||| D4 ||| 0.0331491712707
B3 ||| D5 ||| 0.240948813983
D4 ||| G5 ||| 0.0769230769231
D4 ||| G4 ||| 0.00530303030303
D4 ||| F#4 ||| 0.0403458213256
D4 ||| F#5 ||| 0.247706422018
D4 ||| F5 ||| 0.456066945607
D4 ||| C#5 ||| 0.0348837209302
D4 ||| F4 ||| 0.0226086956522
D4 ||| B4 ||| 0.060092449923
D4 ||| B5 ||| 0.148148148148
D4 ||| R ||| 0.0222222222222
D4 ||| G#5 ||| 0.0377358490566
D4 ||| G#4 ||| 0.0258302583026
D4 ||| E4 ||| 0.00390625
D4 ||| E5 ||| 0.0705128205128
D4 ||| A5 ||| 0.107142857143
D4 ||| D4 ||| 0.00184162062615
D4 ||| D5 ||| 0.117353308365
D4 ||| C5 ||| 0.0238095238095
D4 ||| A4 ||| 0.0378756689996
C4 ||| G5 ||| 0.163461538462
C4 ||| G4 ||| 0.12196969697
C4 ||| F#4 ||| 0.0547550432277
C4 ||| F#5 ||| 0.0550458715596
C4 ||| F5 ||| 0.0334728033473
C4 ||| F4 ||| 0.00521739130435
C4 ||| D5 ||| 0.103620474407
C4 ||| B4 ||| 0.0223420647149
C4 ||| C4 ||| 0.0299625468165
C4 ||| G#5 ||| 0.0188679245283
C4 ||| G#4 ||| 0.0135301353014
C4 ||| B-4 ||| 0.176470588235
C4 ||| E4 ||| 0.0228794642857
C4 ||| E5 ||| 0.174908424908
C4 ||| A5 ||| 0.0285714285714
C4 ||| D4 ||| 0.0073664825046
