G#3 ||| D5 ||| 0.0684931506849
G#3 ||| F#5 ||| 0.00326797385621
G#3 ||| B4 ||| 0.0563195808775
G#3 ||| B5 ||| 0.0511363636364
G#3 ||| A5 ||| 0.00243309002433
G#3 ||| D6 ||| 0.0326086956522
G#3 ||| E5 ||| 0.0709812108559
G#3 ||| E4 ||| 0.00884955752212
G#3 ||| E6 ||| 0.00917431192661
G#3 ||| C6 ||| 0.00205761316872
G#3 ||| C5 ||| 0.00278706800446
G#3 ||| F5 ||| 0.0130208333333
G#2 ||| F4 ||| 0.0147058823529
G#2 ||| B4 ||| 0.0130975769483
G#2 ||| E5 ||| 0.00260960334029
G#2 ||| E4 ||| 0.0176991150442
G#2 ||| D5 ||| 0.00652315720809
G#2 ||| C5 ||| 0.000557413600892
G#4 ||| D6 ||| 0.070652173913
G#4 ||| B5 ||| 0.030303030303
F#2 ||| D4 ||| 0.063829787234
F#2 ||| D5 ||| 0.00195694716243
F#2 ||| A4 ||| 0.000733137829912
F#3 ||| B4 ||| 0.0098231827112
F#3 ||| G5 ||| 0.00329489291598
F#3 ||| D5 ||| 0.0756686236138
F#3 ||| F#4 ||| 0.0789473684211
F#3 ||| F#5 ||| 0.0751633986928
F#3 ||| E-5 ||| 1.0
F#3 ||| D6 ||| 0.0108695652174
F#3 ||| A5 ||| 0.0279805352798
F#3 ||| A4 ||| 0.0293255131965
F#3 ||| E5 ||| 0.0120041753653
F#3 ||| D#5 ||| 0.075
F#3 ||| C6 ||| 0.00617283950617
F#3 ||| C5 ||| 0.0245261984392
G3 ||| G5 ||| 0.133443163097
G3 ||| G4 ||| 0.0465753424658
G3 ||| F4 ||| 0.0220588235294
G3 ||| F#5 ||| 0.0294117647059
G3 ||| C#5 ||| 0.266666666667
G3 ||| D5 ||| 0.183953033268
G3 ||| B4 ||| 0.115913555992
G3 ||| B5 ||| 0.0814393939394
G3 ||| A5 ||| 0.0109489051095
G3 ||| A4 ||| 0.0241935483871
G3 ||| E5 ||| 0.0730688935282
G3 ||| E4 ||| 0.0619469026549
G3 ||| D4 ||| 0.0851063829787
G3 ||| E6 ||| 0.00917431192661
G3 ||| D6 ||| 0.0108695652174
G3 ||| C6 ||| 0.0123456790123
G3 ||| C5 ||| 0.0785953177258
G3 ||| F5 ||| 0.111979166667
G2 ||| G5 ||| 0.00164744645799
G2 ||| G4 ||| 0.0876712328767
G2 ||| F4 ||| 0.0367647058824
G2 ||| C#4 ||| 0.333333333333
G2 ||| B4 ||| 0.0137524557957
G2 ||| A4 ||| 0.00439882697947
G2 ||| E4 ||| 0.00442477876106
G2 ||| D4 ||| 0.170212765957
G2 ||| D5 ||| 0.013698630137
G2 ||| C5 ||| 0.00222965440357
B-2 ||| D4 ||| 0.0425531914894
B-2 ||| G4 ||| 0.00547945205479
B-2 ||| F4 ||| 0.0147058823529
B-2 ||| A4 ||| 0.000733137829912
B-2 ||| D5 ||| 0.000652315720809
B-3 ||| G5 ||| 0.00658978583196
B-3 ||| F4 ||| 0.00735294117647
B-3 ||| F5 ||| 0.0078125
B-3 ||| A5 ||| 0.00243309002433
B-3 ||| E5 ||| 0.00104384133612
B-3 ||| E4 ||| 0.00442477876106
B-3 ||| D5 ||| 0.00587084148728
B-3 ||| C5 ||| 0.000557413600892
A3 ||| G5 ||| 0.0757825370675
A3 ||| G4 ||| 0.00547945205479
A3 ||| F#4 ||| 0.0263157894737
A3 ||| F#5 ||| 0.251633986928
A3 ||| B5 ||| 0.0284090909091
A3 ||| C#5 ||| 0.4
A3 ||| F4 ||| 0.0735294117647
A3 ||| D5 ||| 0.0665362035225
A3 ||| B4 ||| 0.0373280943026
A3 ||| D#5 ||| 0.25
A3 ||| A5 ||| 0.187347931873
A3 ||| A4 ||| 0.148093841642
A3 ||| E4 ||| 0.115044247788
A3 ||| E5 ||| 0.167014613779
A3 ||| G#5 ||| 0.0162601626016
A3 ||| E6 ||| 0.0642201834862
A3 ||| D6 ||| 0.0271739130435
A3 ||| C6 ||| 0.179012345679
A3 ||| C5 ||| 0.303790412486
A3 ||| F5 ||| 0.1796875
A2 ||| G4 ||| 0.0328767123288
A2 ||| F4 ||| 0.0955882352941
A2 ||| F#5 ||| 0.00326797385621
A2 ||| F5 ||| 0.00520833333333
A2 ||| C#5 ||| 0.2
A2 ||| C#4 ||| 0.333333333333
A2 ||| D5 ||| 0.00782778864971
A2 ||| B4 ||| 0.0157170923379
A2 ||| A5 ||| 0.00729927007299
A2 ||| A4 ||| 0.219941348974
A2 ||| E5 ||| 0.0151356993737
A2 ||| E4 ||| 0.146017699115
A2 ||| D4 ||| 0.0212765957447
A2 ||| C4 ||| 0.111111111111
A2 ||| C5 ||| 0.0841694537347
A2 ||| G#4 ||| 0.00694444444444
A4 ||| G5 ||| 0.00329489291598
A4 ||| F#5 ||| 0.00980392156863
A4 ||| F6 ||| 0.1
A4 ||| B5 ||| 0.0094696969697
A4 ||| A5 ||| 0.0328467153285
A4 ||| D6 ||| 0.0380434782609
A4 ||| E5 ||| 0.0104384133612
A4 ||| E6 ||| 0.100917431193
A4 ||| C6 ||| 0.17695473251
A4 ||| C5 ||| 0.00111482720178
A4 ||| F5 ||| 0.0078125
B-4 ||| G5 ||| 0.00494233937397
C3 ||| G5 ||| 0.00823723228995
C3 ||| G4 ||| 0.167123287671
C3 ||| F#4 ||| 0.210526315789
C3 ||| F5 ||| 0.00520833333333
C3 ||| F4 ||| 0.0294117647059
C3 ||| D5 ||| 0.016960208741
C3 ||| B4 ||| 0.0098231827112
C3 ||| B5 ||| 0.00189393939394
