G#3 ||| F#4 ||| 0.00390625
G#3 ||| F5 ||| 0.0333333333333
G#3 ||| F4 ||| 0.0233766233766
G#3 ||| B4 ||| 0.0597826086957
G#3 ||| A3 ||| 0.00201005025126
G#3 ||| A4 ||| 0.0030959752322
G#3 ||| B3 ||| 0.0896980461812
G#3 ||| E5 ||| 0.0078125
G#3 ||| E4 ||| 0.0688
G#3 ||| D4 ||| 0.0301538461538
G#3 ||| D5 ||| 0.00505050505051
G#3 ||| E3 ||| 0.0140845070423
G#3 ||| C4 ||| 0.00402993667242
G#2 ||| E4 ||| 0.004
G#2 ||| G#3 ||| 0.00520833333333
G#2 ||| F4 ||| 0.00649350649351
G#2 ||| D4 ||| 0.00553846153846
G#2 ||| B3 ||| 0.0213143872114
G#4 ||| E5 ||| 0.0390625
G#4 ||| B4 ||| 0.0380434782609
G#4 ||| D5 ||| 0.010101010101
G#4 ||| F5 ||| 0.0333333333333
F#2 ||| A3 ||| 0.00301507537688
F#2 ||| D4 ||| 0.00123076923077
F#2 ||| C4 ||| 0.00230282095567
G4 ||| G4 ||| 0.031523642732
G4 ||| F4 ||| 0.0038961038961
G4 ||| F5 ||| 0.0666666666667
G4 ||| C#5 ||| 0.333333333333
G4 ||| B4 ||| 0.0923913043478
G4 ||| A4 ||| 0.0139318885449
G4 ||| E5 ||| 0.0625
G4 ||| E4 ||| 0.0024
G4 ||| D4 ||| 0.00123076923077
G4 ||| D5 ||| 0.0808080808081
G4 ||| C5 ||| 0.0461893764434
G3 ||| F4 ||| 0.118181818182
G3 ||| G4 ||| 0.197022767075
G3 ||| F#4 ||| 0.03515625
G3 ||| F5 ||| 0.0333333333333
G3 ||| C#4 ||| 0.109756097561
G3 ||| B4 ||| 0.0688405797101
G3 ||| B-3 ||| 0.0816326530612
G3 ||| A3 ||| 0.0391959798995
G3 ||| F#3 ||| 0.105263157895
G3 ||| G3 ||| 0.0745762711864
G3 ||| A4 ||| 0.0178018575851
G3 ||| B-4 ||| 0.2
