3
A#2 B2 E3 BAR ||| B2 ||| 0.999530225492
A#2 B2 E3 BAR ||| <UNK> ||| 9.99520230289e-06
D3 A2 A3 ||| G3 ||| 0.999530225492
D3 A2 A3 ||| <UNK> ||| 9.99520230289e-06
F3 E3 F3 BAR ||| C3 ||| 0.249986250825
F3 E3 F3 BAR ||| F3 ||| 0.124993750375
F3 E3 F3 BAR ||| G3 ||| 0.124993750375
F3 E3 F3 BAR ||| E3 ||| 0.499971251725
F3 E3 F3 BAR ||| <UNK> ||| 1.2499250045e-06
BAR C4 G3 C3 BAR ||| <UNK> ||| 9.99520230289e-06
BAR C4 G3 C3 BAR ||| C4 ||| 0.999530225492
G4 C4 C5 BAR ||| B4 ||| 0.999765056386
G4 C4 C5 BAR ||| <UNK> ||| 4.99880028793e-06
BAR F4 C4 D4 ||| E4 ||| 0.999765056386
BAR F4 C4 D4 ||| <UNK> ||| 4.99880028793e-06
C3 BAR D3 G2 ||| C3 ||| 0.999530225492
C3 BAR D3 G2 ||| <UNK> ||| 9.99520230289e-06
G3 G2 BAR C3 BAR ||| E3 ||| 0.999530225492
G3 G2 BAR C3 BAR ||| <UNK> ||| 9.99520230289e-06
BAR B2 C3 D3 BAR ||| C3 ||| 0.999530225492
BAR B2 C3 D3 BAR ||| <UNK> ||| 9.99520230289e-06
F4 C4 D4 ||| E4 ||| 0.999765056386
F4 C4 D4 ||| <UNK> ||| 4.99880028793e-06
D4 G3 C4 ||| <UNK> ||| 1.99980801843e-06
D4 G3 C4 ||| B3 ||| 0.999906009023
BAR E4 BAR A4 G4 ||| F4 ||| 0.999530225492
BAR E4 BAR A4 G4 ||| <UNK> ||| 9.99520230289e-06
C#4 A3 D4 ||| E4 ||| 0.199982801651
C#4 A3 D4 ||| D#4 ||| 0.599944405337
C#4 A3 D4 ||| <UNK> ||| 1.99980801843e-06
C#4 A3 D4 ||| C4 ||| 0.199982801651
C4 BAR F3 G3 ||| C3 ||| 0.478251323451
C4 BAR F3 G3 ||| A3 ||| 0.0434777882896
C4 BAR F3 G3 ||| <UNK> ||| 4.34773535161e-07
C4 BAR F3 G3 ||| G2 ||| 0.0434777882896
C4 BAR F3 G3 ||| C4 ||| 0.434773969935
B3 BAR C4 D#3 ||| E3 ||| 0.999530225492
B3 BAR C4 D#3 ||| <UNK> ||| 9.99520230289e-06
BAR A3 D3 E3 ||| F3 ||| 0.124993750375
BAR A3 D3 E3 ||| G3 ||| 0.124993750375
BAR A3 D3 E3 ||| A3 ||| 0.124993750375
BAR A3 D3 E3 ||| A2 ||| 0.374978751275
BAR A3 D3 E3 ||| D4 ||| 0.124993750375
BAR A3 D3 E3 ||| <UNK> ||| 1.2499250045e-06
BAR A3 D3 E3 ||| E2 ||| 0.124993750375
BAR C4 B3 BAR A3 ||| G#3 ||| 0.2499725033
BAR C4 B3 BAR A3 ||| <UNK> ||| 2.499700036e-06
BAR C4 B3 BAR A3 ||| G3 ||| 0.2499725033
BAR C4 B3 BAR A3 ||| E3 ||| 0.2499725033
BAR C4 B3 BAR A3 ||| B3 ||| 0.2499725033
BAR E3 F3 F#3 ||| G3 ||| 0.999530225492
BAR E3 F3 F#3 ||| <UNK> ||| 9.99520230289e-06
BAR E3 R C3 ||| D3 ||| 0.999530225492
BAR E3 R C3 ||| <UNK> ||| 9.99520230289e-06
G#4 A4 E4 BAR ||| F4 ||| 0.999953002256
G#4 A4 E4 BAR ||| <UNK> ||| 9.99952002304e-07
BAR F3 D3 A3 ||| END ||| 0.999530225492
BAR F3 D3 A3 ||| <UNK> ||| 9.99520230289e-06
G3 F#3 D3 ||| G3 ||| 0.999906009023
G3 F#3 D3 ||| <UNK> ||| 1.99980801843e-06
G3 C4 C5 ||| B4 ||| 0.999530225492
G3 C4 C5 ||| <UNK> ||| 9.99520230289e-06
BAR C4 B3 C4 ||| G3 ||| 0.124993750375
BAR C4 B3 C4 ||| D4 ||| 0.374978751275
BAR C4 B3 C4 ||| F4 ||| 0.124993750375
BAR C4 B3 C4 ||| A3 ||| 0.374978751275
BAR C4 B3 C4 ||| <UNK> ||| 1.2499250045e-06
A3 B3 A3 BAR ||| G#3 ||| 0.999765056386
A3 B3 A3 BAR ||| <UNK> ||| 4.99880028793e-06
F#3 G3 C3 BAR ||| R ||| 0.499885027593
F#3 G3 C3 BAR ||| D3 ||| 0.499885027593
F#3 G3 C3 BAR ||| <UNK> ||| 4.99880028793e-06
C#4 D4 D#4 BAR ||| E4 ||| 0.999765056386
C#4 D4 D#4 BAR ||| <UNK> ||| 4.99880028793e-06
D4 E4 BAR E3 ||| E4 ||| 0.499942506899
D4 E4 BAR E3 ||| R ||| 0.499942506899
D4 E4 BAR E3 ||| <UNK> ||| 2.499700036e-06
D3 BAR C3 C4 ||| <UNK> ||| 1.99980801843e-06
D3 BAR C3 C4 ||| B3 ||| 0.999906009023
