G#5 ||| F5 ||| 0.0349344978166
G#5 ||| B4 ||| 0.0280296784831
G#5 ||| R ||| 0.0222222222222
G#5 ||| A4 ||| 0.000472143531634
G#5 ||| E5 ||| 0.0569020021075
G#5 ||| D5 ||| 0.033422459893
G#5 ||| C5 ||| 0.00349040139616
G#4 ||| F4 ||| 0.0214424951267
G#4 ||| B4 ||| 0.00164880461665
G#4 ||| F#4 ||| 0.00581395348837
G#4 ||| B3 ||| 0.0283018867925
G#4 ||| E4 ||| 0.0590823381521
G#4 ||| D#4 ||| 0.0285714285714
G#4 ||| D5 ||| 0.00133689839572
G#4 ||| D4 ||| 0.0437375745527
G5 ||| G5 ||| 0.0106382978723
G5 ||| G4 ||| 0.0364267129228
G5 ||| F#4 ||| 0.00581395348837
G5 ||| F#5 ||| 0.0666666666667
G5 ||| F5 ||| 0.00436681222707
G5 ||| C#5 ||| 0.114942528736
G5 ||| D5 ||| 0.151069518717
G5 ||| B4 ||| 0.0989282769992
G5 ||| R ||| 0.0111111111111
G5 ||| A4 ||| 0.0014164305949
G5 ||| B-4 ||| 0.181818181818
G5 ||| E5 ||| 0.164383561644
G5 ||| E4 ||| 0.00188560653677
G5 ||| D#5 ||| 0.04
G5 ||| C5 ||| 0.0671902268761
G5 ||| C4 ||| 0.0042194092827
G4 ||| F4 ||| 0.0584795321637
G4 ||| G4 ||| 0.0130095403296
G4 ||| F#4 ||| 0.0232558139535
G4 ||| C#4 ||| 0.127272727273
G4 ||| B-3 ||| 0.5
G4 ||| A3 ||| 0.0535714285714
G4 ||| B3 ||| 0.103773584906
G4 ||| E4 ||| 0.112507856694
G4 ||| D#4 ||| 0.0571428571429
G4 ||| D4 ||| 0.176938369781
G4 ||| C4 ||| 0.0759493670886
F#4 ||| F#4 ||| 0.00581395348837
F#4 ||| B3 ||| 0.00943396226415
F#4 ||| E4 ||| 0.00754242614708
F#4 ||| D#4 ||| 0.2
F#4 ||| D4 ||| 0.0159045725646
F#4 ||| C4 ||| 0.0168776371308
F#5 ||| G4 ||| 0.00433651344319
F#5 ||| F#4 ||| 0.0203488372093
F#5 ||| F#5 ||| 0.00952380952381
F#5 ||| C#5 ||| 0.0459770114943
F#5 ||| D5 ||| 0.0401069518717
F#5 ||| B4 ||| 0.0387469084913
F#5 ||| R ||| 0.0222222222222
F#5 ||| A4 ||| 0.0292728989613
F#5 ||| E5 ||| 0.0326659641728
F#5 ||| E4 ||| 0.00125707102451
F#5 ||| D4 ||| 0.00397614314115
F#5 ||| D#5 ||| 0.666666666667
F#5 ||| C5 ||| 0.0575916230366
A5 ||| B4 ||| 0.035449299258
A5 ||| G5 ||| 0.0531914893617
A5 ||| G4 ||| 0.000867302688638
A5 ||| F#4 ||| 0.0116279069767
A5 ||| F#5 ||| 0.457142857143
A5 ||| C#5 ||| 0.402298850575
A5 ||| D5 ||| 0.141711229947
A5 ||| E-5 ||| 1.0
A5 ||| A5 ||| 0.04
A5 ||| A4 ||| 0.0217186024551
A5 ||| E4 ||| 0.000628535512256
A5 ||| E5 ||| 0.224446786091
A5 ||| G#5 ||| 0.037037037037
A5 ||| D#5 ||| 0.226666666667
A5 ||| C5 ||| 0.155322862129
A5 ||| F5 ||| 0.262008733624
A4 ||| F4 ||| 0.321637426901
A4 ||| G4 ||| 0.0685169124024
A4 ||| F#4 ||| 0.357558139535
A4 ||| C#5 ||| 0.0229885057471
A4 ||| C#4 ||| 0.327272727273
A4 ||| D5 ||| 0.00534759358289
A4 ||| B4 ||| 0.00494641384996
A4 ||| E-4 ||| 1.0
A4 ||| A3 ||| 0.267857142857
A4 ||| R ||| 0.0111111111111
A4 ||| G#4 ||| 0.0346534653465
A4 ||| B3 ||| 0.0377358490566
A4 ||| E5 ||| 0.00210748155954
A4 ||| E4 ||| 0.368321810182
A4 ||| D#4 ||| 0.428571428571
A4 ||| C4 ||| 0.308016877637
A4 ||| D4 ||| 0.174950298211
A4 ||| C5 ||| 0.00174520069808
A4 ||| A4 ||| 0.0698772426818
B-5 ||| G4 ||| 0.000867302688638
E5 ||| G4 ||| 0.241110147441
E5 ||| F#4 ||| 0.046511627907
E5 ||| C#5 ||| 0.310344827586
E5 ||| F4 ||| 0.0194931773879
E5 ||| D5 ||| 0.122994652406
E5 ||| B4 ||| 0.267106347898
E5 ||| C4 ||| 0.0379746835443
E5 ||| R ||| 0.0222222222222
E5 ||| G#4 ||| 0.144801980198
E5 ||| B-4 ||| 0.606060606061
E5 ||| A#4 ||| 1.0
E5 ||| E5 ||| 0.04531085353
E5 ||| E4 ||| 0.0427404148334
E5 ||| D4 ||| 0.00596421471173
E5 ||| D#5 ||| 0.0133333333333
E5 ||| C5 ||| 0.448516579407
E5 ||| A4 ||| 0.129367327668
E4 ||| G4 ||| 0.00260190806592
E4 ||| G3 ||| 0.285714285714
E4 ||| C#4 ||| 0.509090909091
E4 ||| A3 ||| 0.0892857142857
E4 ||| B3 ||| 0.547169811321
E4 ||| E4 ||| 0.0157133878064
E4 ||| D4 ||| 0.0934393638171
E4 ||| C4 ||| 0.337552742616
D#5 ||| B4 ||| 0.0206100577082
D#5 ||| F#4 ||| 0.00872093023256
D#5 ||| G#4 ||| 0.00247524752475
D#5 ||| C5 ||| 0.00174520069808
D#5 ||| A4 ||| 0.00236071765817
C6 ||| G5 ||| 0.281914893617
C6 ||| F#5 ||| 0.190476190476
C6 ||| B4 ||| 0.00164880461665
