G#5 ||| F4 ||| 0.0117647058824
G#5 ||| A3 ||| 0.00114744693058
G#5 ||| B3 ||| 0.0273159144893
G#5 ||| E4 ||| 0.0880503144654
G#5 ||| D4 ||| 0.0257289879931
G#5 ||| D3 ||| 0.00109529025192
G#5 ||| E3 ||| 0.0127041742287
G#5 ||| C4 ||| 0.00217155266015
G#4 ||| F3 ||| 0.00498753117207
G#4 ||| A2 ||| 0.00169491525424
G#4 ||| B2 ||| 0.0553935860058
G#4 ||| B3 ||| 0.00118764845606
G#4 ||| C3 ||| 0.00584795321637
G#4 ||| D4 ||| 0.00343053173242
G#4 ||| C4 ||| 0.00108577633008
G#4 ||| D3 ||| 0.0208105147864
G#4 ||| E3 ||| 0.0520266182698
G#4 ||| E2 ||| 0.142857142857
G5 ||| G4 ||| 0.0191082802548
G5 ||| G3 ||| 0.0802775024777
G5 ||| G2 ||| 0.01
G5 ||| B-3 ||| 0.173913043478
G5 ||| A3 ||| 0.0263912794033
G5 ||| A4 ||| 0.0119760479042
G5 ||| B-4 ||| 1.0
G5 ||| C3 ||| 0.00730994152047
G5 ||| E4 ||| 0.176100628931
G5 ||| D#3 ||| 0.0196078431373
G5 ||| C5 ||| 0.130434782609
G5 ||| C4 ||| 0.0673181324647
G5 ||| C#4 ||| 0.22972972973
G5 ||| A#3 ||| 0.166666666667
G5 ||| F#3 ||| 0.00671140939597
G5 ||| F3 ||| 0.0199501246883
G5 ||| F4 ||| 0.0156862745098
G5 ||| E3 ||| 0.0496067755596
G5 ||| B2 ||| 0.0116618075802
G5 ||| B3 ||| 0.146080760095
G5 ||| D4 ||| 0.0514579759863
G5 ||| D3 ||| 0.00438116100767
G4 ||| A#3 ||| 0.166666666667
G4 ||| F2 ||| 0.037037037037
G4 ||| F3 ||| 0.0174563591022
G4 ||| G3 ||| 0.0168483647175
G4 ||| G2 ||| 0.32
G4 ||| B3 ||| 0.00475059382423
G4 ||| C#3 ||| 0.323943661972
G4 ||| C#2 ||| 1.0
G4 ||| B-2 ||| 0.25
G4 ||| A3 ||| 0.00114744693058
G4 ||| A2 ||| 0.0203389830508
G4 ||| B2 ||| 0.131195335277
G4 ||| C2 ||| 0.166666666667
G4 ||| C3 ||| 0.0891812865497
G4 ||| E4 ||| 0.00157232704403
G4 ||| C4 ||| 0.0108577633008
G4 ||| D2 ||| 0.125
G4 ||| D3 ||| 0.0383351588171
G4 ||| E3 ||| 0.0604960677556
G4 ||| E2 ||| 0.0408163265306
F#4 ||| F#3 ||| 0.010067114094
F#4 ||| D3 ||| 0.0120481927711
F#4 ||| A3 ||| 0.00057372346529
F#4 ||| B2 ||| 0.0145772594752
F#4 ||| B3 ||| 0.00237529691211
F#4 ||| C3 ||| 0.0116959064327
F#4 ||| D#3 ||| 0.00980392156863
F#4 ||| E3 ||| 0.00423472474289
F#5 ||| F#3 ||| 0.0771812080537
F#5 ||| G3 ||| 0.00891972249752
F#5 ||| D4 ||| 0.0634648370497
F#5 ||| A3 ||| 0.0441767068273
F#5 ||| A#3 ||| 0.333333333333
F#5 ||| A#2 ||| 0.5
F#5 ||| G#3 ||| 0.0026525198939
F#5 ||| A2 ||| 0.00169491525424
F#5 ||| A4 ||| 0.0179640718563
F#5 ||| B2 ||| 0.0379008746356
F#5 ||| B3 ||| 0.103325415677
F#5 ||| E4 ||| 0.00471698113208
F#5 ||| D#4 ||| 0.0338983050847
F#5 ||| D#3 ||| 0.0196078431373
F#5 ||| E3 ||| 0.005444646098
F#5 ||| C4 ||| 0.0390879478827
A5 ||| G#3 ||| 0.0053050397878
A5 ||| G4 ||| 0.0700636942675
A5 ||| F#4 ||| 0.210526315789
A5 ||| B-3 ||| 0.0869565217391
A5 ||| A3 ||| 0.0883534136546
A5 ||| A2 ||| 0.0101694915254
A5 ||| A4 ||| 0.161676646707
A5 ||| C3 ||| 0.00438596491228
A5 ||| E4 ||| 0.12106918239
A5 ||| D#4 ||| 0.559322033898
