G#5 ||| F4 ||| 0.00567375886525
G#5 ||| B4 ||| 0.127701375246
G#5 ||| R ||| 0.0215053763441
G#5 ||| E4 ||| 0.0126811594203
G#5 ||| D4 ||| 0.00398406374502
G#5 ||| D5 ||| 0.0382513661202
G#4 ||| C#4 ||| 0.0062893081761
G#4 ||| A3 ||| 0.00111482720178
G#4 ||| B3 ||| 0.0988593155894
G#4 ||| E4 ||| 0.00226449275362
G#4 ||| D4 ||| 0.0192563081009
G#4 ||| E3 ||| 0.0285714285714
G#4 ||| C4 ||| 0.00982961992136
G5 ||| G4 ||| 0.114
G5 ||| F#4 ||| 0.0323886639676
G5 ||| F4 ||| 0.0156028368794
G5 ||| B4 ||| 0.21021611002
G5 ||| R ||| 0.0215053763441
G5 ||| G3 ||| 0.0036231884058
G5 ||| A4 ||| 0.0228270412643
G5 ||| B-4 ||| 0.571428571429
G5 ||| B3 ||| 0.0114068441065
G5 ||| E5 ||| 0.036036036036
G5 ||| E4 ||| 0.0416666666667
G5 ||| D#4 ||| 0.0987654320988
G5 ||| D5 ||| 0.0273224043716
G5 ||| D4 ||| 0.0564409030544
G5 ||| C5 ||| 0.138190954774
G5 ||| C4 ||| 0.0117955439056
G4 ||| F3 ||| 0.0545454545455
G4 ||| G3 ||| 0.0978260869565
G4 ||| C#4 ||| 0.0188679245283
G4 ||| B-3 ||| 0.5
G4 ||| A3 ||| 0.0267558528428
G4 ||| B3 ||| 0.131178707224
G4 ||| E4 ||| 0.00679347826087
G4 ||| D4 ||| 0.0172642762284
G4 ||| D3 ||| 0.352941176471
G4 ||| E3 ||| 0.142857142857
G4 ||| C4 ||| 0.0543905635649
F#4 ||| B3 ||| 0.0104562737643
F#4 ||| A3 ||| 0.025641025641
F#4 ||| F#3 ||| 0.05
F#4 ||| G3 ||| 0.0036231884058
F#4 ||| C4 ||| 0.00131061598952
F#5 ||| G4 ||| 0.007
F#5 ||| F#4 ||| 0.109311740891
F#5 ||| C#4 ||| 0.0251572327044
F#5 ||| B4 ||| 0.0687622789784
F#5 ||| A3 ||| 0.00334448160535
F#5 ||| R ||| 0.0215053763441
F#5 ||| G#4 ||| 0.00401606425703
F#5 ||| B3 ||| 0.00285171102662
F#5 ||| E4 ||| 0.023097826087
F#5 ||| D#4 ||| 0.58024691358
F#5 ||| C4 ||| 0.00720838794233
F#5 ||| D4 ||| 0.0132802124834
F#5 ||| C5 ||| 0.0477386934673
F#5 ||| A4 ||| 0.0807726075505
A5 ||| G4 ||| 0.035
A5 ||| F#4 ||| 0.226720647773
