3
A4 BAR G4 E4 BAR ||| G4 ||| 0.999765056386
A4 BAR G4 E4 BAR ||| <UNK> ||| 4.99880028793e-06
C5 G5 BAR G5 ||| F#5 ||| 0.999765056386
C5 G5 BAR G5 ||| <UNK> ||| 4.99880028793e-06
D#5 E5 BAR E5 BAR ||| G5 ||| 0.999530225492
D#5 E5 BAR E5 BAR ||| <UNK> ||| 9.99520230289e-06
BAR G5 F#5 F#5 BAR ||| E5 ||| 0.999530225492
BAR G5 F#5 F#5 BAR ||| <UNK> ||| 9.99520230289e-06
BAR A4 BAR E4 A4 ||| A4 ||| 0.999530225492
BAR A4 BAR E4 A4 ||| <UNK> ||| 9.99520230289e-06
E5 F#5 G5 BAR ||| F#5 ||| 0.999882514098
E5 F#5 G5 BAR ||| <UNK> ||| 2.499700036e-06
BAR E4 BAR A4 G4 ||| F4 ||| 0.999843358396
BAR E4 BAR A4 G4 ||| <UNK> ||| 3.33280008532e-06
G4 BAR B4 A4 ||| G4 ||| 0.999530225492
G4 BAR B4 A4 ||| <UNK> ||| 9.99520230289e-06
E5 BAR E5 D#5 ||| E5 ||| 0.999882514098
E5 BAR E5 D#5 ||| <UNK> ||| 2.499700036e-06
BAR B4 A4 BAR G4 ||| E4 ||| 0.666563349864
BAR B4 A4 BAR G4 ||| F#4 ||| 0.333283341332
BAR B4 A4 BAR G4 ||| <UNK> ||| 3.33280008532e-06
A4 E5 BAR E5 ||| E5 ||| 0.0714268367942
A4 E5 BAR E5 ||| D5 ||| 0.928540307189
A4 E5 BAR E5 ||| <UNK> ||| 7.14261225329e-07
C5 BAR D5 C5 BAR ||| B4 ||| 0.499885027593
C5 BAR D5 C5 BAR ||| C5 ||| 0.499885027593
C5 BAR D5 C5 BAR ||| <UNK> ||| 4.99880028793e-06
F5 G5 E5 ||| D5 ||| 0.999530225492
F5 G5 E5 ||| <UNK> ||| 9.99520230289e-06
C5 BAR B4 BAR A4 ||| B4 ||| 0.499961669733
C5 BAR B4 BAR A4 ||| D5 ||| 0.166655000933
C5 BAR B4 BAR A4 ||| END ||| 0.166655000933
C5 BAR B4 BAR A4 ||| A4 ||| 0.166655000933
C5 BAR B4 BAR A4 ||| <UNK> ||| 1.666533344e-06
B4 E5 BAR D5 ||| B4 ||| 0.153841242785
B4 E5 BAR D5 ||| C5 ||| 0.846123373906
B4 E5 BAR D5 ||| <UNK> ||| 7.69202367913e-07
G4 BAR G4 C5 ||| B4 ||| 0.999530225492
G4 BAR G4 C5 ||| <UNK> ||| 9.99520230289e-06
G#5 BAR A5 B5 BAR ||| C6 ||| 0.999906009023
G#5 BAR A5 B5 BAR ||| <UNK> ||| 1.99980801843e-06
BAR E5 D5 BAR C5 ||| B4 ||| 0.624963752175
BAR E5 D5 BAR C5 ||| G5 ||| 0.124993750375
BAR E5 D5 BAR C5 ||| D5 ||| 0.249986250825
BAR E5 D5 BAR C5 ||| <UNK> ||| 1.2499250045e-06
BAR A4 G#4 BAR G#4 ||| G#4 ||| 0.999530225492
BAR A4 G#4 BAR G#4 ||| <UNK> ||| 9.99520230289e-06
G5 BAR E5 D5 BAR ||| C5 ||| 0.999530225492
G5 BAR E5 D5 BAR ||| <UNK> ||| 9.99520230289e-06
D5 C5 BAR F5 ||| E5 ||| 0.499885027593
D5 C5 BAR F5 ||| F5 ||| 0.499885027593
D5 C5 BAR F5 ||| <UNK> ||| 4.99880028793e-06
BAR A5 A5 G#5 ||| E5 ||| 0.399963603494
BAR A5 A5 G#5 ||| B5 ||| 0.199982801651
BAR A5 A5 G#5 ||| END ||| 0.199982801651
BAR A5 A5 G#5 ||| F#5 ||| 0.199982801651
BAR A5 A5 G#5 ||| <UNK> ||| 1.99980801843e-06
BAR A4 G#4 A4 BAR ||| B4 ||| 0.999530225492
BAR A4 G#4 A4 BAR ||| <UNK> ||| 9.99520230289e-06
D5 BAR D5 A4 ||| B4 ||| 0.999530225492
D5 BAR D5 A4 ||| <UNK> ||| 9.99520230289e-06
BAR B4 BAR B4 B4 ||| C#5 ||| 0.999530225492
BAR B4 BAR B4 B4 ||| <UNK> ||| 9.99520230289e-06
BAR D5 BAR C5 B4 ||| A4 ||| 0.999530225492
BAR D5 BAR C5 B4 ||| <UNK> ||| 9.99520230289e-06
B5 G#5 E5 BAR ||| R ||| 0.999765056386
B5 G#5 E5 BAR ||| <UNK> ||| 4.99880028793e-06
G#5 B5 BAR A5 ||| E5 ||| 0.999530225492
G#5 B5 BAR A5 ||| <UNK> ||| 9.99520230289e-06
BAR B4 B4 BAR E5 ||| E5 ||| 0.499885027593
BAR B4 B4 BAR E5 ||| G5 ||| 0.499885027593
BAR B4 B4 BAR E5 ||| <UNK> ||| 4.99880028793e-06
C5 C6 BAR B5 ||| A5 ||| 0.999530225492
C5 C6 BAR B5 ||| <UNK> ||| 9.99520230289e-06
BAR C6 D6 B5 ||| A5 ||| 0.999530225492
BAR C6 D6 B5 ||| <UNK> ||| 9.99520230289e-06
E5 G5 D5 BAR ||| C5 ||| 0.999765056386
E5 G5 D5 BAR ||| <UNK> ||| 4.99880028793e-06
D5 D5 E5 BAR ||| F5 ||| 0.999765056386
D5 D5 E5 BAR ||| <UNK> ||| 4.99880028793e-06
F#4 BAR E4 E4 BAR ||| A4 ||| 0.999530225492
F#4 BAR E4 E4 BAR ||| <UNK> ||| 9.99520230289e-06
D6 E6 BAR D6 ||| D6 ||| 0.249986250825
D6 E6 BAR D6 ||| C6 ||| 0.749956252625
D6 E6 BAR D6 ||| <UNK> ||| 1.2499250045e-06
E5 G5 BAR G5 ||| G5 ||| 0.999765056386
E5 G5 BAR G5 ||| <UNK> ||| 4.99880028793e-06
BAR D4 E4 B4 BAR ||| C5 ||| 0.999921672933
BAR D4 E4 B4 BAR ||| <UNK> ||| 1.666533344e-06
B4 G#4 F#4 BAR ||| E4 ||| 0.999882514098
B4 G#4 F#4 BAR ||| <UNK> ||| 2.499700036e-06
BAR F5 F5 BAR E5 BAR ||| C5 ||| 0.999530225492
BAR F5 F5 BAR E5 BAR ||| <UNK> ||| 9.99520230289e-06
F4 E4 D4 BAR ||| <UNK> ||| 3.33280008532e-06
F4 E4 D4 BAR ||| G4 ||| 0.333283341332
F4 E4 D4 BAR ||| A4 ||| 0.333283341332
F4 E4 D4 BAR ||| C4 ||| 0.333283341332
D6 C6 C6 BAR ||| B5 ||| 0.999765056386
D6 C6 C6 BAR ||| <UNK> ||| 4.99880028793e-06
F4 E4 BAR E4 ||| END ||| 0.999765056386
F4 E4 BAR E4 ||| <UNK> ||| 4.99880028793e-06
C6 B5 C6 ||| D6 ||| 0.999843358396
C6 B5 C6 ||| <UNK> ||| 3.33280008532e-06
BAR D6 C6 C6 BAR ||| B5 ||| 0.666563349864
BAR D6 C6 C6 BAR ||| E6 ||| 0.333283341332
BAR D6 C6 C6 BAR ||| <UNK> ||| 3.33280008532e-06
BAR E4 BAR A4 ||| B4 ||| 0.571390818915
BAR E4 BAR A4 ||| G4 ||| 0.428543471305
BAR E4 BAR A4 ||| <UNK> ||| 1.4284734761e-06
E4 BAR A4 A4 BAR ||| G#4 ||| 0.999530225492
E4 BAR A4 A4 BAR ||| <UNK> ||| 9.99520230289e-06
C6 BAR C6 B5 ||| A5 ||| 0.124993750375
C6 BAR C6 B5 ||| C6 ||| 0.874948753075
C6 BAR C6 B5 ||| <UNK> ||| 1.2499250045e-06
E5 B5 BAR C6 ||| B5 ||| 0.142852959327
E5 B5 BAR C6 ||| C6 ||| 0.857114184657
E5 B5 BAR C6 ||| <UNK> ||| 7.14261225329e-07
G5 BAR C6 D6 ||| E6 ||| 0.999530225492
G5 BAR C6 D6 ||| <UNK> ||| 9.99520230289e-06
B5 BAR C6 BAR C5 ||| D5 ||| 0.999765056386
B5 BAR C6 BAR C5 ||| <UNK> ||| 4.99880028793e-06
BAR E4 A4 A4 ||| B4 ||| 0.333316667556
BAR E4 A4 A4 ||| G#4 ||| 0.666632224059
BAR E4 A4 A4 ||| <UNK> ||| 1.11105185501e-06
B4 B4 G4 BAR ||| A4 ||| 0.999530225492
B4 B4 G4 BAR ||| <UNK> ||| 9.99520230289e-06
B4 BAR C5 C5 ||| B4 ||| 0.413786599394
B4 BAR C5 C5 ||| <UNK> ||| 3.4482187881e-07
B4 BAR C5 C5 ||| G4 ||| 0.103446908465
B4 BAR C5 C5 ||| D5 ||| 0.482750975156
A5 G5 BAR B5 ||| B5 ||| 0.999530225492
A5 G5 BAR B5 ||| <UNK> ||| 9.99520230289e-06
R E5 BAR E5 ||| D5 ||| 0.499885027593
R E5 BAR E5 ||| F#5 ||| 0.499885027593
R E5 BAR E5 ||| <UNK> ||| 4.99880028793e-06
C5 BAR C5 B4 ||| E5 ||| 0.0714268367942
C5 BAR C5 B4 ||| A4 ||| 0.285705204393
C5 BAR C5 B4 ||| C5 ||| 0.642835817058
C5 BAR C5 B4 ||| <UNK> ||| 7.14261225329e-07
E5 BAR F#5 G#5 ||| A5 ||| 0.999530225492
E5 BAR F#5 G#5 ||| <UNK> ||| 9.99520230289e-06
D5 BAR E5 D5 BAR ||| E5 ||| 0.166655000933
D5 BAR E5 D5 BAR ||| D5 ||| 0.166655000933
D5 BAR E5 D5 BAR ||| C5 ||| 0.666615004133
D5 BAR E5 D5 BAR ||| <UNK> ||| 1.666533344e-06
BAR F#5 G#5 A5 ||| E5 ||| 0.999530225492
BAR F#5 G#5 A5 ||| <UNK> ||| 9.99520230289e-06
D4 E4 BAR F4 ||| G4 ||| 0.999765056386
D4 E4 BAR F4 ||| <UNK> ||| 4.99880028793e-06
E5 C5 BAR R ||| E5 ||| 0.999765056386
E5 C5 BAR R ||| <UNK> ||| 4.99880028793e-06
A5 G5 F#5 ||| E5 ||| 0.999530225492
A5 G5 F#5 ||| <UNK> ||| 9.99520230289e-06
G4 C5 C5 BAR ||| D5 ||| 0.999530225492
G4 C5 C5 BAR ||| <UNK> ||| 9.99520230289e-06
B4 A4 BAR A4 ||| G4 ||| 0.0714268367942
B4 A4 BAR A4 ||| END ||| 0.21427908186
B4 A4 BAR A4 ||| R ||| 0.142852959327
B4 A4 BAR A4 ||| A4 ||| 0.0714268367942
B4 A4 BAR A4 ||| E5 ||| 0.0714268367942
B4 A4 BAR A4 ||| E4 ||| 0.0714268367942
B4 A4 BAR A4 ||| <UNK> ||| 7.14261225329e-07
B4 A4 BAR A4 ||| C5 ||| 0.0714268367942
B4 A4 BAR A4 ||| G#4 ||| 0.285705204393
C5 F5 E5 BAR ||| D5 ||| 0.999530225492
C5 F5 E5 BAR ||| <UNK> ||| 9.99520230289e-06
B4 BAR C5 D5 ||| E5 ||| 0.783327233382
B4 BAR C5 D5 ||| B4 ||| 0.0833328333373
B4 BAR C5 D5 ||| D5 ||| 0.0666663000029
B4 BAR C5 D5 ||| C5 ||| 0.0666663000029
B4 BAR C5 D5 ||| <UNK> ||| 1.66665333344e-07
BAR B4 A4 G4 ||| G5 ||| 0.0416662500083
BAR B4 A4 G4 ||| G4 ||| 0.249995416758
BAR B4 A4 G4 ||| F#4 ||| 0.166663750058
BAR B4 A4 G4 ||| A4 ||| 0.166663750058
BAR B4 A4 G4 ||| E4 ||| 0.124997916708
BAR B4 A4 G4 ||| F4 ||| 0.249995416758
BAR B4 A4 G4 ||| <UNK> ||| 4.166583335e-07
E5 E5 BAR A5 ||| G#5 ||| 0.499971251725
