G#3 ||| F4 ||| 0.0163636363636
G#3 ||| B4 ||| 0.00367647058824
G#3 ||| A4 ||| 0.000867678958785
G#3 ||| B3 ||| 0.401709401709
G#3 ||| E4 ||| 0.0584666298952
G#3 ||| D4 ||| 0.0647482014388
G#3 ||| C5 ||| 0.00162074554295
G#3 ||| C4 ||| 0.0229007633588
G#4 ||| F5 ||| 0.0334728033473
G#4 ||| B4 ||| 0.0654411764706
G#4 ||| B5 ||| 0.037037037037
G#4 ||| A5 ||| 0.00740740740741
G#4 ||| A4 ||| 0.000433839479393
G#4 ||| E5 ||| 0.0921305182342
G#4 ||| E4 ||| 0.00220628792057
G#4 ||| D4 ||| 0.00359712230216
G#4 ||| D5 ||| 0.103666245259
G#4 ||| C5 ||| 0.00810372771475
G4 ||| G5 ||| 0.0615384615385
G4 ||| G4 ||| 0.0149136577708
G4 ||| F4 ||| 0.00181818181818
G4 ||| F#5 ||| 0.00793650793651
G4 ||| F5 ||| 0.0502092050209
G4 ||| C#5 ||| 0.157303370787
G4 ||| D5 ||| 0.241466498104
G4 ||| B4 ||| 0.216911764706
G4 ||| A4 ||| 0.0130151843818
G4 ||| B-4 ||| 0.387096774194
G4 ||| E5 ||| 0.103646833013
G4 ||| E4 ||| 0.00275785990072
G4 ||| D4 ||| 0.0161870503597
G4 ||| D#5 ||| 0.0103092783505
G4 ||| C6 ||| 0.25
G4 ||| C5 ||| 0.32414910859
G4 ||| C4 ||| 0.0114503816794
G3 ||| F4 ||| 0.02
G3 ||| G4 ||| 0.0196232339089
G3 ||| F#4 ||| 0.00278551532033
G3 ||| C#5 ||| 0.0112359550562
G3 ||| C#4 ||| 0.131147540984
G3 ||| B-3 ||| 0.75
G3 ||| A3 ||| 0.0454545454545
G3 ||| G3 ||| 0.0714285714286
G3 ||| B-4 ||| 0.0645161290323
G3 ||| B3 ||| 0.273504273504
G3 ||| E4 ||| 0.0391616105902
G3 ||| D4 ||| 0.129496402878
G3 ||| D5 ||| 0.00505689001264
G3 ||| C5 ||| 0.00405186385737
G3 ||| C4 ||| 0.24427480916
C3 ||| E4 ||| 0.000551571980143
B-3 ||| G4 ||| 0.010989010989
B-3 ||| F4 ||| 0.00363636363636
B-3 ||| C#4 ||| 0.0327868852459
B-3 ||| E4 ||| 0.0104798676227
B-3 ||| D4 ||| 0.0143884892086
B-3 ||| D5 ||| 0.00126422250316
B-3 ||| C4 ||| 0.0152671755725
A3 ||| F4 ||| 0.167272727273
A3 ||| G4 ||| 0.041601255887
A3 ||| F#4 ||| 0.158774373259
A3 ||| F5 ||| 0.0167364016736
A3 ||| C#4 ||| 0.540983606557
A3 ||| F3 ||| 1.0
A3 ||| D5 ||| 0.0101137800253
A3 ||| B4 ||| 0.00882352941176
A3 ||| C4 ||| 0.496183206107
A3 ||| A3 ||| 0.106060606061
A3 ||| R ||| 0.0111111111111
A3 ||| G#4 ||| 0.00492610837438
A3 ||| B3 ||| 0.0940170940171
A3 ||| E5 ||| 0.00575815738964
A3 ||| E4 ||| 0.167677881964
A3 ||| D#4 ||| 0.371428571429
A3 ||| D#5 ||| 0.020618556701
A3 ||| D4 ||| 0.26618705036
A3 ||| C5 ||| 0.0129659643436
A3 ||| A4 ||| 0.0503253796095
A4 ||| G5 ||| 0.0820512820513
A4 ||| G4 ||| 0.00156985871272
A4 ||| F#4 ||| 0.0111420612813
A4 ||| F#5 ||| 0.214285714286
A4 ||| F5 ||| 0.292887029289
A4 ||| C#5 ||| 0.303370786517
A4 ||| F4 ||| 0.0109090909091
A4 ||| D5 ||| 0.238938053097
A4 ||| B4 ||| 0.0367647058824
A4 ||| C4 ||| 0.00763358778626
A4 ||| A5 ||| 0.133333333333
A4 ||| G#4 ||| 0.000985221674877
A4 ||| E5 ||| 0.273512476008
A4 ||| E4 ||| 0.00661886376172
A4 ||| D4 ||| 0.00359712230216
A4 ||| D#5 ||| 0.432989690722
A4 ||| C6 ||| 0.125
A4 ||| C5 ||| 0.337115072934
A4 ||| A4 ||| 0.0190889370933
B-4 ||| E5 ||| 0.0124760076775
B-4 ||| E4 ||| 0.000551571980143
B-4 ||| G5 ||| 0.0102564102564
B-4 ||| D5 ||| 0.0113780025284
B-4 ||| C#5 ||| 0.0112359550562
E5 ||| G5 ||| 0.2
E5 ||| F#5 ||| 0.031746031746
E5 ||| C#5 ||| 0.0112359550562
E5 ||| B4 ||| 0.00220588235294
E5 ||| B5 ||| 0.296296296296
E5 ||| A5 ||| 0.251851851852
E5 ||| E5 ||| 0.00383877159309
E5 ||| G#5 ||| 0.34375
E5 ||| D5 ||| 0.00126422250316
E5 ||| C6 ||| 0.375
E5 ||| C5 ||| 0.00162074554295
E4 ||| G#3 ||| 0.5
E4 ||| G#4 ||| 0.44236453202
E4 ||| G5 ||| 0.00512820512821
E4 ||| G4 ||| 0.266875981162
E4 ||| F#4 ||| 0.0529247910864
E4 ||| F#5 ||| 0.0238095238095
E4 ||| B-3 ||| 0.25
E4 ||| A3 ||| 0.0757575757576
E4 ||| A5 ||| 0.037037037037
E4 ||| A4 ||| 0.363557483731
E4 ||| B-4 ||| 0.161290322581
E4 ||| E5 ||| 0.0383877159309
E4 ||| E4 ||| 0.0281301709873
E4 ||| C5 ||| 0.166126418152
E4 ||| C4 ||| 0.0381679389313
E4 ||| C#5 ||| 0.438202247191
E4 ||| F4 ||| 0.00545454545455
E4 ||| F5 ||| 0.0125523012552
E4 ||| B4 ||| 0.271323529412
E4 ||| B3 ||| 0.034188034188
E4 ||| D4 ||| 0.0161870503597
E4 ||| D5 ||| 0.0606826801517
D#4 ||| G4 ||| 0.00392464678179
D#4 ||| F#4 ||| 0.033426183844
D#4 ||| F#5 ||| 0.0238095238095
D#4 ||| B4 ||| 0.0308823529412
D#4 ||| A4 ||| 0.0156182212581
D#4 ||| C5 ||| 0.00567260940032
D#4 ||| G#4 ||| 0.000985221674877
D#5 ||| A5 ||| 0.0222222222222
C5 ||| B4 ||| 0.00220588235294
C5 ||| G5 ||| 0.241025641026
C5 ||| G4 ||| 0.0094191522763
C5 ||| F#5 ||| 0.277777777778
C5 ||| D5 ||| 0.0113780025284
C5 ||| E-5 ||| 1.0
C5 ||| B5 ||| 0.148148148148
C5 ||| A5 ||| 0.237037037037
C5 ||| A4 ||| 0.0056399132321
C5 ||| E4 ||| 0.000551571980143
C5 ||| E5 ||| 0.182341650672
C5 ||| G#5 ||| 0.0625
C5 ||| D#5 ||| 0.0412371134021
C5 ||| C6 ||| 0.25
C5 ||| C5 ||| 0.000810372771475
C5 ||| F5 ||| 0.18410041841
C4 ||| G4 ||| 0.210361067504
C4 ||| F#4 ||| 0.231197771588
C4 ||| F5 ||| 0.00418410041841
C4 ||| F4 ||| 0.24
C4 ||| B3 ||| 0.00854700854701
C4 ||| D5 ||| 0.00505689001264
C4 ||| B4 ||| 0.0110294117647
C4 ||| E-4 ||| 1.0
C4 ||| A3 ||| 0.0454545454545
C4 ||| G#4 ||| 0.0187192118227
C4 ||| B-4 ||| 0.0322580645161
C4 ||| A#4 ||| 0.333333333333
C4 ||| E5 ||| 0.00767754318618
C4 ||| E4 ||| 0.356315499173
C4 ||| D#4 ||| 0.114285714286
C4 ||| C4 ||| 0.0534351145038
C4 ||| D4 ||| 0.0341726618705
C4 ||| C5 ||| 0.0316045380875
C4 ||| A4 ||| 0.161822125813
C#5 ||| E5 ||| 0.0143953934741
C#5 ||| C#5 ||| 0.0112359550562
C#5 ||| G#5 ||| 0.015625
C#4 ||| G4 ||| 0.0149136577708
C#4 ||| G3 ||| 0.0714285714286
C#4 ||| F4 ||| 0.00181818181818
C#4 ||| G#4 ||| 0.000985221674877
C#4 ||| B-4 ||| 0.0645161290323
C#4 ||| A#4 ||| 0.333333333333
C#4 ||| E4 ||| 0.0617760617761
C#4 ||| A4 ||| 0.012147505423
E-4 ||| G4 ||| 0.00156985871272
E-4 ||| A4 ||| 0.00216919739696
E-4 ||| C5 ||| 0.00162074554295
F#3 ||| F#4 ||| 0.00557103064067
F#3 ||| A4 ||| 0.000433839479393
F#3 ||| B3 ||| 0.017094017094
F#3 ||| E4 ||| 0.00220628792057
F#3 ||| D#4 ||| 0.114285714286
F#3 ||| D4 ||| 0.0107913669065
F#3 ||| C4 ||| 0.00763358778626
F#4 ||| D5 ||| 0.0442477876106
F#4 ||| F#4 ||| 0.016713091922
F#4 ||| F#5 ||| 0.0793650793651
F#4 ||| C#5 ||| 0.0337078651685
F#4 ||| B4 ||| 0.0573529411765
F#4 ||| A5 ||| 0.0296296296296
F#4 ||| A4 ||| 0.0312364425163
F#4 ||| A#4 ||| 0.333333333333
F#4 ||| E5 ||| 0.0124760076775
