G#3 ||| F2 ||| 0.05
G#3 ||| F3 ||| 0.00438116100767
G#3 ||| A3 ||| 0.0010498687664
G#3 ||| G#2 ||| 0.0204081632653
G#3 ||| B2 ||| 0.0165745856354
G#3 ||| C3 ||| 0.00404312668464
G#3 ||| D3 ||| 0.0213385063046
G#3 ||| E3 ||| 0.0677966101695
G#3 ||| E2 ||| 0.262295081967
G#4 ||| F3 ||| 0.00219058050383
G#4 ||| F4 ||| 0.0355871886121
G#4 ||| B4 ||| 0.030303030303
G#4 ||| A3 ||| 0.00262467191601
G#4 ||| R ||| 0.030303030303
G#4 ||| B2 ||| 0.00828729281768
G#4 ||| B3 ||| 0.0347448425624
G#4 ||| C3 ||| 0.00134770889488
G#4 ||| E4 ||| 0.152207001522
G#4 ||| D#4 ||| 0.0169491525424
G#4 ||| D4 ||| 0.0354838709677
G#4 ||| E3 ||| 0.0338983050847
G#4 ||| C4 ||| 0.00405679513185
G4 ||| G4 ||| 0.214285714286
G4 ||| F#4 ||| 0.0344827586207
G4 ||| G2 ||| 0.0892857142857
G4 ||| B-3 ||| 0.137931034483
G4 ||| A3 ||| 0.0362204724409
G4 ||| A2 ||| 0.00459418070444
G4 ||| A4 ||| 0.0238095238095
G4 ||| B-4 ||| 0.25
G4 ||| C3 ||| 0.088948787062
G4 ||| E4 ||| 0.165905631659
G4 ||| C5 ||| 0.0434782608696
G4 ||| C4 ||| 0.250507099391
G4 ||| C#4 ||| 0.16049382716
G4 ||| C#3 ||| 0.0714285714286
G4 ||| A#3 ||| 0.333333333333
G4 ||| F#3 ||| 0.015015015015
G4 ||| G3 ||| 0.202156334232
G4 ||| F2 ||| 0.025
G4 ||| F3 ||| 0.0295728368018
G4 ||| F4 ||| 0.0498220640569
G4 ||| B4 ||| 0.030303030303
G4 ||| E3 ||| 0.0443668993021
G4 ||| B2 ||| 0.0138121546961
G4 ||| B3 ||| 0.161780673181
G4 ||| D4 ||| 0.0467741935484
G4 ||| D3 ||| 0.0242483026188
F#4 ||| B4 ||| 0.030303030303
F#4 ||| F#3 ||| 0.03003003003
F#4 ||| G3 ||| 0.00808625336927
F#4 ||| D4 ||| 0.0758064516129
F#4 ||| C#4 ||| 0.0123456790123
F#4 ||| A3 ||| 0.0188976377953
F#4 ||| D3 ||| 0.00872938894277
F#4 ||| A#3 ||| 0.166666666667
F#4 ||| A#2 ||| 1.0
F#4 ||| G#3 ||| 0.00255754475703
F#4 ||| A2 ||| 0.00153139356815
F#4 ||| C5 ||| 0.0434782608696
F#4 ||| B2 ||| 0.0138121546961
F#4 ||| B3 ||| 0.0445168295331
F#4 ||| E4 ||| 0.00304414003044
F#4 ||| D#4 ||| 0.542372881356
F#4 ||| D#3 ||| 0.326732673267
F#4 ||| E3 ||| 0.00299102691924
F#4 ||| C4 ||| 0.0192697768763
C3 ||| A2 ||| 0.00153139356815
B-3 ||| F3 ||| 0.00219058050383
B-3 ||| G3 ||| 0.00359389038634
B-3 ||| G2 ||| 0.0446428571429
B-3 ||| C#3 ||| 0.1
B-3 ||| B-2 ||| 0.111111111111
B-3 ||| A2 ||| 0.00153139356815
B-3 ||| C3 ||| 0.010781671159
B-3 ||| C4 ||| 0.00202839756592
B-3 ||| D2 ||| 0.125
B-3 ||| D3 ||| 0.00969932104753
B-3 ||| E3 ||| 0.00348953140578
B-3 ||| E2 ||| 0.016393442623
A3 ||| G#3 ||| 0.00511508951407
A3 ||| F#2 ||| 0.333333333333
A3 ||| F#3 ||| 0.207207207207
A3 ||| G3 ||| 0.0350404312668
A3 ||| G2 ||| 0.0357142857143
A3 ||| B-3 ||| 0.0344827586207
A3 ||| A3 ||| 0.0614173228346
A3 ||| A2 ||| 0.143950995406
A3 ||| C3 ||| 0.11051212938
A3 ||| E4 ||| 0.00152207001522
A3 ||| D#3 ||| 0.128712871287
A3 ||| E3 ||| 0.049850448654
A3 ||| E2 ||| 0.0491803278689
A3 ||| C#4 ||| 0.0246913580247
A3 ||| C#3 ||| 0.428571428571
A3 ||| C#2 ||| 1.0
A3 ||| R ||| 0.020202020202
A3 ||| F2 ||| 0.45
A3 ||| F3 ||| 0.219058050383
A3 ||| F4 ||| 0.00355871886121
A3 ||| B2 ||| 0.0662983425414
A3 ||| B3 ||| 0.00217155266015
A3 ||| D4 ||| 0.00806451612903
A3 ||| C4 ||| 0.0111561866126
A3 ||| D2 ||| 0.25
A3 ||| D3 ||| 0.163918525703
A4 ||| G#3 ||| 0.0102301790281
A4 ||| G4 ||| 0.107142857143
A4 ||| F#4 ||| 0.568965517241
A4 ||| B-3 ||| 0.0689655172414
A4 ||| A3 ||| 0.151181102362
A4 ||| A2 ||| 0.0137825421133
A4 ||| A4 ||| 0.386904761905
A4 ||| C3 ||| 0.0134770889488
A4 ||| E4 ||| 0.144596651446
A4 ||| D#4 ||| 0.0847457627119
A4 ||| C5 ||| 0.0434782608696
A4 ||| C4 ||| 0.147058823529
A4 ||| C#4 ||| 0.296296296296
A4 ||| R ||| 0.040404040404
A4 ||| G3 ||| 0.0206648697215
A4 ||| E3 ||| 0.00897308075773
A4 ||| F3 ||| 0.0865279299014
A4 ||| F4 ||| 0.483985765125
A4 ||| F#3 ||| 0.174174174174
A4 ||| B2 ||| 0.0303867403315
A4 ||| B3 ||| 0.0912052117264
A4 ||| D4 ||| 0.245161290323
A4 ||| D3 ||| 0.0271580989331
B-4 ||| G3 ||| 0.00539083557951
B-4 ||| C#4 ||| 0.0987654320988
B-4 ||| B-3 ||| 0.0689655172414
B-4 ||| C3 ||| 0.00134770889488
B-4 ||| E4 ||| 0.00304414003044
B-4 ||| D4 ||| 0.00645161290323
B-4 ||| E3 ||| 0.000997008973081
B-4 ||| C4 ||| 0.00507099391481
E5 ||| F4 ||| 0.0142348754448
E5 ||| G4 ||| 0.047619047619
E5 ||| G3 ||| 0.00449236298293
E5 ||| C#4 ||| 0.0740740740741
E5 ||| A3 ||| 0.00419947506562
E5 ||| B4 ||| 0.151515151515
E5 ||| G#3 ||| 0.00255754475703
E5 ||| F#4 ||| 0.0344827586207
E5 ||| A4 ||| 0.136904761905
E5 ||| B3 ||| 0.00108577633008
E5 ||| E4 ||| 0.0487062404871
E5 ||| D4 ||| 0.0129032258065
E5 ||| C4 ||| 0.0152129817444
E5 ||| C5 ||| 0.217391304348
E5 ||| G#4 ||| 0.172413793103
E4 ||| G#3 ||| 0.43989769821
E4 ||| G#2 ||| 0.204081632653
E4 ||| G4 ||| 0.0357142857143
E4 ||| G3 ||| 0.126684636119
E4 ||| G2 ||| 0.0267857142857
E4 ||| B-3 ||| 0.0689655172414
E4 ||| A3 ||| 0.277690288714
E4 ||| A2 ||| 0.150076569678
E4 ||| A4 ||| 0.0178571428571
E4 ||| C3 ||| 0.293800539084
E4 ||| E4 ||| 0.121765601218
E4 ||| D#3 ||| 0.00990099009901
E4 ||| E3 ||| 0.281655034895
E4 ||| E2 ||| 0.16393442623
E4 ||| C#4 ||| 0.246913580247
E4 ||| C#3 ||| 0.3
E4 ||| A#3 ||| 0.333333333333
E4 ||| F#3 ||| 0.0870870870871
E4 ||| F3 ||| 0.0536692223439
E4 ||| F4 ||| 0.00711743772242
E4 ||| B2 ||| 0.0552486187845
E4 ||| B3 ||| 0.13680781759
E4 ||| D4 ||| 0.0838709677419
E4 ||| C4 ||| 0.26369168357
E4 ||| D3 ||| 0.078564500485
D#4 ||| F#3 ||| 0.036036036036
D#4 ||| C#4 ||| 0.0123456790123
D#4 ||| F3 ||| 0.00219058050383
D#4 ||| A3 ||| 0.00472440944882
D#4 ||| A2 ||| 0.00306278713629
D#4 ||| B2 ||| 0.024861878453
D#4 ||| B3 ||| 0.0532030401737
D#5 ||| A3 ||| 0.00157480314961
C5 ||| F#4 ||| 0.120689655172
C5 ||| G4 ||| 0.119047619048
C5 ||| G3 ||| 0.00539083557951
C5 ||| D4 ||| 0.0596774193548
C5 ||| F4 ||| 0.11743772242
C5 ||| F3 ||| 0.0065717415115
C5 ||| C5 ||| 0.565217391304
C5 ||| D3 ||| 0.000969932104753
C5 ||| B4 ||| 0.242424242424
C5 ||| B-3 ||| 0.0344827586207
C5 ||| A3 ||| 0.0430446194226
C5 ||| F#3 ||| 0.012012012012
C5 ||| A4 ||| 0.339285714286
C5 ||| B-4 ||| 0.5
C5 ||| B3 ||| 0.00868621064061
C5 ||| C3 ||| 0.00269541778976
C5 ||| E4 ||| 0.10197869102
C5 ||| D#4 ||| 0.186440677966
C5 ||| A2 ||| 0.00612557427259
C5 ||| E3 ||| 0.00149551345962
C5 ||| C4 ||| 0.0618661257606
C4 ||| G#3 ||| 0.0179028132992
C4 ||| F#2 ||| 0.444444444444
C4 ||| F#3 ||| 0.138138138138
C4 ||| G3 ||| 0.0772686433064
C4 ||| G2 ||| 0.0357142857143
C4 ||| B-2 ||| 0.222222222222
C4 ||| A3 ||| 0.240419947507
C4 ||| A2 ||| 0.382848392037
C4 ||| C3 ||| 0.238544474394
C4 ||| C2 ||| 0.333333333333
C4 ||| A-3 ||| 0.5
C4 ||| D#3 ||| 0.188118811881
C4 ||| E3 ||| 0.0947158524427
C4 ||| E2 ||| 0.0491803278689
C4 ||| R ||| 0.030303030303
C4 ||| E-3 ||| 1.0
C4 ||| E4 ||| 0.013698630137
C4 ||| F2 ||| 0.175
C4 ||| F3 ||| 0.221248630887
C4 ||| B2 ||| 0.085635359116
C4 ||| B3 ||| 0.0206297502714
C4 ||| D4 ||| 0.00806451612903
C4 ||| C4 ||| 0.106490872211
C4 ||| D3 ||| 0.100872938894
C#5 ||| A3 ||| 0.00472440944882
C#5 ||| G4 ||| 0.0357142857143
C#5 ||| A4 ||| 0.0119047619048
C#5 ||| E3 ||| 0.00049850448654
C#4 ||| F#3 ||| 0.00600600600601
C#4 ||| G3 ||| 0.0161725067385
C#4 ||| F3 ||| 0.0065717415115
C#4 ||| A#3 ||| 0.166666666667
C#4 ||| A3 ||| 0.0225721784777
C#4 ||| A2 ||| 0.111791730475
C#4 ||| B3 ||| 0.00217155266015
C#4 ||| R ||| 0.010101010101
C#4 ||| D3 ||| 0.00193986420951
C#4 ||| E3 ||| 0.00797607178465
E-4 ||| A-3 ||| 0.25
E-4 ||| F#3 ||| 0.012012012012
E-4 ||| F3 ||| 0.00219058050383
F#3 ||| G3 ||| 0.00179694519317
F#3 ||| D3 ||| 0.00290979631426
F#3 ||| A3 ||| 0.000524934383202
F#3 ||| A2 ||| 0.00459418070444
F#3 ||| B2 ||| 0.00552486187845
F#3 ||| B3 ||| 0.00108577633008
F#3 ||| C3 ||| 0.00134770889488
F#3 ||| D#3 ||| 0.039603960396
F#3 ||| E3 ||| 0.000997008973081
G3 ||| F3 ||| 0.00876232201533
G3 ||| G3 ||| 0.0197663971249
G3 ||| G2 ||| 0.133928571429
G3 ||| C#3 ||| 0.0285714285714
G3 ||| D3 ||| 0.0213385063046
G3 ||| B-2 ||| 0.222222222222
G3 ||| B-3 ||| 0.0344827586207
G3 ||| A3 ||| 0.00157480314961
G3 ||| A2 ||| 0.010719754977
G3 ||| B2 ||| 0.0883977900552
G3 ||| B3 ||| 0.00108577633008
G3 ||| C3 ||| 0.11320754717
G3 ||| C2 ||| 0.166666666667
G3 ||| C4 ||| 0.00811359026369
G3 ||| D2 ||| 0.125
G3 ||| D#3 ||| 0.00990099009901
G3 ||| E3 ||| 0.0403788634098
G3 ||| E2 ||| 0.0655737704918
A-3 ||| F3 ||| 0.00109529025192
F3 ||| F2 ||| 0.075
F3 ||| F3 ||| 0.00438116100767
F3 ||| G2 ||| 0.0446428571429
F3 ||| B-2 ||| 0.111111111111
F3 ||| A2 ||| 0.00918836140888
F3 ||| B2 ||| 0.00828729281768
F3 ||| C3 ||| 0.00539083557951
F3 ||| D2 ||| 0.25
F3 ||| D3 ||| 0.0281280310378
F3 ||| E3 ||| 0.000997008973081
F4 ||| G#3 ||| 0.0460358056266
F4 ||| G#2 ||| 0.102040816327
F4 ||| G4 ||| 0.0178571428571
F4 ||| G3 ||| 0.0817610062893
F4 ||| G2 ||| 0.0714285714286
F4 ||| B-3 ||| 0.103448275862
F4 ||| A3 ||| 0.038845144357
F4 ||| A2 ||| 0.00918836140888
F4 ||| A4 ||| 0.00595238095238
F4 ||| B-4 ||| 0.25
F4 ||| C3 ||| 0.0161725067385
F4 ||| E4 ||| 0.0076103500761
F4 ||| E3 ||| 0.0194416749751
F4 ||| C4 ||| 0.0192697768763
F4 ||| C#4 ||| 0.0123456790123
F4 ||| F2 ||| 0.025
F4 ||| F3 ||| 0.0996714129244
F4 ||| F4 ||| 0.085409252669
F4 ||| B4 ||| 0.030303030303
F4 ||| B2 ||| 0.0303867403315
F4 ||| B3 ||| 0.0293159609121
F4 ||| D4 ||| 0.148387096774
F4 ||| D2 ||| 0.25
F4 ||| D3 ||| 0.227934044617
F5 ||| G4 ||| 0.0119047619048
F5 ||| G3 ||| 0.000898472596586
F5 ||| F4 ||| 0.0106761565836
F5 ||| A3 ||| 0.000524934383202
F5 ||| G#3 ||| 0.00255754475703
F5 ||| F3 ||| 0.00219058050383
F5 ||| A4 ||| 0.0119047619048
F5 ||| E4 ||| 0.00913242009132
F5 ||| D4 ||| 0.0177419354839
F5 ||| G#4 ||| 0.0344827586207
B4 ||| F4 ||| 0.0960854092527
B4 ||| F#4 ||| 0.0344827586207
B4 ||| G4 ||| 0.303571428571
B4 ||| G3 ||| 0.0341419586703
B4 ||| C#4 ||| 0.0123456790123
B4 ||| F3 ||| 0.00109529025192
B4 ||| A3 ||| 0.0167979002625
B4 ||| D3 ||| 0.00193986420951
B4 ||| B4 ||| 0.121212121212
B4 ||| D4 ||| 0.0887096774194
B4 ||| G#3 ||| 0.0843989769821
B4 ||| F#3 ||| 0.003003003003
B4 ||| G#4 ||| 0.724137931034
B4 ||| B2 ||| 0.024861878453
B4 ||| B3 ||| 0.0803474484256
B4 ||| E4 ||| 0.165905631659
B4 ||| D#4 ||| 0.169491525424
B4 ||| C4 ||| 0.026369168357
B4 ||| D#3 ||| 0.039603960396
B4 ||| E3 ||| 0.0209371884347
B4 ||| A4 ||| 0.0595238095238
R ||| R ||| 0.848484848485
R ||| B3 ||| 0.00217155266015
R ||| E4 ||| 0.00304414003044
R ||| D4 ||| 0.00645161290323
R ||| E3 ||| 0.00049850448654
R ||| C4 ||| 0.00405679513185
E3 ||| G2 ||| 0.0178571428571
E3 ||| A3 ||| 0.000524934383202
E3 ||| C#3 ||| 0.0714285714286
E3 ||| G#3 ||| 0.00255754475703
E3 ||| A2 ||| 0.0428790199081
E3 ||| B2 ||| 0.0138121546961
E3 ||| B3 ||| 0.00217155266015
E3 ||| C3 ||| 0.0202156334232
E3 ||| C2 ||| 0.5
E3 ||| D3 ||| 0.00193986420951
E3 ||| E3 ||| 0.00348953140578
B3 ||| F2 ||| 0.05
B3 ||| F#3 ||| 0.0660660660661
B3 ||| G3 ||| 0.180592991914
B3 ||| G2 ||| 0.339285714286
B3 ||| D3 ||| 0.106692531523
B3 ||| F3 ||| 0.0832420591457
B3 ||| G#3 ||| 0.25831202046
B3 ||| D#3 ||| 0.237623762376
B3 ||| D4 ||| 0.00967741935484
B3 ||| A3 ||| 0.0225721784777
B3 ||| G#2 ||| 0.489795918367
B3 ||| B2 ||| 0.149171270718
B3 ||| B3 ||| 0.0173724212812
B3 ||| C3 ||| 0.044474393531
B3 ||| E4 ||| 0.0121765601218
B3 ||| R ||| 0.020202020202
B3 ||| C4 ||| 0.00304259634888
B3 ||| A2 ||| 0.0444104134763
B3 ||| E3 ||| 0.160518444666
B3 ||| E2 ||| 0.196721311475
D4 ||| G#3 ||| 0.125319693095
D4 ||| G#2 ||| 0.183673469388
D4 ||| F#2 ||| 0.222222222222
D4 ||| G4 ||| 0.0119047619048
D4 ||| G3 ||| 0.160826594789
D4 ||| G2 ||| 0.151785714286
D4 ||| B-2 ||| 0.111111111111
D4 ||| B-3 ||| 0.413793103448
D4 ||| A3 ||| 0.0461942257218
D4 ||| A2 ||| 0.0566615620214
D4 ||| C3 ||| 0.033692722372
D4 ||| E4 ||| 0.00913242009132
D4 ||| A-3 ||| 0.25
D4 ||| D#3 ||| 0.019801980198
D4 ||| E3 ||| 0.153539381854
D4 ||| E2 ||| 0.196721311475
D4 ||| C#4 ||| 0.037037037037
D4 ||| F#3 ||| 0.21021021021
D4 ||| F#4 ||| 0.0344827586207
D4 ||| F2 ||| 0.1
D4 ||| F3 ||| 0.15991237678
D4 ||| F4 ||| 0.0284697508897
D4 ||| B2 ||| 0.337016574586
D4 ||| B3 ||| 0.28773072747
D4 ||| D4 ||| 0.0564516129032
D4 ||| C4 ||| 0.0446247464503
D4 ||| D3 ||| 0.170708050436
D5 ||| F4 ||| 0.067615658363
D5 ||| G4 ||| 0.0952380952381
D5 ||| G3 ||| 0.0143755615454
D5 ||| C4 ||| 0.00811359026369
D5 ||| C#4 ||| 0.0123456790123
D5 ||| F3 ||| 0.00328587075575
D5 ||| A3 ||| 0.00209973753281
D5 ||| B4 ||| 0.363636363636
D5 ||| B-3 ||| 0.0344827586207
D5 ||| G#3 ||| 0.00255754475703
D5 ||| F#4 ||| 0.172413793103
D5 ||| G#4 ||| 0.0689655172414
D5 ||| B3 ||| 0.0217155266015
D5 ||| E4 ||| 0.0365296803653
D5 ||| D4 ||| 0.0903225806452
D5 ||| C5 ||| 0.0869565217391
D5 ||| D3 ||| 0.000969932104753
D5 ||| E3 ||| 0.00049850448654
D5 ||| A4 ||| 0.00595238095238
D3 ||| F2 ||| 0.05
D3 ||| F#3 ||| 0.003003003003
D3 ||| G3 ||| 0.000898472596586
D3 ||| G2 ||| 0.00892857142857
D3 ||| B-2 ||| 0.222222222222
D3 ||| A2 ||| 0.00153139356815
D3 ||| B2 ||| 0.0276243093923
