3
A4 BAR G4 E4 BAR ||| A4 ||| 0.999530225492
A4 BAR G4 E4 BAR ||| <UNK> ||| 9.99520230289e-06
B4 D5 BAR D5 ||| C5 ||| 0.999765056386
B4 D5 BAR D5 ||| <UNK> ||| 4.99880028793e-06
BAR C4 G4 F4 ||| E4 ||| 0.999530225492
BAR C4 G4 F4 ||| <UNK> ||| 9.99520230289e-06
BAR A4 BAR E4 A4 ||| G4 ||| 0.499885027593
BAR A4 BAR E4 A4 ||| A4 ||| 0.499885027593
BAR A4 BAR E4 A4 ||| <UNK> ||| 4.99880028793e-06
F4 C4 D4 ||| E4 ||| 0.999530225492
F4 C4 D4 ||| <UNK> ||| 9.99520230289e-06
BAR E4 BAR A4 G4 ||| G4 ||| 0.499942506899
BAR E4 BAR A4 G4 ||| F4 ||| 0.499942506899
BAR E4 BAR A4 G4 ||| <UNK> ||| 2.499700036e-06
C#4 A3 D4 ||| C#4 ||| 0.999530225492
C#4 A3 D4 ||| <UNK> ||| 9.99520230289e-06
A3 BAR B3 B3 BAR ||| <UNK> ||| 4.99880028793e-06
A3 BAR B3 B3 BAR ||| B3 ||| 0.499885027593
A3 BAR B3 B3 BAR ||| C4 ||| 0.499885027593
C4 BAR F3 G3 ||| E3 ||| 0.999530225492
C4 BAR F3 G3 ||| <UNK> ||| 9.99520230289e-06
BAR B4 A4 BAR G4 ||| A4 ||| 0.999530225492
BAR B4 A4 BAR G4 ||| <UNK> ||| 9.99520230289e-06
BAR F4 B3 D4 ||| <UNK> ||| 4.99880028793e-06
BAR F4 B3 D4 ||| C4 ||| 0.999765056386
BAR C4 B3 BAR A3 ||| <UNK> ||| 9.99520230289e-06
BAR C4 B3 BAR A3 ||| B3 ||| 0.999530225492
BAR G4 G4 B4 ||| B4 ||| 0.999530225492
BAR G4 G4 B4 ||| <UNK> ||| 9.99520230289e-06
BAR E4 A4 D4 ||| E4 ||| 0.999530225492
BAR E4 A4 D4 ||| <UNK> ||| 9.99520230289e-06
D5 B4 D5 BAR ||| D5 ||| 0.666563349864
D5 B4 D5 BAR ||| C5 ||| 0.333283341332
D5 B4 D5 BAR ||| <UNK> ||| 3.33280008532e-06
BAR C4 B3 C4 ||| <UNK> ||| 4.54535537406e-07
BAR C4 B3 C4 ||| G4 ||| 0.0454540082762
BAR C4 B3 C4 ||| F4 ||| 0.0454540082762
BAR C4 B3 C4 ||| A3 ||| 0.0454540082762
BAR C4 B3 C4 ||| B3 ||| 0.31817533072
BAR C4 B3 C4 ||| E4 ||| 0.227268223239
BAR C4 B3 C4 ||| D4 ||| 0.0909075620168
BAR C4 B3 C4 ||| C4 ||| 0.181814669498
BAR C4 B3 C4 ||| G3 ||| 0.0454540082762
F#4 G4 D4 BAR ||| E4 ||| 0.999530225492
F#4 G4 D4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR E4 BAR E4 E4 ||| E4 ||| 0.666563349864
BAR E4 BAR E4 E4 ||| A3 ||| 0.333283341332
BAR E4 BAR E4 E4 ||| <UNK> ||| 3.33280008532e-06
D4 B3 C4 BAR ||| <UNK> ||| 1.99980801843e-06
D4 B3 C4 BAR ||| B3 ||| 0.399963603494
D4 B3 C4 BAR ||| F4 ||| 0.199982801651
D4 B3 C4 BAR ||| C4 ||| 0.399963603494
E4 E3 F#3 ||| G#3 ||| 0.999530225492
E4 E3 F#3 ||| <UNK> ||| 9.99520230289e-06
BAR B3 E3 E4 ||| E4 ||| 0.999530225492
BAR B3 E3 E4 ||| <UNK> ||| 9.99520230289e-06
BAR G#3 BAR A3 B3 ||| <UNK> ||| 9.99520230289e-06
BAR G#3 BAR A3 B3 ||| C4 ||| 0.999530225492
BAR E5 D5 BAR C5 ||| B4 ||| 0.999530225492
